,depot,INST0138_N12_N18_P000,INST0138_N12_N18_D000,INST0138_N12_N18_P001,INST0138_N12_N18_D001,INST0138_N12_N18_P002,INST0138_N12_N18_D002,INST0138_N12_N18_P003,INST0138_N12_N18_D003,INST0138_N12_N18_P004,INST0138_N12_N18_D004,INST0138_N12_N18_P005,INST0138_N12_N18_D005,INST0138_N12_N18_P006,INST0138_N12_N18_D006,INST0138_N12_N18_P007,INST0138_N12_N18_D007,INST0138_N12_N18_P008,INST0138_N12_N18_D008,INST0138_N12_N18_P009,INST0138_N12_N18_D009,INST0138_N12_N18_P010,INST0138_N12_N18_D010,INST0138_N12_N18_P011,INST0138_N12_N18_D011
depot,0.0,37.312,134.313,24.705,14.003,64.653,56.4,3.413,16.848,24.705,56.4,24.705,37.312,14.003,24.705,3.413,24.705,16.848,14.003,64.653,3.413,37.312,81.517,37.312,14.003
INST0138_N12_N18_P000,37.312,0.0,149.729,22.387,49.306,101.428,43.657,33.929,23.01,22.387,43.657,22.387,0.0,49.306,22.387,33.929,22.387,23.01,49.306,101.428,33.929,0.0,57.966,0.0,49.306
INST0138_N12_N18_D000,134.313,149.729,0.0,154.717,139.481,116.851,187.802,134.948,146.035,154.717,187.802,154.717,149.729,139.481,154.717,134.948,154.717,146.035,139.481,116.851,134.948,149.729,127.812,149.729,139.481
INST0138_N12_N18_P001,24.705,22.387,154.717,0.0,31.992,87.893,33.197,22.322,8.817,0.0,33.197,0.0,22.387,31.992,0.0,22.322,0.0,8.817,31.992,87.893,22.322,22.387,78.919,22.387,31.992
INST0138_N12_N18_D001,14.003,49.306,139.481,31.992,0.0,56.35,58.839,17.072,26.694,31.992,58.839,31.992,49.306,0.0,31.992,17.072,31.992,26.694,0.0,56.35,17.072,49.306,95.498,49.306,0.0
INST0138_N12_N18_P002,64.653,101.428,116.851,87.893,56.35,0.0,114.332,67.88,81.208,87.893,114.332,87.893,101.428,56.35,87.893,67.88,87.893,81.208,56.35,0.0,67.88,101.428,131.605,101.428,56.35
INST0138_N12_N18_D002,56.4,43.657,187.802,33.197,58.839,114.332,0.0,54.669,41.993,33.197,0.0,33.197,43.657,58.839,33.197,54.669,33.197,41.993,58.839,114.332,54.669,43.657,99.467,43.657,58.839
INST0138_N12_N18_P003,3.413,33.929,134.948,22.322,17.072,67.88,54.669,0.0,14.053,22.322,54.669,22.322,33.929,17.072,22.322,0.0,22.322,14.053,17.072,67.88,0.0,33.929,78.656,33.929,17.072
INST0138_N12_N18_D003,16.848,23.01,146.035,8.817,26.694,81.208,41.993,14.053,0.0,8.817,41.993,8.817,23.01,26.694,8.817,14.053,8.817,0.0,26.694,81.208,14.053,23.01,75.654,23.01,26.694
INST0138_N12_N18_P004,24.705,22.387,154.717,0.0,31.992,87.893,33.197,22.322,8.817,0.0,33.197,0.0,22.387,31.992,0.0,22.322,0.0,8.817,31.992,87.893,22.322,22.387,78.919,22.387,31.992
INST0138_N12_N18_D004,56.4,43.657,187.802,33.197,58.839,114.332,0.0,54.669,41.993,33.197,0.0,33.197,43.657,58.839,33.197,54.669,33.197,41.993,58.839,114.332,54.669,43.657,99.467,43.657,58.839
