,depot,INST0080_N8_S20_P000,INST0080_N8_S20_D000,INST0080_N8_S20_P001,INST0080_N8_S20_D001,INST0080_N8_S20_P002,INST0080_N8_S20_D002,INST0080_N8_S20_P003,INST0080_N8_S20_D003,INST0080_N8_S20_P004,INST0080_N8_S20_D004,INST0080_N8_S20_P005,INST0080_N8_S20_D005,INST0080_N8_S20_P006,INST0080_N8_S20_D006,INST0080_N8_S20_P007,INST0080_N8_S20_D007
depot,0.0,0.0,36.46,61.394,10.881,36.46,5.477,21.478,19.629,36.46,19.629,10.881,68.319,10.881,130.689,0.0,97.061
INST0080_N8_S20_P000,0.0,0.0,36.46,61.394,10.881,36.46,5.477,21.478,19.629,36.46,19.629,10.881,68.319,10.881,130.689,0.0,97.061
INST0080_N8_S20_D000,36.46,36.46,0.0,67.889,44.339,0.0,41.761,24.954,19.488,0.0,19.488,44.339,102.776,44.339,134.327,36.46,103.829
INST0080_N8_S20_P001,61.394,61.394,67.889,0.0,54.565,67.889,60.745,75.908,55.171,67.889,55.171,54.565,77.092,54.565,69.589,61.394,36.733
INST0080_N8_S20_D001,10.881,10.881,44.339,54.565,0.0,44.339,7.008,32.298,25.439,44.339,25.439,0.0,58.699,0.0,122.952,10.881,89.072
INST0080_N8_S20_P002,36.46,36.46,0.0,67.889,44.339,0.0,41.761,24.954,19.488,0.0,19.488,44.339,102.776,44.339,134.327,36.46,103.829
INST0080_N8_S20_D002,5.477,5.477,41.761,60.745,7.008,41.761,0.0,26.505,24.239,41.761,24.239,7.008,62.898,7.008,129.526,5.477,95.708
INST0080_N8_S20_P003,21.478,21.478,24.954,75.908,32.298,24.954,26.505,0.0,21.517,24.954,21.517,32.298,88.975,32.298,145.321,21.478,112.576
INST0080_N8_S20_D003,19.629,19.629,19.488,55.171,25.439,19.488,24.239,21.517,0.0,19.488,0.0,25.439,83.416,25.439,124.222,19.629,91.902
INST0080_N8_S20_P004,36.46,36.46,0.0,67.889,44.339,0.0,41.761,24.954,19.488,0.0,19.488,44.339,102.776,44.339,134.327,36.46,103.829
INST0080_N8_S20_D004,19.629,19.629,19.488,55.171,25.439,19.488,24.239,21.517,0.0,19.488,0.0,25.439,83.416,25.439,124.222,19.629,91.902
INST0080_N8_S20_P005,10.881,10.881,44.339,54.565,0.0,44.339,7.008,32.298,25.439,44.339,25.439,0.0,58.699,0.0,122.952,10.881,89.072
INST0080_N8_S20_D005,68.319,68.319,102.776,77.092,58.699,102.776,62.898,88.975,83.416,102.776,83.416,58.699,0.0,58.699,123.443,68.319,93.449
INST0080_N8_S20_P006,10.881,10.881,44.339,54.565,0.0,44.339,7.008,32.298,25.439,44.339,25.439,0.0,58.699,0.0,122.952,10.881,89.072
INST0080_N8_S20_D006,130.689,130.689,134.327,69.589,122.952,134.327,129.526,145.321,124.222,134.327,124.222,122.952,123.443,122.952,0.0,130.689,33.969
INST0080_N8_S20_P007,0.0,0.0,36.46,61.394,10.881,36.46,5.477,21.478,19.629,36.46,19.629,10.881,68.319,10.881,130.689,0.0,97.061
INST0080_N8_S20_D007,97.061,97.061,103.829,36.733,89.072,103.829,95.708,112.576,91.902,103.829,91.902,89.072,93.449,89.072,33.969,97.061,0.0
