,depot,INST0198_N18_N18_P000,INST0198_N18_N18_D000,INST0198_N18_N18_P001,INST0198_N18_N18_D001,INST0198_N18_N18_P002,INST0198_N18_N18_D002,INST0198_N18_N18_P003,INST0198_N18_N18_D003,INST0198_N18_N18_P004,INST0198_N18_N18_D004,INST0198_N18_N18_P005,INST0198_N18_N18_D005,INST0198_N18_N18_P006,INST0198_N18_N18_D006,INST0198_N18_N18_P007,INST0198_N18_N18_D007,INST0198_N18_N18_P008,INST0198_N18_N18_D008,INST0198_N18_N18_P009,INST0198_N18_N18_D009,INST0198_N18_N18_P010,INST0198_N18_N18_D010,INST0198_N18_N18_P011,INST0198_N18_N18_D011,INST0198_N18_N18_P012,INST0198_N18_N18_D012,INST0198_N18_N18_P013,INST0198_N18_N18_D013,INST0198_N18_N18_P014,INST0198_N18_N18_D014,INST0198_N18_N18_P015,INST0198_N18_N18_D015,INST0198_N18_N18_P016,INST0198_N18_N18_D016,INST0198_N18_N18_P017,INST0198_N18_N18_D017
depot,0.0,52.8,0.0,20.176,0.0,2.788,77.555,66.572,2.788,66.572,109.689,0.0,109.689,52.8,20.176,46.06,20.176,23.353,0.0,23.353,145.919,77.555,23.353,77.555,20.176,46.06,0.0,11.436,20.176,2.788,109.689,30.471,66.572,20.176,52.8,46.06,0.0
INST0198_N18_N18_P000,52.8,0.0,52.8,71.779,52.8,55.435,65.084,107.477,55.435,107.477,95.428,52.8,95.428,0.0,71.779,93.371,71.779,64.86,52.8,64.86,187.822,65.084,64.86,65.084,71.779,93.371,52.8,46.019,71.779,55.435,95.428,82.833,107.477,71.779,0.0,93.371,52.8
INST0198_N18_N18_D000,0.0,52.8,0.0,20.176,0.0,2.788,77.555,66.572,2.788,66.572,109.689,0.0,109.689,52.8,20.176,46.06,20.176,23.353,0.0,23.353,145.919,77.555,23.353,77.555,20.176,46.06,0.0,11.436,20.176,2.788,109.689,30.471,66.572,20.176,52.8,46.06,0.0
INST0198_N18_N18_P001,20.176,71.779,20.176,0.0,20.176,18.229,95.136,64.45,18.229,64.45,126.352,20.176,126.352,71.779,0.0,27.111,0.0,17.254,20.176,17.254,127.166,95.136,17.254,95.136,0.0,27.111,20.176,26.126,0.0,18.229,126.352,18.283,64.45,0.0,71.779,27.111,20.176
INST0198_N18_N18_D001,0.0,52.8,0.0,20.176,0.0,2.788,77.555,66.572,2.788,66.572,109.689,0.0,109.689,52.8,20.176,46.06,20.176,23.353,0.0,23.353,145.919,77.555,23.353,77.555,20.176,46.06,0.0,11.436,20.176,2.788,109.689,30.471,66.572,20.176,52.8,46.06,0.0
INST0198_N18_N18_P002,2.788,55.435,2.788,18.229,2.788,0.0,78.292,64.236,0.0,64.236,110.207,2.788,110.207,55.435,18.229,44.646,18.229,23.461,2.788,23.461,144.673,78.292,23.461,78.292,18.229,44.646,2.788,13.942,18.229,0.0,110.207,27.709,64.236,18.229,55.435,44.646,2.788
INST0198_N18_N18_D002,77.555,65.084,77.555,95.136,77.555,78.292,0.0,85.106,78.292,85.106,32.884,77.555,32.884,65.084,95.136,122.247,95.136,100.436,77.555,100.436,222.229,0.0,100.436,0.0,95.136,122.247,77.555,81.189,95.136,78.292,32.884,93.214,85.106,95.136,65.084,122.247,77.555
INST0198_N18_N18_P003,66.572,107.477,66.572,64.45,66.572,64.236,85.106,0.0,64.236,0.0,104.379,66.572,104.379,107.477,64.45,81.232,64.45,81.17,66.572,81.17,165.945,85.106,81.17,85.106,64.45,81.232,66.572,77.99,64.45,64.236,104.379,47.339,0.0,64.45,107.477,81.232,66.572
INST0198_N18_N18_D003,2.788,55.435,2.788,18.229,2.788,0.0,78.292,64.236,0.0,64.236,110.207,2.788,110.207,55.435,18.229,44.646,18.229,23.461,2.788,23.461,144.673,78.292,23.461,78.292,18.229,44.646,2.788,13.942,18.229,0.0,110.207,27.709,64.236,18.229,55.435,44.646,2.788
INST0198_N18_N18_P004,66.572,107.477,66.572,64.45,66.572,64.236,85.106,0.0,64.236,0.0,104.379,66.572,104.379,107.477,64.45,81.232,64.45,81.17,66.572,81.17,165.945,85.106,81.17,85.106,64.45,81.232,66.572,77.99,64.45,64.236,104.379,47.339,0.0,64.45,107.477,81.232,66.572
