,depot,INST0208_N18_W28_P000,INST0208_N18_W28_D000,INST0208_N18_W28_P001,INST0208_N18_W28_D001,INST0208_N18_W28_P002,INST0208_N18_W28_D002,INST0208_N18_W28_P003,INST0208_N18_W28_D003,INST0208_N18_W28_P004,INST0208_N18_W28_D004,INST0208_N18_W28_P005,INST0208_N18_W28_D005,INST0208_N18_W28_P006,INST0208_N18_W28_D006,INST0208_N18_W28_P007,INST0208_N18_W28_D007,INST0208_N18_W28_P008,INST0208_N18_W28_D008,INST0208_N18_W28_P009,INST0208_N18_W28_D009,INST0208_N18_W28_P010,INST0208_N18_W28_D010,INST0208_N18_W28_P011,INST0208_N18_W28_D011,INST0208_N18_W28_P012,INST0208_N18_W28_D012,INST0208_N18_W28_P013,INST0208_N18_W28_D013,INST0208_N18_W28_P014,INST0208_N18_W28_D014,INST0208_N18_W28_P015,INST0208_N18_W28_D015,INST0208_N18_W28_P016,INST0208_N18_W28_D016,INST0208_N18_W28_P017,INST0208_N18_W28_D017
depot,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_P000,97.602,0.0,12.767,27.496,97.602,97.602,43.098,114.719,49.056,97.602,43.098,97.602,27.496,97.602,0.0,49.056,12.767,97.602,43.098,27.496,114.719,0.0,56.961,49.056,56.961,97.602,56.961,97.602,56.961,97.602,114.719,97.602,12.767,27.496,12.767,0.0,49.056
INST0208_N18_W28_D000,110.354,12.767,0.0,40.204,110.354,110.354,36.679,127.423,61.567,110.354,36.679,110.354,40.204,110.354,12.767,61.567,0.0,110.354,36.679,40.204,127.423,12.767,57.051,61.567,57.051,110.354,57.051,110.354,57.051,110.354,127.423,110.354,0.0,40.204,0.0,12.767,61.567
INST0208_N18_W28_P001,70.637,27.496,40.204,0.0,70.637,70.637,61.972,88.095,24.909,70.637,61.972,70.637,0.0,70.637,27.496,24.909,40.204,70.637,61.972,0.0,88.095,27.496,68.471,24.909,68.471,70.637,68.471,70.637,68.471,70.637,88.095,70.637,40.204,0.0,40.204,27.496,24.909
INST0208_N18_W28_D001,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_P002,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_D002,129.907,43.098,36.679,61.972,129.907,129.907,0.0,147.866,86.82,129.907,0.0,129.907,61.972,129.907,43.098,86.82,36.679,129.907,0.0,61.972,147.866,43.098,92.961,86.82,92.961,129.907,92.961,129.907,92.961,129.907,147.866,129.907,36.679,61.972,36.679,43.098,86.82
INST0208_N18_W28_P003,18.026,114.719,127.423,88.095,18.026,18.026,147.866,0.0,66.284,18.026,147.866,18.026,88.095,18.026,114.719,66.284,127.423,18.026,147.866,88.095,0.0,114.719,128.123,66.284,128.123,18.026,128.123,18.026,128.123,18.026,0.0,18.026,127.423,88.095,127.423,114.719,66.284
INST0208_N18_W28_D003,50.015,49.056,61.567,24.909,50.015,50.015,86.82,66.284,0.0,50.015,86.82,50.015,24.909,50.015,49.056,0.0,61.567,50.015,86.82,24.909,66.284,49.056,70.587,0.0,70.587,50.015,70.587,50.015,70.587,50.015,66.284,50.015,61.567,24.909,61.567,49.056,0.0
INST0208_N18_W28_P004,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_D004,129.907,43.098,36.679,61.972,129.907,129.907,0.0,147.866,86.82,129.907,0.0,129.907,61.972,129.907,43.098,86.82,36.679,129.907,0.0,61.972,147.866,43.098,92.961,86.82,92.961,129.907,92.961,129.907,92.961,129.907,147.866,129.907,36.679,61.972,36.679,43.098,86.82
INST0208_N18_W28_P005,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_D005,70.637,27.496,40.204,0.0,70.637,70.637,61.972,88.095,24.909,70.637,61.972,70.637,0.0,70.637,27.496,24.909,40.204,70.637,61.972,0.0,88.095,27.496,68.471,24.909,68.471,70.637,68.471,70.637,68.471,70.637,88.095,70.637,40.204,0.0,40.204,27.496,24.909
INST0208_N18_W28_P006,0.0,97.602,110.354,70.637,0.0,0.0,129.907,18.026,50.015,0.0,129.907,0.0,70.637,0.0,97.602,50.015,110.354,0.0,129.907,70.637,18.026,97.602,115.643,50.015,115.643,0.0,115.643,0.0,115.643,0.0,18.026,0.0,110.354,70.637,110.354,97.602,50.015
INST0208_N18_W28_D006,97.602,0.0,12.767,27.496,97.602,97.602,43.098,114.719,49.056,97.602,43.098,97.602,27.496,97.602,0.0,49.056,12.767,97.602,43.098,27.496,114.719,0.0,56.961,49.056,56.961,97.602,56.961,97.602,56.961,97.602,114.719,97.602,12.767,27.496,12.767,0.0,49.056
