,depot,INST0065_N8_S05_P000,INST0065_N8_S05_D000,INST0065_N8_S05_P001,INST0065_N8_S05_D001,INST0065_N8_S05_P002,INST0065_N8_S05_D002,INST0065_N8_S05_P003,INST0065_N8_S05_D003,INST0065_N8_S05_P004,INST0065_N8_S05_D004,INST0065_N8_S05_P005,INST0065_N8_S05_D005,INST0065_N8_S05_P006,INST0065_N8_S05_D006,INST0065_N8_S05_P007,INST0065_N8_S05_D007
depot,0.0,21.478,97.061,0.0,97.061,55.179,36.46,50.526,55.179,10.881,130.689,61.394,10.881,21.478,0.0,68.319,36.46
INST0065_N8_S05_P000,21.478,0.0,112.576,21.478,112.576,37.715,24.954,65.388,37.715,32.298,145.321,75.908,32.298,0.0,21.478,88.975,24.954
INST0065_N8_S05_D000,97.061,112.576,0.0,97.061,0.0,150.208,103.829,47.206,150.208,89.072,33.969,36.733,89.072,112.576,97.061,93.449,103.829
INST0065_N8_S05_P001,0.0,21.478,97.061,0.0,97.061,55.179,36.46,50.526,55.179,10.881,130.689,61.394,10.881,21.478,0.0,68.319,36.46
INST0065_N8_S05_D001,97.061,112.576,0.0,97.061,0.0,150.208,103.829,47.206,150.208,89.072,33.969,36.733,89.072,112.576,97.061,93.449,103.829
INST0065_N8_S05_P002,55.179,37.715,150.208,55.179,150.208,0.0,54.903,103.002,0.0,65.452,183.035,113.587,65.452,37.715,55.179,113.511,54.903
INST0065_N8_S05_D002,36.46,24.954,103.829,36.46,103.829,54.903,0.0,59.003,54.903,44.339,134.327,67.889,44.339,24.954,36.46,102.776,0.0
INST0065_N8_S05_P003,50.526,65.388,47.206,50.526,47.206,103.002,59.003,0.0,103.002,43.838,80.368,10.867,43.838,65.388,50.526,71.865,59.003
INST0065_N8_S05_D003,55.179,37.715,150.208,55.179,150.208,0.0,54.903,103.002,0.0,65.452,183.035,113.587,65.452,37.715,55.179,113.511,54.903
INST0065_N8_S05_P004,10.881,32.298,89.072,10.881,89.072,65.452,44.339,43.838,65.452,0.0,122.952,54.565,0.0,32.298,10.881,58.699,44.339
INST0065_N8_S05_D004,130.689,145.321,33.969,130.689,33.969,183.035,134.327,80.368,183.035,122.952,0.0,69.589,122.952,145.321,130.689,123.443,134.327
INST0065_N8_S05_P005,61.394,75.908,36.733,61.394,36.733,113.587,67.889,10.867,113.587,54.565,69.589,0.0,54.565,75.908,61.394,77.092,67.889
INST0065_N8_S05_D005,10.881,32.298,89.072,10.881,89.072,65.452,44.339,43.838,65.452,0.0,122.952,54.565,0.0,32.298,10.881,58.699,44.339
INST0065_N8_S05_P006,21.478,0.0,112.576,21.478,112.576,37.715,24.954,65.388,37.715,32.298,145.321,75.908,32.298,0.0,21.478,88.975,24.954
INST0065_N8_S05_D006,0.0,21.478,97.061,0.0,97.061,55.179,36.46,50.526,55.179,10.881,130.689,61.394,10.881,21.478,0.0,68.319,36.46
INST0065_N8_S05_P007,68.319,88.975,93.449,68.319,93.449,113.511,102.776,71.865,113.511,58.699,123.443,77.092,58.699,88.975,68.319,0.0,102.776
INST0065_N8_S05_D007,36.46,24.954,103.829,36.46,103.829,54.903,0.0,59.003,54.903,44.339,134.327,67.889,44.339,24.954,36.46,102.776,0.0
