,depot,INST0124_N12_W04_P000,INST0124_N12_W04_D000,INST0124_N12_W04_P001,INST0124_N12_W04_D001,INST0124_N12_W04_P002,INST0124_N12_W04_D002,INST0124_N12_W04_P003,INST0124_N12_W04_D003,INST0124_N12_W04_P004,INST0124_N12_W04_D004,INST0124_N12_W04_P005,INST0124_N12_W04_D005,INST0124_N12_W04_P006,INST0124_N12_W04_D006,INST0124_N12_W04_P007,INST0124_N12_W04_D007,INST0124_N12_W04_P008,INST0124_N12_W04_D008,INST0124_N12_W04_P009,INST0124_N12_W04_D009,INST0124_N12_W04_P010,INST0124_N12_W04_D010,INST0124_N12_W04_P011,INST0124_N12_W04_D011
depot,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
INST0124_N12_W04_P000,66.284,0.0,49.056,24.909,50.015,24.909,66.284,50.015,66.284,0.0,50.015,0.0,61.567,66.284,61.567,24.909,94.929,66.284,50.015,66.284,61.567,24.909,0.0,24.909,61.567
INST0124_N12_W04_D000,114.719,49.056,0.0,27.496,97.602,27.496,114.719,97.602,114.719,49.056,97.602,49.056,12.767,114.719,12.767,27.496,45.89,114.719,97.602,114.719,12.767,27.496,49.056,27.496,12.767
INST0124_N12_W04_P001,88.095,24.909,27.496,0.0,70.637,0.0,88.095,70.637,88.095,24.909,70.637,24.909,40.204,88.095,40.204,0.0,72.151,88.095,70.637,88.095,40.204,0.0,24.909,0.0,40.204
INST0124_N12_W04_D001,18.026,50.015,97.602,70.637,0.0,70.637,18.026,0.0,18.026,50.015,0.0,50.015,110.354,18.026,110.354,70.637,142.787,18.026,0.0,18.026,110.354,70.637,50.015,70.637,110.354
INST0124_N12_W04_P002,88.095,24.909,27.496,0.0,70.637,0.0,88.095,70.637,88.095,24.909,70.637,24.909,40.204,88.095,40.204,0.0,72.151,88.095,70.637,88.095,40.204,0.0,24.909,0.0,40.204
INST0124_N12_W04_D002,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
INST0124_N12_W04_P003,18.026,50.015,97.602,70.637,0.0,70.637,18.026,0.0,18.026,50.015,0.0,50.015,110.354,18.026,110.354,70.637,142.787,18.026,0.0,18.026,110.354,70.637,50.015,70.637,110.354
INST0124_N12_W04_D003,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
INST0124_N12_W04_P004,66.284,0.0,49.056,24.909,50.015,24.909,66.284,50.015,66.284,0.0,50.015,0.0,61.567,66.284,61.567,24.909,94.929,66.284,50.015,66.284,61.567,24.909,0.0,24.909,61.567
INST0124_N12_W04_D004,18.026,50.015,97.602,70.637,0.0,70.637,18.026,0.0,18.026,50.015,0.0,50.015,110.354,18.026,110.354,70.637,142.787,18.026,0.0,18.026,110.354,70.637,50.015,70.637,110.354
INST0124_N12_W04_P005,66.284,0.0,49.056,24.909,50.015,24.909,66.284,50.015,66.284,0.0,50.015,0.0,61.567,66.284,61.567,24.909,94.929,66.284,50.015,66.284,61.567,24.909,0.0,24.909,61.567
INST0124_N12_W04_D005,127.423,61.567,12.767,40.204,110.354,40.204,127.423,110.354,127.423,61.567,110.354,61.567,0.0,127.423,0.0,40.204,33.728,127.423,110.354,127.423,0.0,40.204,61.567,40.204,0.0
INST0124_N12_W04_P006,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
INST0124_N12_W04_D006,127.423,61.567,12.767,40.204,110.354,40.204,127.423,110.354,127.423,61.567,110.354,61.567,0.0,127.423,0.0,40.204,33.728,127.423,110.354,127.423,0.0,40.204,61.567,40.204,0.0
INST0124_N12_W04_P007,88.095,24.909,27.496,0.0,70.637,0.0,88.095,70.637,88.095,24.909,70.637,24.909,40.204,88.095,40.204,0.0,72.151,88.095,70.637,88.095,40.204,0.0,24.909,0.0,40.204
INST0124_N12_W04_D007,160.194,94.929,45.89,72.151,142.787,72.151,160.194,142.787,160.194,94.929,142.787,94.929,33.728,160.194,33.728,72.151,0.0,160.194,142.787,160.194,33.728,72.151,94.929,72.151,33.728
INST0124_N12_W04_P008,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
INST0124_N12_W04_D008,18.026,50.015,97.602,70.637,0.0,70.637,18.026,0.0,18.026,50.015,0.0,50.015,110.354,18.026,110.354,70.637,142.787,18.026,0.0,18.026,110.354,70.637,50.015,70.637,110.354
INST0124_N12_W04_P009,0.0,66.284,114.719,88.095,18.026,88.095,0.0,18.026,0.0,66.284,18.026,66.284,127.423,0.0,127.423,88.095,160.194,0.0,18.026,0.0,127.423,88.095,66.284,88.095,127.423
