,depot,INST0264_N22_N24_P000,INST0264_N22_N24_D000,INST0264_N22_N24_P001,INST0264_N22_N24_D001,INST0264_N22_N24_P002,INST0264_N22_N24_D002,INST0264_N22_N24_P003,INST0264_N22_N24_D003,INST0264_N22_N24_P004,INST0264_N22_N24_D004,INST0264_N22_N24_P005,INST0264_N22_N24_D005,INST0264_N22_N24_P006,INST0264_N22_N24_D006,INST0264_N22_N24_P007,INST0264_N22_N24_D007,INST0264_N22_N24_P008,INST0264_N22_N24_D008,INST0264_N22_N24_P009,INST0264_N22_N24_D009,INST0264_N22_N24_P010,INST0264_N22_N24_D010,INST0264_N22_N24_P011,INST0264_N22_N24_D011,INST0264_N22_N24_P012,INST0264_N22_N24_D012,INST0264_N22_N24_P013,INST0264_N22_N24_D013,INST0264_N22_N24_P014,INST0264_N22_N24_D014,INST0264_N22_N24_P015,INST0264_N22_N24_D015,INST0264_N22_N24_P016,INST0264_N22_N24_D016,INST0264_N22_N24_P017,INST0264_N22_N24_D017,INST0264_N22_N24_P018,INST0264_N22_N24_D018,INST0264_N22_N24_P019,INST0264_N22_N24_D019,INST0264_N22_N24_P020,INST0264_N22_N24_D020,INST0264_N22_N24_P021,INST0264_N22_N24_D021
depot,0.0,0.0,41.993,0.0,99.467,35.041,99.467,35.041,122.582,33.197,35.041,0.0,58.839,56.4,187.802,54.669,149.69,56.4,43.657,54.669,99.467,43.657,58.839,43.657,149.69,56.4,58.839,56.4,99.467,41.993,43.657,56.4,43.657,33.197,0.0,35.041,33.197,56.4,187.802,58.839,56.4,41.993,58.839,54.669,33.197
INST0264_N22_N24_P000,0.0,0.0,41.993,0.0,99.467,35.041,99.467,35.041,122.582,33.197,35.041,0.0,58.839,56.4,187.802,54.669,149.69,56.4,43.657,54.669,99.467,43.657,58.839,43.657,149.69,56.4,58.839,56.4,99.467,41.993,43.657,56.4,43.657,33.197,0.0,35.041,33.197,56.4,187.802,58.839,56.4,41.993,58.839,54.669,33.197
INST0264_N22_N24_D000,41.993,41.993,0.0,41.993,75.654,24.088,75.654,24.088,164.529,8.817,24.088,41.993,26.694,16.848,146.035,14.053,107.703,16.848,23.01,14.053,75.654,23.01,26.694,23.01,107.703,16.848,26.694,16.848,75.654,0.0,23.01,16.848,23.01,8.817,41.993,24.088,8.817,16.848,146.035,26.694,16.848,0.0,26.694,14.053,8.817
INST0264_N22_N24_P001,0.0,0.0,41.993,0.0,99.467,35.041,99.467,35.041,122.582,33.197,35.041,0.0,58.839,56.4,187.802,54.669,149.69,56.4,43.657,54.669,99.467,43.657,58.839,43.657,149.69,56.4,58.839,56.4,99.467,41.993,43.657,56.4,43.657,33.197,0.0,35.041,33.197,56.4,187.802,58.839,56.4,41.993,58.839,54.669,33.197
INST0264_N22_N24_D001,99.467,99.467,75.654,99.467,0.0,99.392,0.0,99.392,203.198,78.919,99.392,99.467,95.498,81.517,127.812,78.656,104.211,81.517,57.966,78.656,0.0,57.966,95.498,57.966,104.211,81.517,95.498,81.517,0.0,75.654,57.966,81.517,57.966,78.919,99.467,99.392,78.919,81.517,127.812,95.498,81.517,75.654,95.498,78.656,78.919
INST0264_N22_N24_P002,35.041,35.041,24.088,35.041,99.392,0.0,99.392,0.0,153.452,21.127,0.0,35.041,25.326,28.595,162.63,28.727,122.983,28.595,43.511,28.727,99.392,43.511,25.326,43.511,122.983,28.595,25.326,28.595,99.392,24.088,43.511,28.595,43.511,21.127,35.041,0.0,21.127,28.595,162.63,25.326,28.595,24.088,25.326,28.727,21.127
INST0264_N22_N24_D002,99.467,99.467,75.654,99.467,0.0,99.392,0.0,99.392,203.198,78.919,99.392,99.467,95.498,81.517,127.812,78.656,104.211,81.517,57.966,78.656,0.0,57.966,95.498,57.966,104.211,81.517,95.498,81.517,0.0,75.654,57.966,81.517,57.966,78.919,99.467,99.392,78.919,81.517,127.812,95.498,81.517,75.654,95.498,78.656,78.919
INST0264_N22_N24_P003,35.041,35.041,24.088,35.041,99.392,0.0,99.392,0.0,153.452,21.127,0.0,35.041,25.326,28.595,162.63,28.727,122.983,28.595,43.511,28.727,99.392,43.511,25.326,43.511,122.983,28.595,25.326,28.595,99.392,24.088,43.511,28.595,43.511,21.127,35.041,0.0,21.127,28.595,162.63,25.326,28.595,24.088,25.326,28.727,21.127
INST0264_N22_N24_D003,122.582,122.582,164.529,122.582,203.198,153.452,203.198,153.452,0.0,155.714,153.452,122.582,178.773,178.677,309.6,177.15,272.117,178.677,160.581,177.15,203.198,160.581,178.773,160.581,272.117,178.677,178.773,178.677,203.198,164.529,160.581,178.677,160.581,155.714,122.582,153.452,155.714,178.677,309.6,178.773,178.677,164.529,178.773,177.15,155.714
INST0264_N22_N24_P004,33.197,33.197,8.817,33.197,78.919,21.127,78.919,21.127,155.714,0.0,21.127,33.197,31.992,24.705,154.717,22.322,116.493,24.705,22.387,22.322,78.919,22.387,31.992,22.387,116.493,24.705,31.992,24.705,78.919,8.817,22.387,24.705,22.387,0.0,33.197,21.127,0.0,24.705,154.717,31.992,24.705,8.817,31.992,22.322,0.0
INST0264_N22_N24_D004,35.041,35.041,24.088,35.041,99.392,0.0,99.392,0.0,153.452,21.127,0.0,35.041,25.326,28.595,162.63,28.727,122.983,28.595,43.511,28.727,99.392,43.511,25.326,43.511,122.983,28.595,25.326,28.595,99.392,24.088,43.511,28.595,43.511,21.127,35.041,0.0,21.127,28.595,162.63,25.326,28.595,24.088,25.326,28.727,21.127
INST0264_N22_N24_P005,0.0,0.0,41.993,0.0,99.467,35.041,99.467,35.041,122.582,33.197,35.041,0.0,58.839,56.4,187.802,54.669,149.69,56.4,43.657,54.669,99.467,43.657,58.839,43.657,149.69,56.4,58.839,56.4,99.467,41.993,43.657,56.4,43.657,33.197,0.0,35.041,33.197,56.4,187.802,58.839,56.4,41.993,58.839,54.669,33.197
INST0264_N22_N24_D005,58.839,58.839,26.694,58.839,95.498,25.326,95.498,25.326,178.773,31.992,25.326,58.839,0.0,14.003,139.481,17.072,99.415,14.003,49.306,17.072,95.498,49.306,0.0,49.306,99.415,14.003,0.0,14.003,95.498,26.694,49.306,14.003,49.306,31.992,58.839,25.326,31.992,14.003,139.481,0.0,14.003,26.694,0.0,17.072,31.992
INST0264_N22_N24_P006,56.4,56.4,16.848,56.4,81.517,28.595,81.517,28.595,178.677,24.705,28.595,56.4,14.003,0.0,134.313,3.413,94.965,0.0,37.312,3.413,81.517,37.312,14.003,37.312,94.965,0.0,14.003,0.0,81.517,16.848,37.312,0.0,37.312,24.705,56.4,28.595,24.705,0.0,134.313,14.003,0.0,16.848,14.003,3.413,24.705
INST0264_N22_N24_D006,187.802,187.802,146.035,187.802,127.812,162.63,127.812,162.63,309.6,154.717,162.63,187.802,139.481,134.313,0.0,134.948,40.266,134.313,149.729,134.948,127.812,149.729,139.481,149.729,40.266,134.313,139.481,134.313,127.812,146.035,149.729,134.313,149.729,154.717,187.802,162.63,154.717,134.313,0.0,139.481,134.313,146.035,139.481,134.948,154.717
INST0264_N22_N24_P007,54.669,54.669,14.053,54.669,78.656,28.727,78.656,28.727,177.15,22.322,28.727,54.669,17.072,3.413,134.948,0.0,95.867,3.413,33.929,0.0,78.656,33.929,17.072,33.929,95.867,3.413,17.072,3.413,78.656,14.053,33.929,3.413,33.929,22.322,54.669,28.727,22.322,3.413,134.948,17.072,3.413,14.053,17.072,0.0,22.322
INST0264_N22_N24_D007,149.69,149.69,107.703,149.69,104.211,122.983,104.211,122.983,272.117,116.493,122.983,149.69,99.415,94.965,40.266,95.867,0.0,94.965,114.14,95.867,104.211,114.14,99.415,114.14,0.0,94.965,99.415,94.965,104.211,107.703,114.14,94.965,114.14,116.493,149.69,122.983,116.493,94.965,40.266,99.415,94.965,107.703,99.415,95.867,116.493
INST0264_N22_N24_P008,56.4,56.4,16.848,56.4,81.517,28.595,81.517,28.595,178.677,24.705,28.595,56.4,14.003,0.0,134.313,3.413,94.965,0.0,37.312,3.413,81.517,37.312,14.003,37.312,94.965,0.0,14.003,0.0,81.517,16.848,37.312,0.0,37.312,24.705,56.4,28.595,24.705,0.0,134.313,14.003,0.0,16.848,14.003,3.413,24.705
INST0264_N22_N24_D008,43.657,43.657,23.01,43.657,57.966,43.511,57.966,43.511,160.581,22.387,43.511,43.657,49.306,37.312,149.729,33.929,114.14,37.312,0.0,33.929,57.966,0.0,49.306,0.0,114.14,37.312,49.306,37.312,57.966,23.01,0.0,37.312,0.0,22.387,43.657,43.511,22.387,37.312,149.729,49.306,37.312,23.01,49.306,33.929,22.387
INST0264_N22_N24_P009,54.669,54.669,14.053,54.669,78.656,28.727,78.656,28.727,177.15,22.322,28.727,54.669,17.072,3.413,134.948,0.0,95.867,3.413,33.929,0.0,78.656,33.929,17.072,33.929,95.867,3.413,17.072,3.413,78.656,14.053,33.929,3.413,33.929,22.322,54.669,28.727,22.322,3.413,134.948,17.072,3.413,14.053,17.072,0.0,22.322
INST0264_N22_N24_D009,99.467,99.467,75.654,99.467,0.0,99.392,0.0,99.392,203.198,78.919,99.392,99.467,95.498,81.517,127.812,78.656,104.211,81.517,57.966,78.656,0.0,57.966,95.498,57.966,104.211,81.517,95.498,81.517,0.0,75.654,57.966,81.517,57.966,78.919,99.467,99.392,78.919,81.517,127.812,95.498,81.517,75.654,95.498,78.656,78.919
INST0264_N22_N24_P010,43.657,43.657,23.01,43.657,57.966,43.511,57.966,43.511,160.581,22.387,43.511,43.657,49.306,37.312,149.729,33.929,114.14,37.312,0.0,33.929,57.966,0.0,49.306,0.0,114.14,37.312,49.306,37.312,57.966,23.01,0.0,37.312,0.0,22.387,43.657,43.511,22.387,37.312,149.729,49.306,37.312,23.01,49.306,33.929,22.387
INST0264_N22_N24_D010,58.839,58.839,26.694,58.839,95.498,25.326,95.498,25.326,178.773,31.992,25.326,58.839,0.0,14.003,139.481,17.072,99.415,14.003,49.306,17.072,95.498,49.306,0.0,49.306,99.415,14.003,0.0,14.003,95.498,26.694,49.306,14.003,49.306,31.992,58.839,25.326,31.992,14.003,139.481,0.0,14.003,26.694,0.0,17.072,31.992
INST0264_N22_N24_P011,43.657,43.657,23.01,43.657,57.966,43.511,57.966,43.511,160.581,22.387,43.511,43.657,49.306,37.312,149.729,33.929,114.14,37.312,0.0,33.929,57.966,0.0,49.306,0.0,114.14,37.312,49.306,37.312,57.966,23.01,0.0,37.312,0.0,22.387,43.657,43.511,22.387,37.312,149.729,49.306,37.312,23.01,49.306,33.929,22.387
INST0264_N22_N24_D011,149.69,149.69,107.703,149.69,104.211,122.983,104.211,122.983,272.117,116.493,122.983,149.69,99.415,94.965,40.266,95.867,0.0,94.965,114.14,95.867,104.211,114.14,99.415,114.14,0.0,94.965,99.415,94.965,104.211,107.703,114.14,94.965,114.14,116.493,149.69,122.983,116.493,94.965,40.266,99.415,94.965,107.703,99.415,95.867,116.493
INST0264_N22_N24_P012,56.4,56.4,16.848,56.4,81.517,28.595,81.517,28.595,178.677,24.705,28.595,56.4,14.003,0.0,134.313,3.413,94.965,0.0,37.312,3.413,81.517,37.312,14.003,37.312,94.965,0.0,14.003,0.0,81.517,16.848,37.312,0.0,37.312,24.705,56.4,28.595,24.705,0.0,134.313,14.003,0.0,16.848,14.003,3.413,24.705
INST0264_N22_N24_D012,58.839,58.839,26.694,58.839,95.498,25.326,95.498,25.326,178.773,31.992,25.326,58.839,0.0,14.003,139.481,17.072,99.415,14.003,49.306,17.072,95.498,49.306,0.0,49.306,99.415,14.003,0.0,14.003,95.498,26.694,49.306,14.003,49.306,31.992,58.839,25.326,31.992,14.003,139.481,0.0,14.003,26.694,0.0,17.072,31.992
INST0264_N22_N24_P013,56.4,56.4,16.848,56.4,81.517,28.595,81.517,28.595,178.677,24.705,28.595,56.4,14.003,0.0,134.313,3.413,94.965,0.0,37.312,3.413,81.517,37.312,14.003,37.312,94.965,0.0,14.003,0.0,81.517,16.848,37.312,0.0,37.312,24.705,56.4,28.595,24.705,0.0,134.313,14.003,0.0,16.848,14.003,3.413,24.705
INST0264_N22_N24_D013,99.467,99.467,75.654,99.467,0.0,99.392,0.0,99.392,203.198,78.919,99.392,99.467,95.498,81.517,127.812,78.656,104.211,81.517,57.966,78.656,0.0,57.966,95.498,57.966,104.211,81.517,95.498,81.517,0.0,75.654,57.966,81.517,57.966,78.919,99.467,99.392,78.919,81.517,127.812,95.498,81.517,75.654,95.498,78.656,78.919
