,depot,INST0082_N8_W22_P000,INST0082_N8_W22_D000,INST0082_N8_W22_P001,INST0082_N8_W22_D001,INST0082_N8_W22_P002,INST0082_N8_W22_D002,INST0082_N8_W22_P003,INST0082_N8_W22_D003,INST0082_N8_W22_P004,INST0082_N8_W22_D004,INST0082_N8_W22_P005,INST0082_N8_W22_D005,INST0082_N8_W22_P006,INST0082_N8_W22_D006,INST0082_N8_W22_P007,INST0082_N8_W22_D007
depot,0.0,77.687,20.081,20.02,17.435,20.081,32.905,20.56,20.081,75.699,0.0,53.818,17.435,53.818,32.905,53.818,20.02
INST0082_N8_W22_P000,77.687,0.0,94.929,84.648,86.82,94.929,67.612,61.567,94.929,70.587,77.687,24.909,86.82,24.909,67.612,24.909,84.648
INST0082_N8_W22_D000,20.081,94.929,0.0,14.369,28.407,0.0,37.156,33.728,0.0,78.578,20.081,72.151,28.407,72.151,37.156,72.151,14.369
INST0082_N8_W22_P001,20.02,84.648,14.369,0.0,35.228,14.369,22.951,23.331,14.369,64.294,20.02,63.48,35.228,63.48,22.951,63.48,0.0
INST0082_N8_W22_D001,17.435,86.82,28.407,35.228,0.0,28.407,50.317,36.679,28.407,92.961,17.435,61.972,0.0,61.972,50.317,61.972,35.228
INST0082_N8_W22_P002,20.081,94.929,0.0,14.369,28.407,0.0,37.156,33.728,0.0,78.578,20.081,72.151,28.407,72.151,37.156,72.151,14.369
INST0082_N8_W22_D002,32.905,67.612,37.156,22.951,50.317,37.156,0.0,17.238,37.156,43.046,32.905,50.631,50.317,50.631,0.0,50.631,22.951
INST0082_N8_W22_P003,20.56,61.567,33.728,23.331,36.679,33.728,17.238,0.0,33.728,57.051,20.56,40.204,36.679,40.204,17.238,40.204,23.331
INST0082_N8_W22_D003,20.081,94.929,0.0,14.369,28.407,0.0,37.156,33.728,0.0,78.578,20.081,72.151,28.407,72.151,37.156,72.151,14.369
INST0082_N8_W22_P004,75.699,70.587,78.578,64.294,92.961,78.578,43.046,57.051,78.578,0.0,75.699,68.471,92.961,68.471,43.046,68.471,64.294
INST0082_N8_W22_D004,0.0,77.687,20.081,20.02,17.435,20.081,32.905,20.56,20.081,75.699,0.0,53.818,17.435,53.818,32.905,53.818,20.02
INST0082_N8_W22_P005,53.818,24.909,72.151,63.48,61.972,72.151,50.631,40.204,72.151,68.471,53.818,0.0,61.972,0.0,50.631,0.0,63.48
INST0082_N8_W22_D005,17.435,86.82,28.407,35.228,0.0,28.407,50.317,36.679,28.407,92.961,17.435,61.972,0.0,61.972,50.317,61.972,35.228
INST0082_N8_W22_P006,53.818,24.909,72.151,63.48,61.972,72.151,50.631,40.204,72.151,68.471,53.818,0.0,61.972,0.0,50.631,0.0,63.48
INST0082_N8_W22_D006,32.905,67.612,37.156,22.951,50.317,37.156,0.0,17.238,37.156,43.046,32.905,50.631,50.317,50.631,0.0,50.631,22.951
INST0082_N8_W22_P007,53.818,24.909,72.151,63.48,61.972,72.151,50.631,40.204,72.151,68.471,53.818,0.0,61.972,0.0,50.631,0.0,63.48
INST0082_N8_W22_D007,20.02,84.648,14.369,0.0,35.228,14.369,22.951,23.331,14.369,64.294,20.02,63.48,35.228,63.48,22.951,63.48,0.0
