,depot,INST0046_N5_W16_P000,INST0046_N5_W16_D000,INST0046_N5_W16_P001,INST0046_N5_W16_D001,INST0046_N5_W16_P002,INST0046_N5_W16_D002,INST0046_N5_W16_P003,INST0046_N5_W16_D003,INST0046_N5_W16_P004,INST0046_N5_W16_D004
depot,0.0,14.077,96.036,41.092,41.349,26.872,14.077,14.077,41.092,18.744,96.036
INST0046_N5_W16_P000,14.077,0.0,90.122,29.954,32.833,16.791,0.0,0.0,29.954,19.054,90.122
INST0046_N5_W16_D000,96.036,90.122,0.0,106.091,57.687,101.402,90.122,90.122,106.091,109.164,0.0
INST0046_N5_W16_P001,41.092,29.954,106.091,0.0,50.611,14.239,29.954,29.954,0.0,28.769,106.091
INST0046_N5_W16_D001,41.349,32.833,57.687,50.611,0.0,43.952,32.833,32.833,50.611,51.842,57.687
INST0046_N5_W16_P002,26.872,16.791,101.402,14.239,43.952,0.0,16.791,16.791,14.239,16.35,101.402
INST0046_N5_W16_D002,14.077,0.0,90.122,29.954,32.833,16.791,0.0,0.0,29.954,19.054,90.122
INST0046_N5_W16_P003,14.077,0.0,90.122,29.954,32.833,16.791,0.0,0.0,29.954,19.054,90.122
INST0046_N5_W16_D003,41.092,29.954,106.091,0.0,50.611,14.239,29.954,29.954,0.0,28.769,106.091
INST0046_N5_W16_P004,18.744,19.054,109.164,28.769,51.842,16.35,19.054,19.054,28.769,0.0,109.164
INST0046_N5_W16_D004,96.036,90.122,0.0,106.091,57.687,101.402,90.122,90.122,106.091,109.164,0.0
