,depot,INST0178_N15_W28_P000,INST0178_N15_W28_D000,INST0178_N15_W28_P001,INST0178_N15_W28_D001,INST0178_N15_W28_P002,INST0178_N15_W28_D002,INST0178_N15_W28_P003,INST0178_N15_W28_D003,INST0178_N15_W28_P004,INST0178_N15_W28_D004,INST0178_N15_W28_P005,INST0178_N15_W28_D005,INST0178_N15_W28_P006,INST0178_N15_W28_D006,INST0178_N15_W28_P007,INST0178_N15_W28_D007,INST0178_N15_W28_P008,INST0178_N15_W28_D008,INST0178_N15_W28_P009,INST0178_N15_W28_D009,INST0178_N15_W28_P010,INST0178_N15_W28_D010,INST0178_N15_W28_P011,INST0178_N15_W28_D011,INST0178_N15_W28_P012,INST0178_N15_W28_D012,INST0178_N15_W28_P013,INST0178_N15_W28_D013,INST0178_N15_W28_P014,INST0178_N15_W28_D014
depot,0.0,79.708,0.0,40.846,109.164,14.722,109.164,79.708,116.61,40.846,57.687,79.708,96.036,40.846,79.708,40.846,96.036,40.846,79.708,14.722,90.122,57.687,116.61,40.846,101.402,57.687,94.442,57.687,0.0,14.722,109.164
INST0178_N15_W28_P000,79.708,0.0,79.708,40.063,29.48,93.687,29.48,0.0,37.477,40.063,22.455,0.0,20.581,40.063,0.0,40.063,20.581,40.063,0.0,93.687,10.426,22.455,37.477,40.063,24.4,22.455,46.518,22.455,79.708,93.687,29.48
INST0178_N15_W28_D000,0.0,79.708,0.0,40.846,109.164,14.722,109.164,79.708,116.61,40.846,57.687,79.708,96.036,40.846,79.708,40.846,96.036,40.846,79.708,14.722,90.122,57.687,116.61,40.846,101.402,57.687,94.442,57.687,0.0,14.722,109.164
INST0178_N15_W28_P001,40.846,40.063,40.846,0.0,69.129,54.132,69.129,40.063,77.525,0.0,20.342,40.063,55.217,0.0,40.063,0.0,55.217,0.0,40.063,54.132,50.28,20.342,77.525,0.0,63.444,20.342,57.646,20.342,40.846,54.132,69.129
INST0178_N15_W28_D001,109.164,29.48,109.164,69.129,0.0,123.055,0.0,29.48,11.735,69.129,51.842,29.48,18.744,69.129,29.48,69.129,18.744,69.129,29.48,123.055,19.054,51.842,11.735,69.129,16.35,51.842,52.507,51.842,109.164,123.055,0.0
INST0178_N15_W28_P002,14.722,93.687,14.722,54.132,123.055,0.0,123.055,93.687,130.825,54.132,71.944,93.687,109.245,54.132,93.687,54.132,109.245,54.132,93.687,0.0,104.062,71.944,130.825,54.132,115.807,71.944,104.634,71.944,14.722,0.0,123.055
INST0178_N15_W28_D002,109.164,29.48,109.164,69.129,0.0,123.055,0.0,29.48,11.735,69.129,51.842,29.48,18.744,69.129,29.48,69.129,18.744,69.129,29.48,123.055,19.054,51.842,11.735,69.129,16.35,51.842,52.507,51.842,109.164,123.055,0.0
INST0178_N15_W28_P003,79.708,0.0,79.708,40.063,29.48,93.687,29.48,0.0,37.477,40.063,22.455,0.0,20.581,40.063,0.0,40.063,20.581,40.063,0.0,93.687,10.426,22.455,37.477,40.063,24.4,22.455,46.518,22.455,79.708,93.687,29.48
INST0178_N15_W28_D003,116.61,37.477,116.61,77.525,11.735,130.825,11.735,37.477,0.0,77.525,58.923,37.477,30.344,77.525,37.477,77.525,30.344,77.525,37.477,130.825,27.544,58.923,0.0,77.525,16.399,58.923,64.172,58.923,116.61,130.825,11.735
INST0178_N15_W28_P004,40.846,40.063,40.846,0.0,69.129,54.132,69.129,40.063,77.525,0.0,20.342,40.063,55.217,0.0,40.063,0.0,55.217,0.0,40.063,54.132,50.28,20.342,77.525,0.0,63.444,20.342,57.646,20.342,40.846,54.132,69.129
INST0178_N15_W28_D004,57.687,22.455,57.687,20.342,51.842,71.944,51.842,22.455,58.923,20.342,0.0,22.455,41.349,20.342,22.455,20.342,41.349,20.342,22.455,71.944,32.833,0.0,58.923,20.342,43.952,0.0,55.918,0.0,57.687,71.944,51.842
INST0178_N15_W28_P005,79.708,0.0,79.708,40.063,29.48,93.687,29.48,0.0,37.477,40.063,22.455,0.0,20.581,40.063,0.0,40.063,20.581,40.063,0.0,93.687,10.426,22.455,37.477,40.063,24.4,22.455,46.518,22.455,79.708,93.687,29.48
INST0178_N15_W28_D005,96.036,20.581,96.036,55.217,18.744,109.245,18.744,20.581,30.344,55.217,41.349,20.581,0.0,55.217,20.581,55.217,0.0,55.217,20.581,109.245,14.077,41.349,30.344,55.217,26.872,41.349,35.155,41.349,96.036,109.245,18.744
INST0178_N15_W28_P006,40.846,40.063,40.846,0.0,69.129,54.132,69.129,40.063,77.525,0.0,20.342,40.063,55.217,0.0,40.063,0.0,55.217,0.0,40.063,54.132,50.28,20.342,77.525,0.0,63.444,20.342,57.646,20.342,40.846,54.132,69.129
INST0178_N15_W28_D006,79.708,0.0,79.708,40.063,29.48,93.687,29.48,0.0,37.477,40.063,22.455,0.0,20.581,40.063,0.0,40.063,20.581,40.063,0.0,93.687,10.426,22.455,37.477,40.063,24.4,22.455,46.518,22.455,79.708,93.687,29.48
