,depot,INST0039_N5_N09_P000,INST0039_N5_N09_D000,INST0039_N5_N09_P001,INST0039_N5_N09_D001,INST0039_N5_N09_P002,INST0039_N5_N09_D002,INST0039_N5_N09_P003,INST0039_N5_N09_D003,INST0039_N5_N09_P004,INST0039_N5_N09_D004
depot,0.0,58.839,54.669,0.0,35.041,33.197,43.657,56.4,58.839,33.197,99.467
INST0039_N5_N09_P000,58.839,0.0,17.072,58.839,25.326,31.992,49.306,14.003,0.0,31.992,95.498
INST0039_N5_N09_D000,54.669,17.072,0.0,54.669,28.727,22.322,33.929,3.413,17.072,22.322,78.656
INST0039_N5_N09_P001,0.0,58.839,54.669,0.0,35.041,33.197,43.657,56.4,58.839,33.197,99.467
INST0039_N5_N09_D001,35.041,25.326,28.727,35.041,0.0,21.127,43.511,28.595,25.326,21.127,99.392
INST0039_N5_N09_P002,33.197,31.992,22.322,33.197,21.127,0.0,22.387,24.705,31.992,0.0,78.919
INST0039_N5_N09_D002,43.657,49.306,33.929,43.657,43.511,22.387,0.0,37.312,49.306,22.387,57.966
INST0039_N5_N09_P003,56.4,14.003,3.413,56.4,28.595,24.705,37.312,0.0,14.003,24.705,81.517
INST0039_N5_N09_D003,58.839,0.0,17.072,58.839,25.326,31.992,49.306,14.003,0.0,31.992,95.498
INST0039_N5_N09_P004,33.197,31.992,22.322,33.197,21.127,0.0,22.387,24.705,31.992,0.0,78.919
INST0039_N5_N09_D004,99.467,95.498,78.656,99.467,99.392,78.919,57.966,81.517,95.498,78.919,0.0
