,depot,INST0168_N15_N18_P000,INST0168_N15_N18_D000,INST0168_N15_N18_P001,INST0168_N15_N18_D001,INST0168_N15_N18_P002,INST0168_N15_N18_D002,INST0168_N15_N18_P003,INST0168_N15_N18_D003,INST0168_N15_N18_P004,INST0168_N15_N18_D004,INST0168_N15_N18_P005,INST0168_N15_N18_D005,INST0168_N15_N18_P006,INST0168_N15_N18_D006,INST0168_N15_N18_P007,INST0168_N15_N18_D007,INST0168_N15_N18_P008,INST0168_N15_N18_D008,INST0168_N15_N18_P009,INST0168_N15_N18_D009,INST0168_N15_N18_P010,INST0168_N15_N18_D010,INST0168_N15_N18_P011,INST0168_N15_N18_D011,INST0168_N15_N18_P012,INST0168_N15_N18_D012,INST0168_N15_N18_P013,INST0168_N15_N18_D013,INST0168_N15_N18_P014,INST0168_N15_N18_D014
depot,0.0,37.312,28.595,14.003,134.313,14.003,28.595,64.653,0.0,28.595,64.653,14.003,134.313,64.653,81.517,37.312,24.705,16.848,56.4,94.965,16.848,56.4,178.677,24.705,178.677,37.312,16.848,16.848,81.517,56.4,166.496
INST0168_N15_N18_P000,37.312,0.0,43.511,49.306,149.729,49.306,43.511,101.428,37.312,43.511,101.428,49.306,149.729,101.428,57.966,0.0,22.387,23.01,43.657,114.14,23.01,43.657,160.581,22.387,160.581,0.0,23.01,23.01,57.966,43.657,175.714
INST0168_N15_N18_D000,28.595,43.511,0.0,25.326,162.63,25.326,0.0,79.42,28.595,0.0,79.42,25.326,162.63,79.42,99.392,43.511,21.127,24.088,35.041,122.983,24.088,35.041,153.452,21.127,153.452,43.511,24.088,24.088,99.392,35.041,139.347
INST0168_N15_N18_P001,14.003,49.306,25.326,0.0,139.481,0.0,25.326,56.35,14.003,25.326,56.35,0.0,139.481,56.35,95.498,49.306,31.992,26.694,58.839,99.415,26.694,58.839,178.773,31.992,178.773,49.306,26.694,26.694,95.498,58.839,157.017
INST0168_N15_N18_D001,134.313,149.729,162.63,139.481,0.0,139.481,162.63,116.851,134.313,162.63,116.851,139.481,0.0,116.851,127.812,149.729,154.717,146.035,187.802,40.266,146.035,187.802,309.6,154.717,309.6,149.729,146.035,146.035,127.812,187.802,293.481
INST0168_N15_N18_P002,14.003,49.306,25.326,0.0,139.481,0.0,25.326,56.35,14.003,25.326,56.35,0.0,139.481,56.35,95.498,49.306,31.992,26.694,58.839,99.415,26.694,58.839,178.773,31.992,178.773,49.306,26.694,26.694,95.498,58.839,157.017
INST0168_N15_N18_D002,28.595,43.511,0.0,25.326,162.63,25.326,0.0,79.42,28.595,0.0,79.42,25.326,162.63,79.42,99.392,43.511,21.127,24.088,35.041,122.983,24.088,35.041,153.452,21.127,153.452,43.511,24.088,24.088,99.392,35.041,139.347
INST0168_N15_N18_P003,64.653,101.428,79.42,56.35,116.851,56.35,79.42,0.0,64.653,79.42,0.0,56.35,116.851,0.0,131.605,101.428,87.893,81.208,114.332,79.694,81.208,114.332,229.986,87.893,229.986,101.428,81.208,81.208,131.605,114.332,182.822
INST0168_N15_N18_D003,0.0,37.312,28.595,14.003,134.313,14.003,28.595,64.653,0.0,28.595,64.653,14.003,134.313,64.653,81.517,37.312,24.705,16.848,56.4,94.965,16.848,56.4,178.677,24.705,178.677,37.312,16.848,16.848,81.517,56.4,166.496
INST0168_N15_N18_P004,28.595,43.511,0.0,25.326,162.63,25.326,0.0,79.42,28.595,0.0,79.42,25.326,162.63,79.42,99.392,43.511,21.127,24.088,35.041,122.983,24.088,35.041,153.452,21.127,153.452,43.511,24.088,24.088,99.392,35.041,139.347
INST0168_N15_N18_D004,64.653,101.428,79.42,56.35,116.851,56.35,79.42,0.0,64.653,79.42,0.0,56.35,116.851,0.0,131.605,101.428,87.893,81.208,114.332,79.694,81.208,114.332,229.986,87.893,229.986,101.428,81.208,81.208,131.605,114.332,182.822
