,depot,INST0055_N5_W25_P000,INST0055_N5_W25_D000,INST0055_N5_W25_P001,INST0055_N5_W25_D001,INST0055_N5_W25_P002,INST0055_N5_W25_D002,INST0055_N5_W25_P003,INST0055_N5_W25_D003,INST0055_N5_W25_P004,INST0055_N5_W25_D004
depot,0.0,84.648,22.951,22.951,150.679,20.02,36.098,14.369,20.02,14.369,84.648
INST0055_N5_W25_P000,84.648,0.0,67.612,67.612,66.284,77.687,49.056,94.929,77.687,94.929,0.0
INST0055_N5_W25_D000,22.951,67.612,0.0,0.0,133.769,32.905,25.201,37.156,32.905,37.156,67.612
INST0055_N5_W25_P001,22.951,67.612,0.0,0.0,133.769,32.905,25.201,37.156,32.905,37.156,67.612
INST0055_N5_W25_D001,150.679,66.284,133.769,133.769,0.0,141.804,114.719,160.194,141.804,160.194,66.284
INST0055_N5_W25_P002,20.02,77.687,32.905,32.905,141.804,0.0,29.878,20.081,0.0,20.081,77.687
INST0055_N5_W25_D002,36.098,49.056,25.201,25.201,114.719,29.878,0.0,45.89,29.878,45.89,49.056
INST0055_N5_W25_P003,14.369,94.929,37.156,37.156,160.194,20.081,45.89,0.0,20.081,0.0,94.929
INST0055_N5_W25_D003,20.02,77.687,32.905,32.905,141.804,0.0,29.878,20.081,0.0,20.081,77.687
INST0055_N5_W25_P004,14.369,94.929,37.156,37.156,160.194,20.081,45.89,0.0,20.081,0.0,94.929
INST0055_N5_W25_D004,84.648,0.0,67.612,67.612,66.284,77.687,49.056,94.929,77.687,94.929,0.0
