,depot,INST0287_N25_S17_P000,INST0287_N25_S17_D000,INST0287_N25_S17_P001,INST0287_N25_S17_D001,INST0287_N25_S17_P002,INST0287_N25_S17_D002,INST0287_N25_S17_P003,INST0287_N25_S17_D003,INST0287_N25_S17_P004,INST0287_N25_S17_D004,INST0287_N25_S17_P005,INST0287_N25_S17_D005,INST0287_N25_S17_P006,INST0287_N25_S17_D006,INST0287_N25_S17_P007,INST0287_N25_S17_D007,INST0287_N25_S17_P008,INST0287_N25_S17_D008,INST0287_N25_S17_P009,INST0287_N25_S17_D009,INST0287_N25_S17_P010,INST0287_N25_S17_D010,INST0287_N25_S17_P011,INST0287_N25_S17_D011,INST0287_N25_S17_P012,INST0287_N25_S17_D012,INST0287_N25_S17_P013,INST0287_N25_S17_D013,INST0287_N25_S17_P014,INST0287_N25_S17_D014,INST0287_N25_S17_P015,INST0287_N25_S17_D015,INST0287_N25_S17_P016,INST0287_N25_S17_D016,INST0287_N25_S17_P017,INST0287_N25_S17_D017,INST0287_N25_S17_P018,INST0287_N25_S17_D018,INST0287_N25_S17_P019,INST0287_N25_S17_D019,INST0287_N25_S17_P020,INST0287_N25_S17_D020,INST0287_N25_S17_P021,INST0287_N25_S17_D021,INST0287_N25_S17_P022,INST0287_N25_S17_D022,INST0287_N25_S17_P023,INST0287_N25_S17_D023,INST0287_N25_S17_P024,INST0287_N25_S17_D024
depot,0.0,26.348,23.863,55.105,24.036,31.149,102.142,67.557,102.142,29.68,112.533,0.0,55.105,26.348,67.557,31.149,55.105,26.348,23.863,0.0,31.149,26.348,24.036,26.348,29.68,55.105,72.268,31.149,26.348,24.036,72.268,67.557,152.108,0.0,24.036,0.0,112.533,72.268,23.863,0.0,152.108,26.348,0.0,72.268,23.863,26.348,29.68,26.348,102.142,67.557,29.68
INST0287_N25_S17_P000,26.348,0.0,30.556,80.067,26.3,39.549,108.949,92.948,108.949,32.455,137.848,26.348,80.067,0.0,92.948,39.549,80.067,0.0,30.556,26.348,39.549,0.0,26.3,0.0,32.455,80.067,46.181,39.549,0.0,26.3,46.181,92.948,177.944,26.348,26.3,26.348,137.848,46.181,30.556,26.348,177.944,0.0,26.348,46.181,30.556,0.0,32.455,0.0,108.949,92.948,32.455
INST0287_N25_S17_D000,23.863,30.556,0.0,72.248,44.645,54.293,125.848,83.129,125.848,51.136,127.137,23.863,72.248,30.556,83.129,54.293,72.248,30.556,0.0,23.863,54.293,30.556,44.645,30.556,51.136,72.248,67.228,54.293,30.556,44.645,67.228,83.129,164.482,23.863,44.645,23.863,127.137,67.228,0.0,23.863,164.482,30.556,23.863,67.228,0.0,30.556,51.136,30.556,125.848,83.129,51.136
INST0287_N25_S17_P001,55.105,80.067,72.248,0.0,61.869,53.679,87.998,13.307,87.998,61.135,57.803,55.105,0.0,80.067,13.307,53.679,0.0,80.067,72.248,55.105,53.679,80.067,61.869,80.067,61.135,0.0,126.125,53.679,80.067,61.869,126.125,13.307,98.41,55.105,61.869,55.105,57.803,126.125,72.248,55.105,98.41,80.067,55.105,126.125,72.248,80.067,61.135,80.067,87.998,13.307,61.135
INST0287_N25_S17_D001,24.036,26.3,44.645,61.869,0.0,13.324,83.656,75.176,83.656,6.707,118.85,24.036,61.869,26.3,75.176,13.324,61.869,26.3,44.645,24.036,13.324,26.3,0.0,26.3,6.707,61.869,67.566,13.324,26.3,0.0,67.566,75.176,160.028,24.036,0.0,24.036,118.85,67.566,44.645,24.036,160.028,26.3,24.036,67.566,44.645,26.3,6.707,26.3,83.656,75.176,6.707
INST0287_N25_S17_P002,31.149,39.549,54.293,53.679,13.324,0.0,71.877,66.815,71.877,8.581,109.068,31.149,53.679,39.549,66.815,0.0,53.679,39.549,54.293,31.149,0.0,39.549,13.324,39.549,8.581,53.679,80.145,0.0,39.549,13.324,80.145,66.815,150.553,31.149,13.324,31.149,109.068,80.145,54.293,31.149,150.553,39.549,31.149,80.145,54.293,39.549,8.581,39.549,71.877,66.815,8.581
INST0287_N25_S17_D002,102.142,108.949,125.848,87.998,83.656,71.877,0.0,94.398,0.0,77.018,114.428,102.142,87.998,108.949,94.398,71.877,87.998,108.949,125.848,102.142,71.877,108.949,83.656,108.949,77.018,87.998,138.993,71.877,108.949,83.656,138.993,94.398,151.155,102.142,83.656,102.142,114.428,138.993,125.848,102.142,151.155,108.949,102.142,138.993,125.848,108.949,77.018,108.949,0.0,94.398,77.018
INST0287_N25_S17_P003,67.557,92.948,83.129,13.307,75.176,66.815,94.398,0.0,94.398,74.382,44.98,67.557,13.307,92.948,0.0,66.815,13.307,92.948,83.129,67.557,66.815,92.948,75.176,92.948,74.382,13.307,139.086,66.815,92.948,75.176,139.086,0.0,85.211,67.557,75.176,67.557,44.98,139.086,83.129,67.557,85.211,92.948,67.557,139.086,83.129,92.948,74.382,92.948,94.398,0.0,74.382
INST0287_N25_S17_D003,102.142,108.949,125.848,87.998,83.656,71.877,0.0,94.398,0.0,77.018,114.428,102.142,87.998,108.949,94.398,71.877,87.998,108.949,125.848,102.142,71.877,108.949,83.656,108.949,77.018,87.998,138.993,71.877,108.949,83.656,138.993,94.398,151.155,102.142,83.656,102.142,114.428,138.993,125.848,102.142,151.155,108.949,102.142,138.993,125.848,108.949,77.018,108.949,0.0,94.398,77.018
INST0287_N25_S17_P004,29.68,32.455,51.136,61.135,6.707,8.581,77.018,74.382,77.018,0.0,117.194,29.68,61.135,32.455,74.382,8.581,61.135,32.455,51.136,29.68,8.581,32.455,6.707,32.455,0.0,61.135,71.658,8.581,32.455,6.707,71.658,74.382,158.604,29.68,6.707,29.68,117.194,71.658,51.136,29.68,158.604,32.455,29.68,71.658,51.136,32.455,0.0,32.455,77.018,74.382,0.0
