,depot,INST0070_N8_W10_P000,INST0070_N8_W10_D000,INST0070_N8_W10_P001,INST0070_N8_W10_D001,INST0070_N8_W10_P002,INST0070_N8_W10_D002,INST0070_N8_W10_P003,INST0070_N8_W10_D003,INST0070_N8_W10_P004,INST0070_N8_W10_D004,INST0070_N8_W10_P005,INST0070_N8_W10_D005,INST0070_N8_W10_P006,INST0070_N8_W10_D006,INST0070_N8_W10_P007,INST0070_N8_W10_D007
depot,0.0,29.48,0.0,16.35,51.842,0.0,28.769,52.507,69.129,69.129,109.164,28.769,11.735,29.48,51.842,11.735,16.35
INST0070_N8_W10_P000,29.48,0.0,29.48,24.4,22.455,29.48,35.196,46.518,40.063,40.063,79.708,35.196,37.477,0.0,22.455,37.477,24.4
INST0070_N8_W10_D000,0.0,29.48,0.0,16.35,51.842,0.0,28.769,52.507,69.129,69.129,109.164,28.769,11.735,29.48,51.842,11.735,16.35
INST0070_N8_W10_P001,16.35,24.4,16.35,0.0,43.952,16.35,14.239,61.821,63.444,63.444,101.402,14.239,16.399,24.4,43.952,16.399,0.0
INST0070_N8_W10_D001,51.842,22.455,51.842,43.952,0.0,51.842,50.611,55.918,20.342,20.342,57.687,50.611,58.923,22.455,0.0,58.923,43.952
INST0070_N8_W10_P002,0.0,29.48,0.0,16.35,51.842,0.0,28.769,52.507,69.129,69.129,109.164,28.769,11.735,29.48,51.842,11.735,16.35
INST0070_N8_W10_D002,28.769,35.196,28.769,14.239,50.611,28.769,0.0,75.918,70.903,70.903,106.091,0.0,23.199,35.196,50.611,23.199,14.239
INST0070_N8_W10_P003,52.507,46.518,52.507,61.821,55.918,52.507,75.918,0.0,57.646,57.646,94.442,75.918,64.172,46.518,55.918,64.172,61.821
INST0070_N8_W10_D003,69.129,40.063,69.129,63.444,20.342,69.129,70.903,57.646,0.0,0.0,40.846,70.903,77.525,40.063,20.342,77.525,63.444
INST0070_N8_W10_P004,69.129,40.063,69.129,63.444,20.342,69.129,70.903,57.646,0.0,0.0,40.846,70.903,77.525,40.063,20.342,77.525,63.444
INST0070_N8_W10_D004,109.164,79.708,109.164,101.402,57.687,109.164,106.091,94.442,40.846,40.846,0.0,106.091,116.61,79.708,57.687,116.61,101.402
INST0070_N8_W10_P005,28.769,35.196,28.769,14.239,50.611,28.769,0.0,75.918,70.903,70.903,106.091,0.0,23.199,35.196,50.611,23.199,14.239
INST0070_N8_W10_D005,11.735,37.477,11.735,16.399,58.923,11.735,23.199,64.172,77.525,77.525,116.61,23.199,0.0,37.477,58.923,0.0,16.399
INST0070_N8_W10_P006,29.48,0.0,29.48,24.4,22.455,29.48,35.196,46.518,40.063,40.063,79.708,35.196,37.477,0.0,22.455,37.477,24.4
INST0070_N8_W10_D006,51.842,22.455,51.842,43.952,0.0,51.842,50.611,55.918,20.342,20.342,57.687,50.611,58.923,22.455,0.0,58.923,43.952
INST0070_N8_W10_P007,11.735,37.477,11.735,16.399,58.923,11.735,23.199,64.172,77.525,77.525,116.61,23.199,0.0,37.477,58.923,0.0,16.399
INST0070_N8_W10_D007,16.35,24.4,16.35,0.0,43.952,16.35,14.239,61.821,63.444,63.444,101.402,14.239,16.399,24.4,43.952,16.399,0.0
