,depot,INST0148_N12_W28_P000,INST0148_N12_W28_D000,INST0148_N12_W28_P001,INST0148_N12_W28_D001,INST0148_N12_W28_P002,INST0148_N12_W28_D002,INST0148_N12_W28_P003,INST0148_N12_W28_D003,INST0148_N12_W28_P004,INST0148_N12_W28_D004,INST0148_N12_W28_P005,INST0148_N12_W28_D005,INST0148_N12_W28_P006,INST0148_N12_W28_D006,INST0148_N12_W28_P007,INST0148_N12_W28_D007,INST0148_N12_W28_P008,INST0148_N12_W28_D008,INST0148_N12_W28_P009,INST0148_N12_W28_D009,INST0148_N12_W28_P010,INST0148_N12_W28_D010,INST0148_N12_W28_P011,INST0148_N12_W28_D011
depot,0.0,79.708,90.122,79.708,0.0,0.0,57.687,57.687,14.722,14.722,79.708,79.708,40.846,14.722,101.402,40.846,14.722,0.0,90.122,14.722,106.091,57.687,96.036,79.708,94.442
INST0148_N12_W28_P000,79.708,0.0,10.426,0.0,79.708,79.708,22.455,22.455,93.687,93.687,0.0,0.0,40.063,93.687,24.4,40.063,93.687,79.708,10.426,93.687,35.196,22.455,20.581,0.0,46.518
INST0148_N12_W28_D000,90.122,10.426,0.0,10.426,90.122,90.122,32.833,32.833,104.062,104.062,10.426,10.426,50.28,104.062,16.791,50.28,104.062,90.122,0.0,104.062,29.954,32.833,14.077,10.426,46.592
INST0148_N12_W28_P001,79.708,0.0,10.426,0.0,79.708,79.708,22.455,22.455,93.687,93.687,0.0,0.0,40.063,93.687,24.4,40.063,93.687,79.708,10.426,93.687,35.196,22.455,20.581,0.0,46.518
INST0148_N12_W28_D001,0.0,79.708,90.122,79.708,0.0,0.0,57.687,57.687,14.722,14.722,79.708,79.708,40.846,14.722,101.402,40.846,14.722,0.0,90.122,14.722,106.091,57.687,96.036,79.708,94.442
INST0148_N12_W28_P002,0.0,79.708,90.122,79.708,0.0,0.0,57.687,57.687,14.722,14.722,79.708,79.708,40.846,14.722,101.402,40.846,14.722,0.0,90.122,14.722,106.091,57.687,96.036,79.708,94.442
INST0148_N12_W28_D002,57.687,22.455,32.833,22.455,57.687,57.687,0.0,0.0,71.944,71.944,22.455,22.455,20.342,71.944,43.952,20.342,71.944,57.687,32.833,71.944,50.611,0.0,41.349,22.455,55.918
INST0148_N12_W28_P003,57.687,22.455,32.833,22.455,57.687,57.687,0.0,0.0,71.944,71.944,22.455,22.455,20.342,71.944,43.952,20.342,71.944,57.687,32.833,71.944,50.611,0.0,41.349,22.455,55.918
INST0148_N12_W28_D003,14.722,93.687,104.062,93.687,14.722,14.722,71.944,71.944,0.0,0.0,93.687,93.687,54.132,0.0,115.807,54.132,0.0,14.722,104.062,0.0,120.757,71.944,109.245,93.687,104.634
INST0148_N12_W28_P004,14.722,93.687,104.062,93.687,14.722,14.722,71.944,71.944,0.0,0.0,93.687,93.687,54.132,0.0,115.807,54.132,0.0,14.722,104.062,0.0,120.757,71.944,109.245,93.687,104.634
INST0148_N12_W28_D004,79.708,0.0,10.426,0.0,79.708,79.708,22.455,22.455,93.687,93.687,0.0,0.0,40.063,93.687,24.4,40.063,93.687,79.708,10.426,93.687,35.196,22.455,20.581,0.0,46.518
INST0148_N12_W28_P005,79.708,0.0,10.426,0.0,79.708,79.708,22.455,22.455,93.687,93.687,0.0,0.0,40.063,93.687,24.4,40.063,93.687,79.708,10.426,93.687,35.196,22.455,20.581,0.0,46.518
INST0148_N12_W28_D005,40.846,40.063,50.28,40.063,40.846,40.846,20.342,20.342,54.132,54.132,40.063,40.063,0.0,54.132,63.444,0.0,54.132,40.846,50.28,54.132,70.903,20.342,55.217,40.063,57.646
INST0148_N12_W28_P006,14.722,93.687,104.062,93.687,14.722,14.722,71.944,71.944,0.0,0.0,93.687,93.687,54.132,0.0,115.807,54.132,0.0,14.722,104.062,0.0,120.757,71.944,109.245,93.687,104.634
INST0148_N12_W28_D006,101.402,24.4,16.791,24.4,101.402,101.402,43.952,43.952,115.807,115.807,24.4,24.4,63.444,115.807,0.0,63.444,115.807,101.402,16.791,115.807,14.239,43.952,26.872,24.4,61.821
INST0148_N12_W28_P007,40.846,40.063,50.28,40.063,40.846,40.846,20.342,20.342,54.132,54.132,40.063,40.063,0.0,54.132,63.444,0.0,54.132,40.846,50.28,54.132,70.903,20.342,55.217,40.063,57.646
INST0148_N12_W28_D007,14.722,93.687,104.062,93.687,14.722,14.722,71.944,71.944,0.0,0.0,93.687,93.687,54.132,0.0,115.807,54.132,0.0,14.722,104.062,0.0,120.757,71.944,109.245,93.687,104.634
INST0148_N12_W28_P008,0.0,79.708,90.122,79.708,0.0,0.0,57.687,57.687,14.722,14.722,79.708,79.708,40.846,14.722,101.402,40.846,14.722,0.0,90.122,14.722,106.091,57.687,96.036,79.708,94.442
INST0148_N12_W28_D008,90.122,10.426,0.0,10.426,90.122,90.122,32.833,32.833,104.062,104.062,10.426,10.426,50.28,104.062,16.791,50.28,104.062,90.122,0.0,104.062,29.954,32.833,14.077,10.426,46.592
INST0148_N12_W28_P009,14.722,93.687,104.062,93.687,14.722,14.722,71.944,71.944,0.0,0.0,93.687,93.687,54.132,0.0,115.807,54.132,0.0,14.722,104.062,0.0,120.757,71.944,109.245,93.687,104.634
INST0148_N12_W28_D009,106.091,35.196,29.954,35.196,106.091,106.091,50.611,50.611,120.757,120.757,35.196,35.196,70.903,120.757,14.239,70.903,120.757,106.091,29.954,120.757,0.0,50.611,41.092,35.196,75.918
INST0148_N12_W28_P010,57.687,22.455,32.833,22.455,57.687,57.687,0.0,0.0,71.944,71.944,22.455,22.455,20.342,71.944,43.952,20.342,71.944,57.687,32.833,71.944,50.611,0.0,41.349,22.455,55.918
INST0148_N12_W28_D010,96.036,20.581,14.077,20.581,96.036,96.036,41.349,41.349,109.245,109.245,20.581,20.581,55.217,109.245,26.872,55.217,109.245,96.036,14.077,109.245,41.092,41.349,0.0,20.581,35.155
INST0148_N12_W28_P011,79.708,0.0,10.426,0.0,79.708,79.708,22.455,22.455,93.687,93.687,0.0,0.0,40.063,93.687,24.4,40.063,93.687,79.708,10.426,93.687,35.196,22.455,20.581,0.0,46.518
INST0148_N12_W28_D011,94.442,46.518,46.592,46.518,94.442,94.442,55.918,55.918,104.634,104.634,46.518,46.518,57.646,104.634,61.821,57.646,104.634,94.442,46.592,104.634,75.918,55.918,35.155,46.518,0.0
