,depot,INST0189_N18_N09_P000,INST0189_N18_N09_D000,INST0189_N18_N09_P001,INST0189_N18_N09_D001,INST0189_N18_N09_P002,INST0189_N18_N09_D002,INST0189_N18_N09_P003,INST0189_N18_N09_D003,INST0189_N18_N09_P004,INST0189_N18_N09_D004,INST0189_N18_N09_P005,INST0189_N18_N09_D005,INST0189_N18_N09_P006,INST0189_N18_N09_D006,INST0189_N18_N09_P007,INST0189_N18_N09_D007,INST0189_N18_N09_P008,INST0189_N18_N09_D008,INST0189_N18_N09_P009,INST0189_N18_N09_D009,INST0189_N18_N09_P010,INST0189_N18_N09_D010,INST0189_N18_N09_P011,INST0189_N18_N09_D011,INST0189_N18_N09_P012,INST0189_N18_N09_D012,INST0189_N18_N09_P013,INST0189_N18_N09_D013,INST0189_N18_N09_P014,INST0189_N18_N09_D014,INST0189_N18_N09_P015,INST0189_N18_N09_D015,INST0189_N18_N09_P016,INST0189_N18_N09_D016,INST0189_N18_N09_P017,INST0189_N18_N09_D017
depot,0.0,33.197,134.941,58.839,187.802,43.657,58.839,35.041,99.467,0.0,43.657,35.041,41.993,0.0,41.993,0.0,56.4,35.041,134.941,43.657,54.669,43.657,33.197,54.669,35.041,0.0,56.4,54.669,33.197,33.197,114.332,43.657,54.669,56.4,43.657,0.0,99.467
INST0189_N18_N09_P000,33.197,0.0,156.702,31.992,154.717,22.387,31.992,21.127,78.919,33.197,22.387,21.127,8.817,33.197,8.817,33.197,24.705,21.127,156.702,22.387,22.322,22.387,0.0,22.322,21.127,33.197,24.705,22.322,0.0,0.0,87.893,22.387,22.322,24.705,22.387,33.197,78.919
INST0189_N18_N09_D000,134.941,156.702,0.0,157.017,293.481,175.714,157.017,139.347,233.468,134.941,175.714,139.347,162.641,134.941,162.641,134.941,166.496,139.347,0.0,175.714,167.44,175.714,156.702,167.44,139.347,134.941,166.496,167.44,156.702,156.702,182.822,175.714,167.44,166.496,175.714,134.941,233.468
INST0189_N18_N09_P001,58.839,31.992,157.017,0.0,139.481,49.306,0.0,25.326,95.498,58.839,49.306,25.326,26.694,58.839,26.694,58.839,14.003,25.326,157.017,49.306,17.072,49.306,31.992,17.072,25.326,58.839,14.003,17.072,31.992,31.992,56.35,49.306,17.072,14.003,49.306,58.839,95.498
INST0189_N18_N09_D001,187.802,154.717,293.481,139.481,0.0,149.729,139.481,162.63,127.812,187.802,149.729,162.63,146.035,187.802,146.035,187.802,134.313,162.63,293.481,149.729,134.948,149.729,154.717,134.948,162.63,187.802,134.313,134.948,154.717,154.717,116.851,149.729,134.948,134.313,149.729,187.802,127.812
INST0189_N18_N09_P002,43.657,22.387,175.714,49.306,149.729,0.0,49.306,43.511,57.966,43.657,0.0,43.511,23.01,43.657,23.01,43.657,37.312,43.511,175.714,0.0,33.929,0.0,22.387,33.929,43.511,43.657,37.312,33.929,22.387,22.387,101.428,0.0,33.929,37.312,0.0,43.657,57.966
INST0189_N18_N09_D002,58.839,31.992,157.017,0.0,139.481,49.306,0.0,25.326,95.498,58.839,49.306,25.326,26.694,58.839,26.694,58.839,14.003,25.326,157.017,49.306,17.072,49.306,31.992,17.072,25.326,58.839,14.003,17.072,31.992,31.992,56.35,49.306,17.072,14.003,49.306,58.839,95.498
INST0189_N18_N09_P003,35.041,21.127,139.347,25.326,162.63,43.511,25.326,0.0,99.392,35.041,43.511,0.0,24.088,35.041,24.088,35.041,28.595,0.0,139.347,43.511,28.727,43.511,21.127,28.727,0.0,35.041,28.595,28.727,21.127,21.127,79.42,43.511,28.727,28.595,43.511,35.041,99.392
INST0189_N18_N09_D003,99.467,78.919,233.468,95.498,127.812,57.966,95.498,99.392,0.0,99.467,57.966,99.392,75.654,99.467,75.654,99.467,81.517,99.392,233.468,57.966,78.656,57.966,78.919,78.656,99.392,99.467,81.517,78.656,78.919,78.919,131.605,57.966,78.656,81.517,57.966,99.467,0.0
INST0189_N18_N09_P004,0.0,33.197,134.941,58.839,187.802,43.657,58.839,35.041,99.467,0.0,43.657,35.041,41.993,0.0,41.993,0.0,56.4,35.041,134.941,43.657,54.669,43.657,33.197,54.669,35.041,0.0,56.4,54.669,33.197,33.197,114.332,43.657,54.669,56.4,43.657,0.0,99.467
