,depot,INST0144_N12_N24_P000,INST0144_N12_N24_D000,INST0144_N12_N24_P001,INST0144_N12_N24_D001,INST0144_N12_N24_P002,INST0144_N12_N24_D002,INST0144_N12_N24_P003,INST0144_N12_N24_D003,INST0144_N12_N24_P004,INST0144_N12_N24_D004,INST0144_N12_N24_P005,INST0144_N12_N24_D005,INST0144_N12_N24_P006,INST0144_N12_N24_D006,INST0144_N12_N24_P007,INST0144_N12_N24_D007,INST0144_N12_N24_P008,INST0144_N12_N24_D008,INST0144_N12_N24_P009,INST0144_N12_N24_D009,INST0144_N12_N24_P010,INST0144_N12_N24_D010,INST0144_N12_N24_P011,INST0144_N12_N24_D011
depot,0.0,27.111,28.616,34.294,48.052,48.052,93.371,48.052,44.646,34.294,44.646,48.052,28.616,0.0,48.052,35.653,46.06,35.653,46.06,34.294,153.371,0.0,27.111,34.294,46.06
INST0144_N12_N24_P000,27.111,0.0,17.254,7.201,26.126,26.126,71.779,26.126,18.229,7.201,18.229,26.126,17.254,27.111,26.126,18.283,20.176,18.283,20.176,7.201,126.352,27.111,0.0,7.201,20.176
INST0144_N12_N24_D000,28.616,17.254,0.0,19.671,20.683,20.683,64.86,20.683,23.461,19.671,23.461,20.683,0.0,28.616,20.683,35.534,23.353,35.534,23.353,19.671,132.815,28.616,17.254,19.671,23.353
INST0144_N12_N24_P001,34.294,7.201,19.671,0.0,21.8,21.8,66.32,21.8,11.477,0.0,11.477,21.8,19.671,34.294,21.8,18.791,13.759,18.791,13.759,0.0,119.262,34.294,7.201,0.0,13.759
INST0144_N12_N24_D001,48.052,26.126,20.683,21.8,0.0,0.0,46.019,0.0,13.942,21.8,13.942,0.0,20.683,48.052,0.0,40.266,11.436,40.266,11.436,21.8,113.909,48.052,26.126,21.8,11.436
INST0144_N12_N24_P002,48.052,26.126,20.683,21.8,0.0,0.0,46.019,0.0,13.942,21.8,13.942,0.0,20.683,48.052,0.0,40.266,11.436,40.266,11.436,21.8,113.909,48.052,26.126,21.8,11.436
INST0144_N12_N24_D002,93.371,71.779,64.86,66.32,46.019,46.019,0.0,46.019,55.435,66.32,55.435,46.019,64.86,93.371,46.019,82.833,52.8,82.833,52.8,66.32,95.428,93.371,71.779,66.32,52.8
INST0144_N12_N24_P003,48.052,26.126,20.683,21.8,0.0,0.0,46.019,0.0,13.942,21.8,13.942,0.0,20.683,48.052,0.0,40.266,11.436,40.266,11.436,21.8,113.909,48.052,26.126,21.8,11.436
INST0144_N12_N24_D003,44.646,18.229,23.461,11.477,13.942,13.942,55.435,13.942,0.0,11.477,0.0,13.942,23.461,44.646,13.942,27.709,2.788,27.709,2.788,11.477,110.207,44.646,18.229,11.477,2.788
INST0144_N12_N24_P004,34.294,7.201,19.671,0.0,21.8,21.8,66.32,21.8,11.477,0.0,11.477,21.8,19.671,34.294,21.8,18.791,13.759,18.791,13.759,0.0,119.262,34.294,7.201,0.0,13.759
INST0144_N12_N24_D004,44.646,18.229,23.461,11.477,13.942,13.942,55.435,13.942,0.0,11.477,0.0,13.942,23.461,44.646,13.942,27.709,2.788,27.709,2.788,11.477,110.207,44.646,18.229,11.477,2.788
INST0144_N12_N24_P005,48.052,26.126,20.683,21.8,0.0,0.0,46.019,0.0,13.942,21.8,13.942,0.0,20.683,48.052,0.0,40.266,11.436,40.266,11.436,21.8,113.909,48.052,26.126,21.8,11.436
INST0144_N12_N24_D005,28.616,17.254,0.0,19.671,20.683,20.683,64.86,20.683,23.461,19.671,23.461,20.683,0.0,28.616,20.683,35.534,23.353,35.534,23.353,19.671,132.815,28.616,17.254,19.671,23.353
INST0144_N12_N24_P006,0.0,27.111,28.616,34.294,48.052,48.052,93.371,48.052,44.646,34.294,44.646,48.052,28.616,0.0,48.052,35.653,46.06,35.653,46.06,34.294,153.371,0.0,27.111,34.294,46.06
INST0144_N12_N24_D006,48.052,26.126,20.683,21.8,0.0,0.0,46.019,0.0,13.942,21.8,13.942,0.0,20.683,48.052,0.0,40.266,11.436,40.266,11.436,21.8,113.909,48.052,26.126,21.8,11.436
INST0144_N12_N24_P007,35.653,18.283,35.534,18.791,40.266,40.266,82.833,40.266,27.709,18.791,27.709,40.266,35.534,35.653,40.266,0.0,30.471,0.0,30.471,18.791,122.278,35.653,18.283,18.791,30.471
INST0144_N12_N24_D007,46.06,20.176,23.353,13.759,11.436,11.436,52.8,11.436,2.788,13.759,2.788,11.436,23.353,46.06,11.436,30.471,0.0,30.471,0.0,13.759,109.689,46.06,20.176,13.759,0.0
INST0144_N12_N24_P008,35.653,18.283,35.534,18.791,40.266,40.266,82.833,40.266,27.709,18.791,27.709,40.266,35.534,35.653,40.266,0.0,30.471,0.0,30.471,18.791,122.278,35.653,18.283,18.791,30.471
INST0144_N12_N24_D008,46.06,20.176,23.353,13.759,11.436,11.436,52.8,11.436,2.788,13.759,2.788,11.436,23.353,46.06,11.436,30.471,0.0,30.471,0.0,13.759,109.689,46.06,20.176,13.759,0.0
INST0144_N12_N24_P009,34.294,7.201,19.671,0.0,21.8,21.8,66.32,21.8,11.477,0.0,11.477,21.8,19.671,34.294,21.8,18.791,13.759,18.791,13.759,0.0,119.262,34.294,7.201,0.0,13.759
INST0144_N12_N24_D009,153.371,126.352,132.815,119.262,113.909,113.909,95.428,113.909,110.207,119.262,110.207,113.909,132.815,153.371,113.909,122.278,109.689,122.278,109.689,119.262,0.0,153.371,126.352,119.262,109.689
INST0144_N12_N24_P010,0.0,27.111,28.616,34.294,48.052,48.052,93.371,48.052,44.646,34.294,44.646,48.052,28.616,0.0,48.052,35.653,46.06,35.653,46.06,34.294,153.371,0.0,27.111,34.294,46.06
INST0144_N12_N24_D010,27.111,0.0,17.254,7.201,26.126,26.126,71.779,26.126,18.229,7.201,18.229,26.126,17.254,27.111,26.126,18.283,20.176,18.283,20.176,7.201,126.352,27.111,0.0,7.201,20.176
INST0144_N12_N24_P011,34.294,7.201,19.671,0.0,21.8,21.8,66.32,21.8,11.477,0.0,11.477,21.8,19.671,34.294,21.8,18.791,13.759,18.791,13.759,0.0,119.262,34.294,7.201,0.0,13.759
INST0144_N12_N24_D011,46.06,20.176,23.353,13.759,11.436,11.436,52.8,11.436,2.788,13.759,2.788,11.436,23.353,46.06,11.436,30.471,0.0,30.471,0.0,13.759,109.689,46.06,20.176,13.759,0.0
