,depot,INST0119_N10_S29_P000,INST0119_N10_S29_D000,INST0119_N10_S29_P001,INST0119_N10_S29_D001,INST0119_N10_S29_P002,INST0119_N10_S29_D002,INST0119_N10_S29_P003,INST0119_N10_S29_D003,INST0119_N10_S29_P004,INST0119_N10_S29_D004,INST0119_N10_S29_P005,INST0119_N10_S29_D005,INST0119_N10_S29_P006,INST0119_N10_S29_D006,INST0119_N10_S29_P007,INST0119_N10_S29_D007,INST0119_N10_S29_P008,INST0119_N10_S29_D008,INST0119_N10_S29_P009,INST0119_N10_S29_D009
depot,0.0,58.699,25.439,54.565,32.298,54.565,0.0,44.339,32.298,32.298,43.838,43.838,122.952,44.339,7.008,43.838,10.881,44.339,89.072,44.339,0.0
INST0119_N10_S29_P000,58.699,0.0,83.416,77.092,88.975,77.092,58.699,102.776,88.975,88.975,71.865,71.865,123.443,102.776,62.898,71.865,68.319,102.776,93.449,102.776,58.699
INST0119_N10_S29_D000,25.439,83.416,0.0,55.171,21.517,55.171,25.439,19.488,21.517,21.517,45.002,45.002,124.222,19.488,24.239,45.002,19.629,19.488,91.902,19.488,25.439
INST0119_N10_S29_P001,54.565,77.092,55.171,0.0,75.908,0.0,54.565,67.889,75.908,75.908,10.867,10.867,69.589,67.889,60.745,10.867,61.394,67.889,36.733,67.889,54.565
INST0119_N10_S29_D001,32.298,88.975,21.517,75.908,0.0,75.908,32.298,24.954,0.0,0.0,65.388,65.388,145.321,24.954,26.505,65.388,21.478,24.954,112.576,24.954,32.298
INST0119_N10_S29_P002,54.565,77.092,55.171,0.0,75.908,0.0,54.565,67.889,75.908,75.908,10.867,10.867,69.589,67.889,60.745,10.867,61.394,67.889,36.733,67.889,54.565
INST0119_N10_S29_D002,0.0,58.699,25.439,54.565,32.298,54.565,0.0,44.339,32.298,32.298,43.838,43.838,122.952,44.339,7.008,43.838,10.881,44.339,89.072,44.339,0.0
INST0119_N10_S29_P003,44.339,102.776,19.488,67.889,24.954,67.889,44.339,0.0,24.954,24.954,59.003,59.003,134.327,0.0,41.761,59.003,36.46,0.0,103.829,0.0,44.339
INST0119_N10_S29_D003,32.298,88.975,21.517,75.908,0.0,75.908,32.298,24.954,0.0,0.0,65.388,65.388,145.321,24.954,26.505,65.388,21.478,24.954,112.576,24.954,32.298
INST0119_N10_S29_P004,32.298,88.975,21.517,75.908,0.0,75.908,32.298,24.954,0.0,0.0,65.388,65.388,145.321,24.954,26.505,65.388,21.478,24.954,112.576,24.954,32.298
INST0119_N10_S29_D004,43.838,71.865,45.002,10.867,65.388,10.867,43.838,59.003,65.388,65.388,0.0,0.0,80.368,59.003,49.927,0.0,50.526,59.003,47.206,59.003,43.838
INST0119_N10_S29_P005,43.838,71.865,45.002,10.867,65.388,10.867,43.838,59.003,65.388,65.388,0.0,0.0,80.368,59.003,49.927,0.0,50.526,59.003,47.206,59.003,43.838
INST0119_N10_S29_D005,122.952,123.443,124.222,69.589,145.321,69.589,122.952,134.327,145.321,145.321,80.368,80.368,0.0,134.327,129.526,80.368,130.689,134.327,33.969,134.327,122.952
INST0119_N10_S29_P006,44.339,102.776,19.488,67.889,24.954,67.889,44.339,0.0,24.954,24.954,59.003,59.003,134.327,0.0,41.761,59.003,36.46,0.0,103.829,0.0,44.339
INST0119_N10_S29_D006,7.008,62.898,24.239,60.745,26.505,60.745,7.008,41.761,26.505,26.505,49.927,49.927,129.526,41.761,0.0,49.927,5.477,41.761,95.708,41.761,7.008
INST0119_N10_S29_P007,43.838,71.865,45.002,10.867,65.388,10.867,43.838,59.003,65.388,65.388,0.0,0.0,80.368,59.003,49.927,0.0,50.526,59.003,47.206,59.003,43.838
INST0119_N10_S29_D007,10.881,68.319,19.629,61.394,21.478,61.394,10.881,36.46,21.478,21.478,50.526,50.526,130.689,36.46,5.477,50.526,0.0,36.46,97.061,36.46,10.881
INST0119_N10_S29_P008,44.339,102.776,19.488,67.889,24.954,67.889,44.339,0.0,24.954,24.954,59.003,59.003,134.327,0.0,41.761,59.003,36.46,0.0,103.829,0.0,44.339
INST0119_N10_S29_D008,89.072,93.449,91.902,36.733,112.576,36.733,89.072,103.829,112.576,112.576,47.206,47.206,33.969,103.829,95.708,47.206,97.061,103.829,0.0,103.829,89.072
INST0119_N10_S29_P009,44.339,102.776,19.488,67.889,24.954,67.889,44.339,0.0,24.954,24.954,59.003,59.003,134.327,0.0,41.761,59.003,36.46,0.0,103.829,0.0,44.339
INST0119_N10_S29_D009,0.0,58.699,25.439,54.565,32.298,54.565,0.0,44.339,32.298,32.298,43.838,43.838,122.952,44.339,7.008,43.838,10.881,44.339,89.072,44.339,0.0
