,depot,INST0219_N20_N09_P000,INST0219_N20_N09_D000,INST0219_N20_N09_P001,INST0219_N20_N09_D001,INST0219_N20_N09_P002,INST0219_N20_N09_D002,INST0219_N20_N09_P003,INST0219_N20_N09_D003,INST0219_N20_N09_P004,INST0219_N20_N09_D004,INST0219_N20_N09_P005,INST0219_N20_N09_D005,INST0219_N20_N09_P006,INST0219_N20_N09_D006,INST0219_N20_N09_P007,INST0219_N20_N09_D007,INST0219_N20_N09_P008,INST0219_N20_N09_D008,INST0219_N20_N09_P009,INST0219_N20_N09_D009,INST0219_N20_N09_P010,INST0219_N20_N09_D010,INST0219_N20_N09_P011,INST0219_N20_N09_D011,INST0219_N20_N09_P012,INST0219_N20_N09_D012,INST0219_N20_N09_P013,INST0219_N20_N09_D013,INST0219_N20_N09_P014,INST0219_N20_N09_D014,INST0219_N20_N09_P015,INST0219_N20_N09_D015,INST0219_N20_N09_P016,INST0219_N20_N09_D016,INST0219_N20_N09_P017,INST0219_N20_N09_D017,INST0219_N20_N09_P018,INST0219_N20_N09_D018,INST0219_N20_N09_P019,INST0219_N20_N09_D019
depot,0.0,35.653,44.646,0.0,100.108,27.111,28.616,44.646,122.247,28.616,122.247,48.052,81.232,27.111,0.0,46.06,48.052,44.646,0.0,28.616,44.646,27.111,28.616,0.0,34.294,44.646,93.371,46.06,93.371,0.0,35.653,0.0,28.616,44.646,27.111,46.06,48.052,27.111,110.202,44.646,122.247
INST0219_N20_N09_P000,35.653,0.0,27.709,35.653,131.141,18.283,35.534,27.709,93.214,35.534,93.214,40.266,47.339,18.283,35.653,30.471,40.266,27.709,35.653,35.534,27.709,18.283,35.534,35.653,18.791,27.709,82.833,30.471,82.833,35.653,0.0,35.653,35.534,27.709,18.283,30.471,40.266,18.283,143.5,27.709,93.214
INST0219_N20_N09_D000,44.646,27.709,0.0,44.646,144.673,18.229,23.461,0.0,78.292,23.461,78.292,13.942,64.236,18.229,44.646,2.788,13.942,0.0,44.646,23.461,0.0,18.229,23.461,44.646,11.477,0.0,55.435,2.788,55.435,44.646,27.709,44.646,23.461,0.0,18.229,2.788,13.942,18.229,136.742,0.0,78.292
INST0219_N20_N09_P001,0.0,35.653,44.646,0.0,100.108,27.111,28.616,44.646,122.247,28.616,122.247,48.052,81.232,27.111,0.0,46.06,48.052,44.646,0.0,28.616,44.646,27.111,28.616,0.0,34.294,44.646,93.371,46.06,93.371,0.0,35.653,0.0,28.616,44.646,27.111,46.06,48.052,27.111,110.202,44.646,122.247
INST0219_N20_N09_D001,100.108,131.141,144.673,100.108,0.0,127.166,125.319,144.673,222.229,125.319,222.229,145.998,165.945,127.166,100.108,145.919,145.998,144.673,100.108,125.319,144.673,127.166,125.319,100.108,134.365,144.673,187.822,145.919,187.822,100.108,131.141,100.108,125.319,144.673,127.166,145.919,145.998,127.166,102.687,144.673,222.229
INST0219_N20_N09_P002,27.111,18.283,18.229,27.111,127.166,0.0,17.254,18.229,95.136,17.254,95.136,26.126,64.45,0.0,27.111,20.176,26.126,18.229,27.111,17.254,18.229,0.0,17.254,27.111,7.201,18.229,71.779,20.176,71.779,27.111,18.283,27.111,17.254,18.229,0.0,20.176,26.126,0.0,127.973,18.229,95.136
INST0219_N20_N09_D002,28.616,35.534,23.461,28.616,125.319,17.254,0.0,23.461,100.436,0.0,100.436,20.683,81.17,17.254,28.616,23.353,20.683,23.461,28.616,0.0,23.461,17.254,0.0,28.616,19.671,23.461,64.86,23.353,64.86,28.616,35.534,28.616,0.0,23.461,17.254,23.353,20.683,17.254,113.8,23.461,100.436
INST0219_N20_N09_P003,44.646,27.709,0.0,44.646,144.673,18.229,23.461,0.0,78.292,23.461,78.292,13.942,64.236,18.229,44.646,2.788,13.942,0.0,44.646,23.461,0.0,18.229,23.461,44.646,11.477,0.0,55.435,2.788,55.435,44.646,27.709,44.646,23.461,0.0,18.229,2.788,13.942,18.229,136.742,0.0,78.292
INST0219_N20_N09_D003,122.247,93.214,78.292,122.247,222.229,95.136,100.436,78.292,0.0,100.436,0.0,81.189,85.106,95.136,122.247,77.555,81.189,78.292,122.247,100.436,78.292,95.136,100.436,122.247,87.958,78.292,65.084,77.555,65.084,122.247,93.214,122.247,100.436,78.292,95.136,77.555,81.189,95.136,206.878,78.292,0.0
INST0219_N20_N09_P004,28.616,35.534,23.461,28.616,125.319,17.254,0.0,23.461,100.436,0.0,100.436,20.683,81.17,17.254,28.616,23.353,20.683,23.461,28.616,0.0,23.461,17.254,0.0,28.616,19.671,23.461,64.86,23.353,64.86,28.616,35.534,28.616,0.0,23.461,17.254,23.353,20.683,17.254,113.8,23.461,100.436
