,depot,INST0119_N10_S29_P000,INST0119_N10_S29_D000,INST0119_N10_S29_P001,INST0119_N10_S29_D001,INST0119_N10_S29_P002,INST0119_N10_S29_D002,INST0119_N10_S29_P003,INST0119_N10_S29_D003,INST0119_N10_S29_P004,INST0119_N10_S29_D004,INST0119_N10_S29_P005,INST0119_N10_S29_D005,INST0119_N10_S29_P006,INST0119_N10_S29_D006,INST0119_N10_S29_P007,INST0119_N10_S29_D007,INST0119_N10_S29_P008,INST0119_N10_S29_D008,INST0119_N10_S29_P009,INST0119_N10_S29_D009
depot,0.0,71.877,31.149,66.815,39.549,66.815,0.0,54.293,39.549,39.549,53.679,53.679,150.553,54.293,8.581,53.679,13.324,54.293,109.068,54.293,0.0
INST0119_N10_S29_P000,71.877,0.0,102.142,94.398,108.949,94.398,71.877,125.848,108.949,108.949,87.998,87.998,151.155,125.848,77.018,87.998,83.656,125.848,114.428,125.848,71.877
INST0119_N10_S29_D000,31.149,102.142,0.0,67.557,26.348,67.557,31.149,23.863,26.348,26.348,55.105,55.105,152.108,23.863,29.68,55.105,24.036,23.863,112.533,23.863,31.149
INST0119_N10_S29_P001,66.815,94.398,67.557,0.0,92.948,0.0,66.815,83.129,92.948,92.948,13.307,13.307,85.211,83.129,74.382,13.307,75.176,83.129,44.98,83.129,66.815
INST0119_N10_S29_D001,39.549,108.949,26.348,92.948,0.0,92.948,39.549,30.556,0.0,0.0,80.067,80.067,177.944,30.556,32.455,80.067,26.3,30.556,137.848,30.556,39.549
INST0119_N10_S29_P002,66.815,94.398,67.557,0.0,92.948,0.0,66.815,83.129,92.948,92.948,13.307,13.307,85.211,83.129,74.382,13.307,75.176,83.129,44.98,83.129,66.815
INST0119_N10_S29_D002,0.0,71.877,31.149,66.815,39.549,66.815,0.0,54.293,39.549,39.549,53.679,53.679,150.553,54.293,8.581,53.679,13.324,54.293,109.068,54.293,0.0
INST0119_N10_S29_P003,54.293,125.848,23.863,83.129,30.556,83.129,54.293,0.0,30.556,30.556,72.248,72.248,164.482,0.0,51.136,72.248,44.645,0.0,127.137,0.0,54.293
INST0119_N10_S29_D003,39.549,108.949,26.348,92.948,0.0,92.948,39.549,30.556,0.0,0.0,80.067,80.067,177.944,30.556,32.455,80.067,26.3,30.556,137.848,30.556,39.549
INST0119_N10_S29_P004,39.549,108.949,26.348,92.948,0.0,92.948,39.549,30.556,0.0,0.0,80.067,80.067,177.944,30.556,32.455,80.067,26.3,30.556,137.848,30.556,39.549
INST0119_N10_S29_D004,53.679,87.998,55.105,13.307,80.067,13.307,53.679,72.248,80.067,80.067,0.0,0.0,98.41,72.248,61.135,0.0,61.869,72.248,57.803,72.248,53.679
INST0119_N10_S29_P005,53.679,87.998,55.105,13.307,80.067,13.307,53.679,72.248,80.067,80.067,0.0,0.0,98.41,72.248,61.135,0.0,61.869,72.248,57.803,72.248,53.679
INST0119_N10_S29_D005,150.553,151.155,152.108,85.211,177.944,85.211,150.553,164.482,177.944,177.944,98.41,98.41,0.0,164.482,158.604,98.41,160.028,164.482,41.594,164.482,150.553
INST0119_N10_S29_P006,54.293,125.848,23.863,83.129,30.556,83.129,54.293,0.0,30.556,30.556,72.248,72.248,164.482,0.0,51.136,72.248,44.645,0.0,127.137,0.0,54.293
INST0119_N10_S29_D006,8.581,77.018,29.68,74.382,32.455,74.382,8.581,51.136,32.455,32.455,61.135,61.135,158.604,51.136,0.0,61.135,6.707,51.136,117.194,51.136,8.581
INST0119_N10_S29_P007,53.679,87.998,55.105,13.307,80.067,13.307,53.679,72.248,80.067,80.067,0.0,0.0,98.41,72.248,61.135,0.0,61.869,72.248,57.803,72.248,53.679
INST0119_N10_S29_D007,13.324,83.656,24.036,75.176,26.3,75.176,13.324,44.645,26.3,26.3,61.869,61.869,160.028,44.645,6.707,61.869,0.0,44.645,118.85,44.645,13.324
INST0119_N10_S29_P008,54.293,125.848,23.863,83.129,30.556,83.129,54.293,0.0,30.556,30.556,72.248,72.248,164.482,0.0,51.136,72.248,44.645,0.0,127.137,0.0,54.293
INST0119_N10_S29_D008,109.068,114.428,112.533,44.98,137.848,44.98,109.068,127.137,137.848,137.848,57.803,57.803,41.594,127.137,117.194,57.803,118.85,127.137,0.0,127.137,109.068
INST0119_N10_S29_P009,54.293,125.848,23.863,83.129,30.556,83.129,54.293,0.0,30.556,30.556,72.248,72.248,164.482,0.0,51.136,72.248,44.645,0.0,127.137,0.0,54.293
INST0119_N10_S29_D009,0.0,71.877,31.149,66.815,39.549,66.815,0.0,54.293,39.549,39.549,53.679,53.679,150.553,54.293,8.581,53.679,13.324,54.293,109.068,54.293,0.0
