,depot,INST0291_N25_N21_P000,INST0291_N25_N21_D000,INST0291_N25_N21_P001,INST0291_N25_N21_D001,INST0291_N25_N21_P002,INST0291_N25_N21_D002,INST0291_N25_N21_P003,INST0291_N25_N21_D003,INST0291_N25_N21_P004,INST0291_N25_N21_D004,INST0291_N25_N21_P005,INST0291_N25_N21_D005,INST0291_N25_N21_P006,INST0291_N25_N21_D006,INST0291_N25_N21_P007,INST0291_N25_N21_D007,INST0291_N25_N21_P008,INST0291_N25_N21_D008,INST0291_N25_N21_P009,INST0291_N25_N21_D009,INST0291_N25_N21_P010,INST0291_N25_N21_D010,INST0291_N25_N21_P011,INST0291_N25_N21_D011,INST0291_N25_N21_P012,INST0291_N25_N21_D012,INST0291_N25_N21_P013,INST0291_N25_N21_D013,INST0291_N25_N21_P014,INST0291_N25_N21_D014,INST0291_N25_N21_P015,INST0291_N25_N21_D015,INST0291_N25_N21_P016,INST0291_N25_N21_D016,INST0291_N25_N21_P017,INST0291_N25_N21_D017,INST0291_N25_N21_P018,INST0291_N25_N21_D018,INST0291_N25_N21_P019,INST0291_N25_N21_D019,INST0291_N25_N21_P020,INST0291_N25_N21_D020,INST0291_N25_N21_P021,INST0291_N25_N21_D021,INST0291_N25_N21_P022,INST0291_N25_N21_D022,INST0291_N25_N21_P023,INST0291_N25_N21_D023,INST0291_N25_N21_P024,INST0291_N25_N21_D024
depot,0.0,21.127,43.511,24.088,28.727,24.088,28.595,79.42,162.63,35.041,0.0,35.041,25.326,24.088,0.0,43.511,28.727,35.041,43.511,43.511,35.041,43.511,28.727,21.127,153.452,0.0,99.392,28.727,21.127,24.088,122.983,28.727,0.0,35.041,25.326,24.088,122.983,43.511,79.42,43.511,24.088,43.511,35.041,35.041,43.511,43.511,162.63,24.088,122.983,28.595,99.392
INST0291_N25_N21_P000,21.127,0.0,22.387,8.817,22.322,8.817,24.705,87.893,154.717,33.197,21.127,33.197,31.992,8.817,21.127,22.387,22.322,33.197,22.387,22.387,33.197,22.387,22.322,0.0,155.714,21.127,78.919,22.322,0.0,8.817,116.493,22.322,21.127,33.197,31.992,8.817,116.493,22.387,87.893,22.387,8.817,22.387,33.197,33.197,22.387,22.387,154.717,8.817,116.493,24.705,78.919
INST0291_N25_N21_D000,43.511,22.387,0.0,23.01,33.929,23.01,37.312,101.428,149.729,43.657,43.511,43.657,49.306,23.01,43.511,0.0,33.929,43.657,0.0,0.0,43.657,0.0,33.929,22.387,160.581,43.511,57.966,33.929,22.387,23.01,114.14,33.929,43.511,43.657,49.306,23.01,114.14,0.0,101.428,0.0,23.01,0.0,43.657,43.657,0.0,0.0,149.729,23.01,114.14,37.312,57.966
INST0291_N25_N21_P001,24.088,8.817,23.01,0.0,14.053,0.0,16.848,81.208,146.035,41.993,24.088,41.993,26.694,0.0,24.088,23.01,14.053,41.993,23.01,23.01,41.993,23.01,14.053,8.817,164.529,24.088,75.654,14.053,8.817,0.0,107.703,14.053,24.088,41.993,26.694,0.0,107.703,23.01,81.208,23.01,0.0,23.01,41.993,41.993,23.01,23.01,146.035,0.0,107.703,16.848,75.654
INST0291_N25_N21_D001,28.727,22.322,33.929,14.053,0.0,14.053,3.413,67.88,134.948,54.669,28.727,54.669,17.072,14.053,28.727,33.929,0.0,54.669,33.929,33.929,54.669,33.929,0.0,22.322,177.15,28.727,78.656,0.0,22.322,14.053,95.867,0.0,28.727,54.669,17.072,14.053,95.867,33.929,67.88,33.929,14.053,33.929,54.669,54.669,33.929,33.929,134.948,14.053,95.867,3.413,78.656
INST0291_N25_N21_P002,24.088,8.817,23.01,0.0,14.053,0.0,16.848,81.208,146.035,41.993,24.088,41.993,26.694,0.0,24.088,23.01,14.053,41.993,23.01,23.01,41.993,23.01,14.053,8.817,164.529,24.088,75.654,14.053,8.817,0.0,107.703,14.053,24.088,41.993,26.694,0.0,107.703,23.01,81.208,23.01,0.0,23.01,41.993,41.993,23.01,23.01,146.035,0.0,107.703,16.848,75.654
INST0291_N25_N21_D002,28.595,24.705,37.312,16.848,3.413,16.848,0.0,64.653,134.313,56.4,28.595,56.4,14.003,16.848,28.595,37.312,3.413,56.4,37.312,37.312,56.4,37.312,3.413,24.705,178.677,28.595,81.517,3.413,24.705,16.848,94.965,3.413,28.595,56.4,14.003,16.848,94.965,37.312,64.653,37.312,16.848,37.312,56.4,56.4,37.312,37.312,134.313,16.848,94.965,0.0,81.517
INST0291_N25_N21_P003,79.42,87.893,101.428,81.208,67.88,81.208,64.653,0.0,116.851,114.332,79.42,114.332,56.35,81.208,79.42,101.428,67.88,114.332,101.428,101.428,114.332,101.428,67.88,87.893,229.986,79.42,131.605,67.88,87.893,81.208,79.694,67.88,79.42,114.332,56.35,81.208,79.694,101.428,0.0,101.428,81.208,101.428,114.332,114.332,101.428,101.428,116.851,81.208,79.694,64.653,131.605
INST0291_N25_N21_D003,162.63,154.717,149.729,146.035,134.948,146.035,134.313,116.851,0.0,187.802,162.63,187.802,139.481,146.035,162.63,149.729,134.948,187.802,149.729,149.729,187.802,149.729,134.948,154.717,309.6,162.63,127.812,134.948,154.717,146.035,40.266,134.948,162.63,187.802,139.481,146.035,40.266,149.729,116.851,149.729,146.035,149.729,187.802,187.802,149.729,149.729,0.0,146.035,40.266,134.313,127.812
INST0291_N25_N21_P004,35.041,33.197,43.657,41.993,54.669,41.993,56.4,114.332,187.802,0.0,35.041,0.0,58.839,41.993,35.041,43.657,54.669,0.0,43.657,43.657,0.0,43.657,54.669,33.197,122.582,35.041,99.467,54.669,33.197,41.993,149.69,54.669,35.041,0.0,58.839,41.993,149.69,43.657,114.332,43.657,41.993,43.657,0.0,0.0,43.657,43.657,187.802,41.993,149.69,56.4,99.467
INST0291_N25_N21_D004,0.0,21.127,43.511,24.088,28.727,24.088,28.595,79.42,162.63,35.041,0.0,35.041,25.326,24.088,0.0,43.511,28.727,35.041,43.511,43.511,35.041,43.511,28.727,21.127,153.452,0.0,99.392,28.727,21.127,24.088,122.983,28.727,0.0,35.041,25.326,24.088,122.983,43.511,79.42,43.511,24.088,43.511,35.041,35.041,43.511,43.511,162.63,24.088,122.983,28.595,99.392
INST0291_N25_N21_P005,35.041,33.197,43.657,41.993,54.669,41.993,56.4,114.332,187.802,0.0,35.041,0.0,58.839,41.993,35.041,43.657,54.669,0.0,43.657,43.657,0.0,43.657,54.669,33.197,122.582,35.041,99.467,54.669,33.197,41.993,149.69,54.669,35.041,0.0,58.839,41.993,149.69,43.657,114.332,43.657,41.993,43.657,0.0,0.0,43.657,43.657,187.802,41.993,149.69,56.4,99.467
INST0291_N25_N21_D005,25.326,31.992,49.306,26.694,17.072,26.694,14.003,56.35,139.481,58.839,25.326,58.839,0.0,26.694,25.326,49.306,17.072,58.839,49.306,49.306,58.839,49.306,17.072,31.992,178.773,25.326,95.498,17.072,31.992,26.694,99.415,17.072,25.326,58.839,0.0,26.694,99.415,49.306,56.35,49.306,26.694,49.306,58.839,58.839,49.306,49.306,139.481,26.694,99.415,14.003,95.498
