,depot,INST0087_N8_N27_P000,INST0087_N8_N27_D000,INST0087_N8_N27_P001,INST0087_N8_N27_D001,INST0087_N8_N27_P002,INST0087_N8_N27_D002,INST0087_N8_N27_P003,INST0087_N8_N27_D003,INST0087_N8_N27_P004,INST0087_N8_N27_D004,INST0087_N8_N27_P005,INST0087_N8_N27_D005,INST0087_N8_N27_P006,INST0087_N8_N27_D006,INST0087_N8_N27_P007,INST0087_N8_N27_D007
depot,0.0,40.266,30.471,35.653,30.471,40.266,30.471,18.791,30.471,27.709,0.0,27.709,18.283,35.653,0.0,18.791,35.653
INST0087_N8_N27_P000,40.266,0.0,11.436,48.052,11.436,0.0,11.436,21.8,11.436,13.942,40.266,13.942,26.126,48.052,40.266,21.8,48.052
INST0087_N8_N27_D000,30.471,11.436,0.0,46.06,0.0,11.436,0.0,13.759,0.0,2.788,30.471,2.788,20.176,46.06,30.471,13.759,46.06
INST0087_N8_N27_P001,35.653,48.052,46.06,0.0,46.06,48.052,46.06,34.294,46.06,44.646,35.653,44.646,27.111,0.0,35.653,34.294,0.0
INST0087_N8_N27_D001,30.471,11.436,0.0,46.06,0.0,11.436,0.0,13.759,0.0,2.788,30.471,2.788,20.176,46.06,30.471,13.759,46.06
INST0087_N8_N27_P002,40.266,0.0,11.436,48.052,11.436,0.0,11.436,21.8,11.436,13.942,40.266,13.942,26.126,48.052,40.266,21.8,48.052
INST0087_N8_N27_D002,30.471,11.436,0.0,46.06,0.0,11.436,0.0,13.759,0.0,2.788,30.471,2.788,20.176,46.06,30.471,13.759,46.06
INST0087_N8_N27_P003,18.791,21.8,13.759,34.294,13.759,21.8,13.759,0.0,13.759,11.477,18.791,11.477,7.201,34.294,18.791,0.0,34.294
INST0087_N8_N27_D003,30.471,11.436,0.0,46.06,0.0,11.436,0.0,13.759,0.0,2.788,30.471,2.788,20.176,46.06,30.471,13.759,46.06
INST0087_N8_N27_P004,27.709,13.942,2.788,44.646,2.788,13.942,2.788,11.477,2.788,0.0,27.709,0.0,18.229,44.646,27.709,11.477,44.646
INST0087_N8_N27_D004,0.0,40.266,30.471,35.653,30.471,40.266,30.471,18.791,30.471,27.709,0.0,27.709,18.283,35.653,0.0,18.791,35.653
INST0087_N8_N27_P005,27.709,13.942,2.788,44.646,2.788,13.942,2.788,11.477,2.788,0.0,27.709,0.0,18.229,44.646,27.709,11.477,44.646
INST0087_N8_N27_D005,18.283,26.126,20.176,27.111,20.176,26.126,20.176,7.201,20.176,18.229,18.283,18.229,0.0,27.111,18.283,7.201,27.111
INST0087_N8_N27_P006,35.653,48.052,46.06,0.0,46.06,48.052,46.06,34.294,46.06,44.646,35.653,44.646,27.111,0.0,35.653,34.294,0.0
INST0087_N8_N27_D006,0.0,40.266,30.471,35.653,30.471,40.266,30.471,18.791,30.471,27.709,0.0,27.709,18.283,35.653,0.0,18.791,35.653
INST0087_N8_N27_P007,18.791,21.8,13.759,34.294,13.759,21.8,13.759,0.0,13.759,11.477,18.791,11.477,7.201,34.294,18.791,0.0,34.294
INST0087_N8_N27_D007,35.653,48.052,46.06,0.0,46.06,48.052,46.06,34.294,46.06,44.646,35.653,44.646,27.111,0.0,35.653,34.294,0.0
