,depot,INST0274_N25_W04_P000,INST0274_N25_W04_D000,INST0274_N25_W04_P001,INST0274_N25_W04_D001,INST0274_N25_W04_P002,INST0274_N25_W04_D002,INST0274_N25_W04_P003,INST0274_N25_W04_D003,INST0274_N25_W04_P004,INST0274_N25_W04_D004,INST0274_N25_W04_P005,INST0274_N25_W04_D005,INST0274_N25_W04_P006,INST0274_N25_W04_D006,INST0274_N25_W04_P007,INST0274_N25_W04_D007,INST0274_N25_W04_P008,INST0274_N25_W04_D008,INST0274_N25_W04_P009,INST0274_N25_W04_D009,INST0274_N25_W04_P010,INST0274_N25_W04_D010,INST0274_N25_W04_P011,INST0274_N25_W04_D011,INST0274_N25_W04_P012,INST0274_N25_W04_D012,INST0274_N25_W04_P013,INST0274_N25_W04_D013,INST0274_N25_W04_P014,INST0274_N25_W04_D014,INST0274_N25_W04_P015,INST0274_N25_W04_D015,INST0274_N25_W04_P016,INST0274_N25_W04_D016,INST0274_N25_W04_P017,INST0274_N25_W04_D017,INST0274_N25_W04_P018,INST0274_N25_W04_D018,INST0274_N25_W04_P019,INST0274_N25_W04_D019,INST0274_N25_W04_P020,INST0274_N25_W04_D020,INST0274_N25_W04_P021,INST0274_N25_W04_D021,INST0274_N25_W04_P022,INST0274_N25_W04_D022,INST0274_N25_W04_P023,INST0274_N25_W04_D023,INST0274_N25_W04_P024,INST0274_N25_W04_D024
depot,0.0,88.095,128.123,88.095,66.284,18.026,0.0,0.0,128.123,18.026,0.0,88.095,18.026,66.284,141.804,18.026,160.194,88.095,18.026,66.284,160.194,18.026,127.423,66.284,88.095,18.026,160.194,0.0,133.769,0.0,66.284,88.095,141.804,18.026,0.0,18.026,133.769,66.284,127.423,88.095,66.284,18.026,150.679,88.095,114.719,66.284,133.769,88.095,127.423,66.284,150.679
INST0274_N25_W04_P000,88.095,0.0,68.471,0.0,24.909,70.637,88.095,88.095,68.471,70.637,88.095,0.0,70.637,24.909,53.818,70.637,72.151,0.0,70.637,24.909,72.151,70.637,40.204,24.909,0.0,70.637,72.151,88.095,50.631,88.095,24.909,0.0,53.818,70.637,88.095,70.637,50.631,24.909,40.204,0.0,24.909,70.637,63.48,0.0,27.496,24.909,50.631,0.0,40.204,24.909,63.48
INST0274_N25_W04_D000,128.123,68.471,0.0,68.471,70.587,115.643,128.123,128.123,0.0,115.643,128.123,68.471,115.643,70.587,75.699,115.643,78.578,68.471,115.643,70.587,78.578,115.643,57.051,70.587,68.471,115.643,78.578,128.123,43.046,128.123,70.587,68.471,75.699,115.643,128.123,115.643,43.046,70.587,57.051,68.471,70.587,115.643,64.294,68.471,56.961,70.587,43.046,68.471,57.051,70.587,64.294
INST0274_N25_W04_P001,88.095,0.0,68.471,0.0,24.909,70.637,88.095,88.095,68.471,70.637,88.095,0.0,70.637,24.909,53.818,70.637,72.151,0.0,70.637,24.909,72.151,70.637,40.204,24.909,0.0,70.637,72.151,88.095,50.631,88.095,24.909,0.0,53.818,70.637,88.095,70.637,50.631,24.909,40.204,0.0,24.909,70.637,63.48,0.0,27.496,24.909,50.631,0.0,40.204,24.909,63.48
INST0274_N25_W04_D001,66.284,24.909,70.587,24.909,0.0,50.015,66.284,66.284,70.587,50.015,66.284,24.909,50.015,0.0,77.687,50.015,94.929,24.909,50.015,0.0,94.929,50.015,61.567,0.0,24.909,50.015,94.929,66.284,67.612,66.284,0.0,24.909,77.687,50.015,66.284,50.015,67.612,0.0,61.567,24.909,0.0,50.015,84.648,24.909,49.056,0.0,67.612,24.909,61.567,0.0,84.648
INST0274_N25_W04_P002,18.026,70.637,115.643,70.637,50.015,0.0,18.026,18.026,115.643,0.0,18.026,70.637,0.0,50.015,124.166,0.0,142.787,70.637,0.0,50.015,142.787,0.0,110.354,50.015,70.637,0.0,142.787,18.026,117.595,18.026,50.015,70.637,124.166,0.0,18.026,0.0,117.595,50.015,110.354,70.637,50.015,0.0,133.671,70.637,97.602,50.015,117.595,70.637,110.354,50.015,133.671
INST0274_N25_W04_D002,0.0,88.095,128.123,88.095,66.284,18.026,0.0,0.0,128.123,18.026,0.0,88.095,18.026,66.284,141.804,18.026,160.194,88.095,18.026,66.284,160.194,18.026,127.423,66.284,88.095,18.026,160.194,0.0,133.769,0.0,66.284,88.095,141.804,18.026,0.0,18.026,133.769,66.284,127.423,88.095,66.284,18.026,150.679,88.095,114.719,66.284,133.769,88.095,127.423,66.284,150.679
INST0274_N25_W04_P003,0.0,88.095,128.123,88.095,66.284,18.026,0.0,0.0,128.123,18.026,0.0,88.095,18.026,66.284,141.804,18.026,160.194,88.095,18.026,66.284,160.194,18.026,127.423,66.284,88.095,18.026,160.194,0.0,133.769,0.0,66.284,88.095,141.804,18.026,0.0,18.026,133.769,66.284,127.423,88.095,66.284,18.026,150.679,88.095,114.719,66.284,133.769,88.095,127.423,66.284,150.679
INST0274_N25_W04_D003,128.123,68.471,0.0,68.471,70.587,115.643,128.123,128.123,0.0,115.643,128.123,68.471,115.643,70.587,75.699,115.643,78.578,68.471,115.643,70.587,78.578,115.643,57.051,70.587,68.471,115.643,78.578,128.123,43.046,128.123,70.587,68.471,75.699,115.643,128.123,115.643,43.046,70.587,57.051,68.471,70.587,115.643,64.294,68.471,56.961,70.587,43.046,68.471,57.051,70.587,64.294
INST0274_N25_W04_P004,18.026,70.637,115.643,70.637,50.015,0.0,18.026,18.026,115.643,0.0,18.026,70.637,0.0,50.015,124.166,0.0,142.787,70.637,0.0,50.015,142.787,0.0,110.354,50.015,70.637,0.0,142.787,18.026,117.595,18.026,50.015,70.637,124.166,0.0,18.026,0.0,117.595,50.015,110.354,70.637,50.015,0.0,133.671,70.637,97.602,50.015,117.595,70.637,110.354,50.015,133.671
