,depot,INST0221_N20_S11_P000,INST0221_N20_S11_D000,INST0221_N20_S11_P001,INST0221_N20_S11_D001,INST0221_N20_S11_P002,INST0221_N20_S11_D002,INST0221_N20_S11_P003,INST0221_N20_S11_D003,INST0221_N20_S11_P004,INST0221_N20_S11_D004,INST0221_N20_S11_P005,INST0221_N20_S11_D005,INST0221_N20_S11_P006,INST0221_N20_S11_D006,INST0221_N20_S11_P007,INST0221_N20_S11_D007,INST0221_N20_S11_P008,INST0221_N20_S11_D008,INST0221_N20_S11_P009,INST0221_N20_S11_D009,INST0221_N20_S11_P010,INST0221_N20_S11_D010,INST0221_N20_S11_P011,INST0221_N20_S11_D011,INST0221_N20_S11_P012,INST0221_N20_S11_D012,INST0221_N20_S11_P013,INST0221_N20_S11_D013,INST0221_N20_S11_P014,INST0221_N20_S11_D014,INST0221_N20_S11_P015,INST0221_N20_S11_D015,INST0221_N20_S11_P016,INST0221_N20_S11_D016,INST0221_N20_S11_P017,INST0221_N20_S11_D017,INST0221_N20_S11_P018,INST0221_N20_S11_D018,INST0221_N20_S11_P019,INST0221_N20_S11_D019
depot,0.0,65.388,32.298,21.478,32.298,21.478,75.908,37.715,75.908,32.298,145.321,0.0,21.517,32.298,145.321,24.954,26.505,21.517,112.576,21.478,75.908,26.505,88.975,21.478,65.388,0.0,32.298,21.478,65.388,37.715,88.975,37.715,0.0,75.908,145.321,32.298,21.478,24.954,88.975,26.505,0.0
INST0221_N20_S11_P000,65.388,0.0,43.838,50.526,43.838,50.526,10.867,103.002,10.867,43.838,80.368,65.388,45.002,43.838,80.368,59.003,49.927,45.002,47.206,50.526,10.867,49.927,71.865,50.526,0.0,65.388,43.838,50.526,0.0,103.002,71.865,103.002,65.388,10.867,80.368,43.838,50.526,59.003,71.865,49.927,65.388
INST0221_N20_S11_D000,32.298,43.838,0.0,10.881,0.0,10.881,54.565,65.452,54.565,0.0,122.952,32.298,25.439,0.0,122.952,44.339,7.008,25.439,89.072,10.881,54.565,7.008,58.699,10.881,43.838,32.298,0.0,10.881,43.838,65.452,58.699,65.452,32.298,54.565,122.952,0.0,10.881,44.339,58.699,7.008,32.298
INST0221_N20_S11_P001,21.478,50.526,10.881,0.0,10.881,0.0,61.394,55.179,61.394,10.881,130.689,21.478,19.629,10.881,130.689,36.46,5.477,19.629,97.061,0.0,61.394,5.477,68.319,0.0,50.526,21.478,10.881,0.0,50.526,55.179,68.319,55.179,21.478,61.394,130.689,10.881,0.0,36.46,68.319,5.477,21.478
INST0221_N20_S11_D001,32.298,43.838,0.0,10.881,0.0,10.881,54.565,65.452,54.565,0.0,122.952,32.298,25.439,0.0,122.952,44.339,7.008,25.439,89.072,10.881,54.565,7.008,58.699,10.881,43.838,32.298,0.0,10.881,43.838,65.452,58.699,65.452,32.298,54.565,122.952,0.0,10.881,44.339,58.699,7.008,32.298
INST0221_N20_S11_P002,21.478,50.526,10.881,0.0,10.881,0.0,61.394,55.179,61.394,10.881,130.689,21.478,19.629,10.881,130.689,36.46,5.477,19.629,97.061,0.0,61.394,5.477,68.319,0.0,50.526,21.478,10.881,0.0,50.526,55.179,68.319,55.179,21.478,61.394,130.689,10.881,0.0,36.46,68.319,5.477,21.478
INST0221_N20_S11_D002,75.908,10.867,54.565,61.394,54.565,61.394,0.0,113.587,0.0,54.565,69.589,75.908,55.171,54.565,69.589,67.889,60.745,55.171,36.733,61.394,0.0,60.745,77.092,61.394,10.867,75.908,54.565,61.394,10.867,113.587,77.092,113.587,75.908,0.0,69.589,54.565,61.394,67.889,77.092,60.745,75.908
INST0221_N20_S11_P003,37.715,103.002,65.452,55.179,65.452,55.179,113.587,0.0,113.587,65.452,183.035,37.715,59.019,65.452,183.035,54.903,58.521,59.019,150.208,55.179,113.587,58.521,113.511,55.179,103.002,37.715,65.452,55.179,103.002,0.0,113.511,0.0,37.715,113.587,183.035,65.452,55.179,54.903,113.511,58.521,37.715
INST0221_N20_S11_D003,75.908,10.867,54.565,61.394,54.565,61.394,0.0,113.587,0.0,54.565,69.589,75.908,55.171,54.565,69.589,67.889,60.745,55.171,36.733,61.394,0.0,60.745,77.092,61.394,10.867,75.908,54.565,61.394,10.867,113.587,77.092,113.587,75.908,0.0,69.589,54.565,61.394,67.889,77.092,60.745,75.908
INST0221_N20_S11_P004,32.298,43.838,0.0,10.881,0.0,10.881,54.565,65.452,54.565,0.0,122.952,32.298,25.439,0.0,122.952,44.339,7.008,25.439,89.072,10.881,54.565,7.008,58.699,10.881,43.838,32.298,0.0,10.881,43.838,65.452,58.699,65.452,32.298,54.565,122.952,0.0,10.881,44.339,58.699,7.008,32.298
INST0221_N20_S11_D004,145.321,80.368,122.952,130.689,122.952,130.689,69.589,183.035,69.589,122.952,0.0,145.321,124.222,122.952,0.0,134.327,129.526,124.222,33.969,130.689,69.589,129.526,123.443,130.689,80.368,145.321,122.952,130.689,80.368,183.035,123.443,183.035,145.321,69.589,0.0,122.952,130.689,134.327,123.443,129.526,145.321
INST0221_N20_S11_P005,0.0,65.388,32.298,21.478,32.298,21.478,75.908,37.715,75.908,32.298,145.321,0.0,21.517,32.298,145.321,24.954,26.505,21.517,112.576,21.478,75.908,26.505,88.975,21.478,65.388,0.0,32.298,21.478,65.388,37.715,88.975,37.715,0.0,75.908,145.321,32.298,21.478,24.954,88.975,26.505,0.0
INST0221_N20_S11_D005,21.517,45.002,25.439,19.629,25.439,19.629,55.171,59.019,55.171,25.439,124.222,21.517,0.0,25.439,124.222,19.488,24.239,0.0,91.902,19.629,55.171,24.239,83.416,19.629,45.002,21.517,25.439,19.629,45.002,59.019,83.416,59.019,21.517,55.171,124.222,25.439,19.629,19.488,83.416,24.239,21.517
INST0221_N20_S11_P006,32.298,43.838,0.0,10.881,0.0,10.881,54.565,65.452,54.565,0.0,122.952,32.298,25.439,0.0,122.952,44.339,7.008,25.439,89.072,10.881,54.565,7.008,58.699,10.881,43.838,32.298,0.0,10.881,43.838,65.452,58.699,65.452,32.298,54.565,122.952,0.0,10.881,44.339,58.699,7.008,32.298
INST0221_N20_S11_D006,145.321,80.368,122.952,130.689,122.952,130.689,69.589,183.035,69.589,122.952,0.0,145.321,124.222,122.952,0.0,134.327,129.526,124.222,33.969,130.689,69.589,129.526,123.443,130.689,80.368,145.321,122.952,130.689,80.368,183.035,123.443,183.035,145.321,69.589,0.0,122.952,130.689,134.327,123.443,129.526,145.321
INST0221_N20_S11_P007,24.954,59.003,44.339,36.46,44.339,36.46,67.889,54.903,67.889,44.339,134.327,24.954,19.488,44.339,134.327,0.0,41.761,19.488,103.829,36.46,67.889,41.761,102.776,36.46,59.003,24.954,44.339,36.46,59.003,54.903,102.776,54.903,24.954,67.889,134.327,44.339,36.46,0.0,102.776,41.761,24.954
INST0221_N20_S11_D007,26.505,49.927,7.008,5.477,7.008,5.477,60.745,58.521,60.745,7.008,129.526,26.505,24.239,7.008,129.526,41.761,0.0,24.239,95.708,5.477,60.745,0.0,62.898,5.477,49.927,26.505,7.008,5.477,49.927,58.521,62.898,58.521,26.505,60.745,129.526,7.008,5.477,41.761,62.898,0.0,26.505
INST0221_N20_S11_P008,21.517,45.002,25.439,19.629,25.439,19.629,55.171,59.019,55.171,25.439,124.222,21.517,0.0,25.439,124.222,19.488,24.239,0.0,91.902,19.629,55.171,24.239,83.416,19.629,45.002,21.517,25.439,19.629,45.002,59.019,83.416,59.019,21.517,55.171,124.222,25.439,19.629,19.488,83.416,24.239,21.517
