,depot,INST0265_N22_W25_P000,INST0265_N22_W25_D000,INST0265_N22_W25_P001,INST0265_N22_W25_D001,INST0265_N22_W25_P002,INST0265_N22_W25_D002,INST0265_N22_W25_P003,INST0265_N22_W25_D003,INST0265_N22_W25_P004,INST0265_N22_W25_D004,INST0265_N22_W25_P005,INST0265_N22_W25_D005,INST0265_N22_W25_P006,INST0265_N22_W25_D006,INST0265_N22_W25_P007,INST0265_N22_W25_D007,INST0265_N22_W25_P008,INST0265_N22_W25_D008,INST0265_N22_W25_P009,INST0265_N22_W25_D009,INST0265_N22_W25_P010,INST0265_N22_W25_D010,INST0265_N22_W25_P011,INST0265_N22_W25_D011,INST0265_N22_W25_P012,INST0265_N22_W25_D012,INST0265_N22_W25_P013,INST0265_N22_W25_D013,INST0265_N22_W25_P014,INST0265_N22_W25_D014,INST0265_N22_W25_P015,INST0265_N22_W25_D015,INST0265_N22_W25_P016,INST0265_N22_W25_D016,INST0265_N22_W25_P017,INST0265_N22_W25_D017,INST0265_N22_W25_P018,INST0265_N22_W25_D018,INST0265_N22_W25_P019,INST0265_N22_W25_D019,INST0265_N22_W25_P020,INST0265_N22_W25_D020,INST0265_N22_W25_P021,INST0265_N22_W25_D021
depot,0.0,63.48,22.951,35.228,0.0,0.0,22.951,35.228,150.679,20.02,84.648,35.228,64.294,84.648,64.294,23.331,14.369,64.294,150.679,23.331,63.48,20.02,23.331,35.228,63.48,35.228,133.671,22.951,150.679,35.228,0.0,20.02,168.582,36.098,22.951,36.098,150.679,14.369,84.648,14.369,63.48,22.951,14.369,14.369,22.951
INST0265_N22_W25_P000,63.48,0.0,50.631,61.972,63.48,63.48,50.631,61.972,88.095,53.818,24.909,61.972,68.471,24.909,68.471,40.204,72.151,68.471,88.095,40.204,0.0,53.818,40.204,61.972,0.0,61.972,70.637,50.631,88.095,61.972,63.48,53.818,159.2,27.496,50.631,27.496,88.095,72.151,24.909,72.151,0.0,50.631,72.151,72.151,50.631
INST0265_N22_W25_D000,22.951,50.631,0.0,50.317,22.951,22.951,0.0,50.317,133.769,32.905,67.612,50.317,43.046,67.612,43.046,17.238,37.156,43.046,133.769,17.238,50.631,32.905,17.238,50.317,50.631,50.317,117.595,0.0,133.769,50.317,22.951,32.905,180.319,25.201,0.0,25.201,133.769,37.156,67.612,37.156,50.631,0.0,37.156,37.156,0.0
INST0265_N22_W25_P001,35.228,61.972,50.317,0.0,35.228,35.228,50.317,0.0,147.866,17.435,86.82,0.0,92.961,86.82,92.961,36.679,28.407,92.961,147.866,36.679,61.972,17.435,36.679,0.0,61.972,0.0,129.907,50.317,147.866,0.0,35.228,17.435,133.358,43.098,50.317,43.098,147.866,28.407,86.82,28.407,61.972,50.317,28.407,28.407,50.317
INST0265_N22_W25_D001,0.0,63.48,22.951,35.228,0.0,0.0,22.951,35.228,150.679,20.02,84.648,35.228,64.294,84.648,64.294,23.331,14.369,64.294,150.679,23.331,63.48,20.02,23.331,35.228,63.48,35.228,133.671,22.951,150.679,35.228,0.0,20.02,168.582,36.098,22.951,36.098,150.679,14.369,84.648,14.369,63.48,22.951,14.369,14.369,22.951
INST0265_N22_W25_P002,0.0,63.48,22.951,35.228,0.0,0.0,22.951,35.228,150.679,20.02,84.648,35.228,64.294,84.648,64.294,23.331,14.369,64.294,150.679,23.331,63.48,20.02,23.331,35.228,63.48,35.228,133.671,22.951,150.679,35.228,0.0,20.02,168.582,36.098,22.951,36.098,150.679,14.369,84.648,14.369,63.48,22.951,14.369,14.369,22.951
INST0265_N22_W25_D002,22.951,50.631,0.0,50.317,22.951,22.951,0.0,50.317,133.769,32.905,67.612,50.317,43.046,67.612,43.046,17.238,37.156,43.046,133.769,17.238,50.631,32.905,17.238,50.317,50.631,50.317,117.595,0.0,133.769,50.317,22.951,32.905,180.319,25.201,0.0,25.201,133.769,37.156,67.612,37.156,50.631,0.0,37.156,37.156,0.0
INST0265_N22_W25_P003,35.228,61.972,50.317,0.0,35.228,35.228,50.317,0.0,147.866,17.435,86.82,0.0,92.961,86.82,92.961,36.679,28.407,92.961,147.866,36.679,61.972,17.435,36.679,0.0,61.972,0.0,129.907,50.317,147.866,0.0,35.228,17.435,133.358,43.098,50.317,43.098,147.866,28.407,86.82,28.407,61.972,50.317,28.407,28.407,50.317
INST0265_N22_W25_D003,150.679,88.095,133.769,147.866,150.679,150.679,133.769,147.866,0.0,141.804,66.284,147.866,128.123,66.284,128.123,127.423,160.194,128.123,0.0,127.423,88.095,141.804,127.423,147.866,88.095,147.866,18.026,133.769,0.0,147.866,150.679,141.804,201.301,114.719,133.769,114.719,0.0,160.194,66.284,160.194,88.095,133.769,160.194,160.194,133.769
INST0265_N22_W25_P004,20.02,53.818,32.905,17.435,20.02,20.02,32.905,17.435,141.804,0.0,77.687,17.435,75.699,77.687,75.699,20.56,20.081,75.699,141.804,20.56,53.818,0.0,20.56,17.435,53.818,17.435,124.166,32.905,141.804,17.435,20.02,0.0,149.638,29.878,32.905,29.878,141.804,20.081,77.687,20.081,53.818,32.905,20.081,20.081,32.905
