,depot,INST0295_N25_W25_P000,INST0295_N25_W25_D000,INST0295_N25_W25_P001,INST0295_N25_W25_D001,INST0295_N25_W25_P002,INST0295_N25_W25_D002,INST0295_N25_W25_P003,INST0295_N25_W25_D003,INST0295_N25_W25_P004,INST0295_N25_W25_D004,INST0295_N25_W25_P005,INST0295_N25_W25_D005,INST0295_N25_W25_P006,INST0295_N25_W25_D006,INST0295_N25_W25_P007,INST0295_N25_W25_D007,INST0295_N25_W25_P008,INST0295_N25_W25_D008,INST0295_N25_W25_P009,INST0295_N25_W25_D009,INST0295_N25_W25_P010,INST0295_N25_W25_D010,INST0295_N25_W25_P011,INST0295_N25_W25_D011,INST0295_N25_W25_P012,INST0295_N25_W25_D012,INST0295_N25_W25_P013,INST0295_N25_W25_D013,INST0295_N25_W25_P014,INST0295_N25_W25_D014,INST0295_N25_W25_P015,INST0295_N25_W25_D015,INST0295_N25_W25_P016,INST0295_N25_W25_D016,INST0295_N25_W25_P017,INST0295_N25_W25_D017,INST0295_N25_W25_P018,INST0295_N25_W25_D018,INST0295_N25_W25_P019,INST0295_N25_W25_D019,INST0295_N25_W25_P020,INST0295_N25_W25_D020,INST0295_N25_W25_P021,INST0295_N25_W25_D021,INST0295_N25_W25_P022,INST0295_N25_W25_D022,INST0295_N25_W25_P023,INST0295_N25_W25_D023,INST0295_N25_W25_P024,INST0295_N25_W25_D024
depot,0.0,20.02,63.48,63.48,35.228,36.098,23.331,14.369,20.02,20.02,64.294,35.228,63.48,20.02,63.48,20.02,64.294,20.02,0.0,36.098,64.294,22.951,14.369,20.02,133.671,63.48,22.951,22.951,20.02,35.228,133.671,36.098,22.951,64.294,63.48,20.02,64.294,20.02,168.582,0.0,35.228,36.098,64.294,84.648,23.331,63.48,150.679,36.098,20.02,0.0,64.294
INST0295_N25_W25_P000,20.02,0.0,53.818,53.818,17.435,29.878,20.56,20.081,0.0,0.0,75.699,17.435,53.818,0.0,53.818,0.0,75.699,0.0,20.02,29.878,75.699,32.905,20.081,0.0,124.166,53.818,32.905,32.905,0.0,17.435,124.166,29.878,32.905,75.699,53.818,0.0,75.699,0.0,149.638,20.02,17.435,29.878,75.699,77.687,20.56,53.818,141.804,29.878,0.0,20.02,75.699
INST0295_N25_W25_D000,63.48,53.818,0.0,0.0,61.972,27.496,40.204,72.151,53.818,53.818,68.471,61.972,0.0,53.818,0.0,53.818,68.471,53.818,63.48,27.496,68.471,50.631,72.151,53.818,70.637,0.0,50.631,50.631,53.818,61.972,70.637,27.496,50.631,68.471,0.0,53.818,68.471,53.818,159.2,63.48,61.972,27.496,68.471,24.909,40.204,0.0,88.095,27.496,53.818,63.48,68.471
INST0295_N25_W25_P001,63.48,53.818,0.0,0.0,61.972,27.496,40.204,72.151,53.818,53.818,68.471,61.972,0.0,53.818,0.0,53.818,68.471,53.818,63.48,27.496,68.471,50.631,72.151,53.818,70.637,0.0,50.631,50.631,53.818,61.972,70.637,27.496,50.631,68.471,0.0,53.818,68.471,53.818,159.2,63.48,61.972,27.496,68.471,24.909,40.204,0.0,88.095,27.496,53.818,63.48,68.471
INST0295_N25_W25_D001,35.228,17.435,61.972,61.972,0.0,43.098,36.679,28.407,17.435,17.435,92.961,0.0,61.972,17.435,61.972,17.435,92.961,17.435,35.228,43.098,92.961,50.317,28.407,17.435,129.907,61.972,50.317,50.317,17.435,0.0,129.907,43.098,50.317,92.961,61.972,17.435,92.961,17.435,133.358,35.228,0.0,43.098,92.961,86.82,36.679,61.972,147.866,43.098,17.435,35.228,92.961
INST0295_N25_W25_P002,36.098,29.878,27.496,27.496,43.098,0.0,12.767,45.89,29.878,29.878,56.961,43.098,27.496,29.878,27.496,29.878,56.961,29.878,36.098,0.0,56.961,25.201,45.89,29.878,97.602,27.496,25.201,25.201,29.878,43.098,97.602,0.0,25.201,56.961,27.496,29.878,56.961,29.878,162.13,36.098,43.098,0.0,56.961,49.056,12.767,27.496,114.719,0.0,29.878,36.098,56.961
INST0295_N25_W25_D002,23.331,20.56,40.204,40.204,36.679,12.767,0.0,33.728,20.56,20.56,57.051,36.679,40.204,20.56,40.204,20.56,57.051,20.56,23.331,12.767,57.051,17.238,33.728,20.56,110.354,40.204,17.238,17.238,20.56,36.679,110.354,12.767,17.238,57.051,40.204,20.56,57.051,20.56,163.588,23.331,36.679,12.767,57.051,61.567,0.0,40.204,127.423,12.767,20.56,23.331,57.051
INST0295_N25_W25_P003,14.369,20.081,72.151,72.151,28.407,45.89,33.728,0.0,20.081,20.081,78.578,28.407,72.151,20.081,72.151,20.081,78.578,20.081,14.369,45.89,78.578,37.156,0.0,20.081,142.787,72.151,37.156,37.156,20.081,28.407,142.787,45.89,37.156,78.578,72.151,20.081,78.578,20.081,160.03,14.369,28.407,45.89,78.578,94.929,33.728,72.151,160.194,45.89,20.081,14.369,78.578
INST0295_N25_W25_D003,20.02,0.0,53.818,53.818,17.435,29.878,20.56,20.081,0.0,0.0,75.699,17.435,53.818,0.0,53.818,0.0,75.699,0.0,20.02,29.878,75.699,32.905,20.081,0.0,124.166,53.818,32.905,32.905,0.0,17.435,124.166,29.878,32.905,75.699,53.818,0.0,75.699,0.0,149.638,20.02,17.435,29.878,75.699,77.687,20.56,53.818,141.804,29.878,0.0,20.02,75.699
INST0295_N25_W25_P004,20.02,0.0,53.818,53.818,17.435,29.878,20.56,20.081,0.0,0.0,75.699,17.435,53.818,0.0,53.818,0.0,75.699,0.0,20.02,29.878,75.699,32.905,20.081,0.0,124.166,53.818,32.905,32.905,0.0,17.435,124.166,29.878,32.905,75.699,53.818,0.0,75.699,0.0,149.638,20.02,17.435,29.878,75.699,77.687,20.56,53.818,141.804,29.878,0.0,20.02,75.699
INST0295_N25_W25_D004,64.294,75.699,68.471,68.471,92.961,56.961,57.051,78.578,75.699,75.699,0.0,92.961,68.471,75.699,68.471,75.699,0.0,75.699,64.294,56.961,0.0,43.046,78.578,75.699,115.643,68.471,43.046,43.046,75.699,92.961,115.643,56.961,43.046,0.0,68.471,75.699,0.0,75.699,219.073,64.294,92.961,56.961,0.0,70.587,57.051,68.471,128.123,56.961,75.699,64.294,0.0
