,depot,INST0202_N18_W22_P000,INST0202_N18_W22_D000,INST0202_N18_W22_P001,INST0202_N18_W22_D001,INST0202_N18_W22_P002,INST0202_N18_W22_D002,INST0202_N18_W22_P003,INST0202_N18_W22_D003,INST0202_N18_W22_P004,INST0202_N18_W22_D004,INST0202_N18_W22_P005,INST0202_N18_W22_D005,INST0202_N18_W22_P006,INST0202_N18_W22_D006,INST0202_N18_W22_P007,INST0202_N18_W22_D007,INST0202_N18_W22_P008,INST0202_N18_W22_D008,INST0202_N18_W22_P009,INST0202_N18_W22_D009,INST0202_N18_W22_P010,INST0202_N18_W22_D010,INST0202_N18_W22_P011,INST0202_N18_W22_D011,INST0202_N18_W22_P012,INST0202_N18_W22_D012,INST0202_N18_W22_P013,INST0202_N18_W22_D013,INST0202_N18_W22_P014,INST0202_N18_W22_D014,INST0202_N18_W22_P015,INST0202_N18_W22_D015,INST0202_N18_W22_P016,INST0202_N18_W22_D016,INST0202_N18_W22_P017,INST0202_N18_W22_D017
depot,0.0,17.435,20.081,0.0,149.638,0.0,53.818,53.818,20.02,20.081,53.818,77.687,124.166,29.878,141.804,32.905,17.435,53.818,0.0,29.878,20.02,53.818,75.699,20.02,124.166,32.905,141.804,75.699,17.435,20.56,77.687,32.905,141.804,29.878,17.435,0.0,17.435
INST0202_N18_W22_P000,17.435,0.0,28.407,17.435,133.358,17.435,61.972,61.972,35.228,28.407,61.972,86.82,129.907,43.098,147.866,50.317,0.0,61.972,17.435,43.098,35.228,61.972,92.961,35.228,129.907,50.317,147.866,92.961,0.0,36.679,86.82,50.317,147.866,43.098,0.0,17.435,0.0
INST0202_N18_W22_D000,20.081,28.407,0.0,20.081,160.03,20.081,72.151,72.151,14.369,0.0,72.151,94.929,142.787,45.89,160.194,37.156,28.407,72.151,20.081,45.89,14.369,72.151,78.578,14.369,142.787,37.156,160.194,78.578,28.407,33.728,94.929,37.156,160.194,45.89,28.407,20.081,28.407
INST0202_N18_W22_P001,0.0,17.435,20.081,0.0,149.638,0.0,53.818,53.818,20.02,20.081,53.818,77.687,124.166,29.878,141.804,32.905,17.435,53.818,0.0,29.878,20.02,53.818,75.699,20.02,124.166,32.905,141.804,75.699,17.435,20.56,77.687,32.905,141.804,29.878,17.435,0.0,17.435
INST0202_N18_W22_D001,149.638,133.358,160.03,149.638,0.0,149.638,159.2,159.2,168.582,160.03,159.2,176.253,187.182,162.13,201.301,180.319,133.358,159.2,149.638,162.13,168.582,159.2,219.073,168.582,187.182,180.319,201.301,219.073,133.358,163.588,176.253,180.319,201.301,162.13,133.358,149.638,133.358
INST0202_N18_W22_P002,0.0,17.435,20.081,0.0,149.638,0.0,53.818,53.818,20.02,20.081,53.818,77.687,124.166,29.878,141.804,32.905,17.435,53.818,0.0,29.878,20.02,53.818,75.699,20.02,124.166,32.905,141.804,75.699,17.435,20.56,77.687,32.905,141.804,29.878,17.435,0.0,17.435
INST0202_N18_W22_D002,53.818,61.972,72.151,53.818,159.2,53.818,0.0,0.0,63.48,72.151,0.0,24.909,70.637,27.496,88.095,50.631,61.972,0.0,53.818,27.496,63.48,0.0,68.471,63.48,70.637,50.631,88.095,68.471,61.972,40.204,24.909,50.631,88.095,27.496,61.972,53.818,61.972
INST0202_N18_W22_P003,53.818,61.972,72.151,53.818,159.2,53.818,0.0,0.0,63.48,72.151,0.0,24.909,70.637,27.496,88.095,50.631,61.972,0.0,53.818,27.496,63.48,0.0,68.471,63.48,70.637,50.631,88.095,68.471,61.972,40.204,24.909,50.631,88.095,27.496,61.972,53.818,61.972
INST0202_N18_W22_D003,20.02,35.228,14.369,20.02,168.582,20.02,63.48,63.48,0.0,14.369,63.48,84.648,133.671,36.098,150.679,22.951,35.228,63.48,20.02,36.098,0.0,63.48,64.294,0.0,133.671,22.951,150.679,64.294,35.228,23.331,84.648,22.951,150.679,36.098,35.228,20.02,35.228
INST0202_N18_W22_P004,20.081,28.407,0.0,20.081,160.03,20.081,72.151,72.151,14.369,0.0,72.151,94.929,142.787,45.89,160.194,37.156,28.407,72.151,20.081,45.89,14.369,72.151,78.578,14.369,142.787,37.156,160.194,78.578,28.407,33.728,94.929,37.156,160.194,45.89,28.407,20.081,28.407
