,depot,INST0034_N5_W04_P000,INST0034_N5_W04_D000,INST0034_N5_W04_P001,INST0034_N5_W04_D001,INST0034_N5_W04_P002,INST0034_N5_W04_D002,INST0034_N5_W04_P003,INST0034_N5_W04_D003,INST0034_N5_W04_P004,INST0034_N5_W04_D004
depot,0.0,0.0,93.687,71.944,54.132,54.132,71.944,14.722,0.0,54.132,120.757
INST0034_N5_W04_P000,0.0,0.0,93.687,71.944,54.132,54.132,71.944,14.722,0.0,54.132,120.757
INST0034_N5_W04_D000,93.687,93.687,0.0,22.455,40.063,40.063,22.455,79.708,93.687,40.063,35.196
INST0034_N5_W04_P001,71.944,71.944,22.455,0.0,20.342,20.342,0.0,57.687,71.944,20.342,50.611
INST0034_N5_W04_D001,54.132,54.132,40.063,20.342,0.0,0.0,20.342,40.846,54.132,0.0,70.903
INST0034_N5_W04_P002,54.132,54.132,40.063,20.342,0.0,0.0,20.342,40.846,54.132,0.0,70.903
INST0034_N5_W04_D002,71.944,71.944,22.455,0.0,20.342,20.342,0.0,57.687,71.944,20.342,50.611
INST0034_N5_W04_P003,14.722,14.722,79.708,57.687,40.846,40.846,57.687,0.0,14.722,40.846,106.091
INST0034_N5_W04_D003,0.0,0.0,93.687,71.944,54.132,54.132,71.944,14.722,0.0,54.132,120.757
INST0034_N5_W04_P004,54.132,54.132,40.063,20.342,0.0,0.0,20.342,40.846,54.132,0.0,70.903
INST0034_N5_W04_D004,120.757,120.757,35.196,50.611,70.903,70.903,50.611,106.091,120.757,70.903,0.0
