,depot,INST0258_N22_N18_P000,INST0258_N22_N18_D000,INST0258_N22_N18_P001,INST0258_N22_N18_D001,INST0258_N22_N18_P002,INST0258_N22_N18_D002,INST0258_N22_N18_P003,INST0258_N22_N18_D003,INST0258_N22_N18_P004,INST0258_N22_N18_D004,INST0258_N22_N18_P005,INST0258_N22_N18_D005,INST0258_N22_N18_P006,INST0258_N22_N18_D006,INST0258_N22_N18_P007,INST0258_N22_N18_D007,INST0258_N22_N18_P008,INST0258_N22_N18_D008,INST0258_N22_N18_P009,INST0258_N22_N18_D009,INST0258_N22_N18_P010,INST0258_N22_N18_D010,INST0258_N22_N18_P011,INST0258_N22_N18_D011,INST0258_N22_N18_P012,INST0258_N22_N18_D012,INST0258_N22_N18_P013,INST0258_N22_N18_D013,INST0258_N22_N18_P014,INST0258_N22_N18_D014,INST0258_N22_N18_P015,INST0258_N22_N18_D015,INST0258_N22_N18_P016,INST0258_N22_N18_D016,INST0258_N22_N18_P017,INST0258_N22_N18_D017,INST0258_N22_N18_P018,INST0258_N22_N18_D018,INST0258_N22_N18_P019,INST0258_N22_N18_D019,INST0258_N22_N18_P020,INST0258_N22_N18_D020,INST0258_N22_N18_P021,INST0258_N22_N18_D021
depot,0.0,11.436,0.0,30.471,20.176,2.788,77.555,46.06,135.971,46.06,23.353,23.353,13.759,20.176,66.572,13.759,52.8,77.555,11.436,13.759,2.788,11.436,13.759,77.555,46.06,46.06,77.555,2.788,20.176,77.555,23.353,23.353,2.788,23.353,66.572,46.06,145.919,77.555,23.353,23.353,52.8,30.471,0.0,11.436,23.353
INST0258_N22_N18_P000,11.436,0.0,11.436,40.266,26.126,13.942,81.189,48.052,128.231,48.052,20.683,20.683,21.8,26.126,77.99,21.8,46.019,81.189,0.0,21.8,13.942,0.0,21.8,81.189,48.052,48.052,81.189,13.942,26.126,81.189,20.683,20.683,13.942,20.683,77.99,48.052,145.998,81.189,20.683,20.683,46.019,40.266,11.436,0.0,20.683
INST0258_N22_N18_D000,0.0,11.436,0.0,30.471,20.176,2.788,77.555,46.06,135.971,46.06,23.353,23.353,13.759,20.176,66.572,13.759,52.8,77.555,11.436,13.759,2.788,11.436,13.759,77.555,46.06,46.06,77.555,2.788,20.176,77.555,23.353,23.353,2.788,23.353,66.572,46.06,145.919,77.555,23.353,23.353,52.8,30.471,0.0,11.436,23.353
INST0258_N22_N18_P001,30.471,40.266,30.471,0.0,18.283,27.709,93.214,35.653,143.5,35.653,35.534,35.534,18.791,18.283,47.339,18.791,82.833,93.214,40.266,18.791,27.709,40.266,18.791,93.214,35.653,35.653,93.214,27.709,18.283,93.214,35.534,35.534,27.709,35.534,47.339,35.653,131.141,93.214,35.534,35.534,82.833,0.0,30.471,40.266,35.534
INST0258_N22_N18_D001,20.176,26.126,20.176,18.283,0.0,18.229,95.136,27.111,127.973,27.111,17.254,17.254,7.201,0.0,64.45,7.201,71.779,95.136,26.126,7.201,18.229,26.126,7.201,95.136,27.111,27.111,95.136,18.229,0.0,95.136,17.254,17.254,18.229,17.254,64.45,27.111,127.166,95.136,17.254,17.254,71.779,18.283,20.176,26.126,17.254
INST0258_N22_N18_P002,2.788,13.942,2.788,27.709,18.229,0.0,78.292,44.646,136.742,44.646,23.461,23.461,11.477,18.229,64.236,11.477,55.435,78.292,13.942,11.477,0.0,13.942,11.477,78.292,44.646,44.646,78.292,0.0,18.229,78.292,23.461,23.461,0.0,23.461,64.236,44.646,144.673,78.292,23.461,23.461,55.435,27.709,2.788,13.942,23.461
INST0258_N22_N18_D002,77.555,81.189,77.555,93.214,95.136,78.292,0.0,122.247,206.878,122.247,100.436,100.436,87.958,95.136,85.106,87.958,65.084,0.0,81.189,87.958,78.292,81.189,87.958,0.0,122.247,122.247,0.0,78.292,95.136,0.0,100.436,100.436,78.292,100.436,85.106,122.247,222.229,0.0,100.436,100.436,65.084,93.214,77.555,81.189,100.436
INST0258_N22_N18_P003,46.06,48.052,46.06,35.653,27.111,44.646,122.247,0.0,110.202,0.0,28.616,28.616,34.294,27.111,81.232,34.294,93.371,122.247,48.052,34.294,44.646,48.052,34.294,122.247,0.0,0.0,122.247,44.646,27.111,122.247,28.616,28.616,44.646,28.616,81.232,0.0,100.108,122.247,28.616,28.616,93.371,35.653,46.06,48.052,28.616
INST0258_N22_N18_D003,135.971,128.231,135.971,143.5,127.973,136.742,206.878,110.202,0.0,110.202,113.8,113.8,132.823,127.973,190.666,132.823,149.304,206.878,128.231,132.823,136.742,128.231,132.823,206.878,110.202,110.202,206.878,136.742,127.973,206.878,113.8,113.8,136.742,113.8,190.666,110.202,102.687,206.878,113.8,113.8,149.304,143.5,135.971,128.231,113.8
INST0258_N22_N18_P004,46.06,48.052,46.06,35.653,27.111,44.646,122.247,0.0,110.202,0.0,28.616,28.616,34.294,27.111,81.232,34.294,93.371,122.247,48.052,34.294,44.646,48.052,34.294,122.247,0.0,0.0,122.247,44.646,27.111,122.247,28.616,28.616,44.646,28.616,81.232,0.0,100.108,122.247,28.616,28.616,93.371,35.653,46.06,48.052,28.616
