,depot,INST0194_N18_S14_P000,INST0194_N18_S14_D000,INST0194_N18_S14_P001,INST0194_N18_S14_D001,INST0194_N18_S14_P002,INST0194_N18_S14_D002,INST0194_N18_S14_P003,INST0194_N18_S14_D003,INST0194_N18_S14_P004,INST0194_N18_S14_D004,INST0194_N18_S14_P005,INST0194_N18_S14_D005,INST0194_N18_S14_P006,INST0194_N18_S14_D006,INST0194_N18_S14_P007,INST0194_N18_S14_D007,INST0194_N18_S14_P008,INST0194_N18_S14_D008,INST0194_N18_S14_P009,INST0194_N18_S14_D009,INST0194_N18_S14_P010,INST0194_N18_S14_D010,INST0194_N18_S14_P011,INST0194_N18_S14_D011,INST0194_N18_S14_P012,INST0194_N18_S14_D012,INST0194_N18_S14_P013,INST0194_N18_S14_D013,INST0194_N18_S14_P014,INST0194_N18_S14_D014,INST0194_N18_S14_P015,INST0194_N18_S14_D015,INST0194_N18_S14_P016,INST0194_N18_S14_D016,INST0194_N18_S14_P017,INST0194_N18_S14_D017
depot,0.0,25.439,44.339,7.008,122.952,54.565,0.0,65.452,54.565,44.339,65.452,43.838,44.339,54.565,122.952,25.439,32.298,43.838,58.699,10.881,65.452,25.439,0.0,0.0,89.072,44.339,89.072,54.565,32.298,54.565,89.072,25.439,44.339,0.0,10.881,32.298,0.0
INST0194_N18_S14_P000,25.439,0.0,19.488,24.239,124.222,55.171,25.439,59.019,55.171,19.488,59.019,45.002,19.488,55.171,124.222,0.0,21.517,45.002,83.416,19.629,59.019,0.0,25.439,25.439,91.902,19.488,91.902,55.171,21.517,55.171,91.902,0.0,19.488,25.439,19.629,21.517,25.439
INST0194_N18_S14_D000,44.339,19.488,0.0,41.761,134.327,67.889,44.339,54.903,67.889,0.0,54.903,59.003,0.0,67.889,134.327,19.488,24.954,59.003,102.776,36.46,54.903,19.488,44.339,44.339,103.829,0.0,103.829,67.889,24.954,67.889,103.829,19.488,0.0,44.339,36.46,24.954,44.339
INST0194_N18_S14_P001,7.008,24.239,41.761,0.0,129.526,60.745,7.008,58.521,60.745,41.761,58.521,49.927,41.761,60.745,129.526,24.239,26.505,49.927,62.898,5.477,58.521,24.239,7.008,7.008,95.708,41.761,95.708,60.745,26.505,60.745,95.708,24.239,41.761,7.008,5.477,26.505,7.008
INST0194_N18_S14_D001,122.952,124.222,134.327,129.526,0.0,69.589,122.952,183.035,69.589,134.327,183.035,80.368,134.327,69.589,0.0,124.222,145.321,80.368,123.443,130.689,183.035,124.222,122.952,122.952,33.969,134.327,33.969,69.589,145.321,69.589,33.969,124.222,134.327,122.952,130.689,145.321,122.952
INST0194_N18_S14_P002,54.565,55.171,67.889,60.745,69.589,0.0,54.565,113.587,0.0,67.889,113.587,10.867,67.889,0.0,69.589,55.171,75.908,10.867,77.092,61.394,113.587,55.171,54.565,54.565,36.733,67.889,36.733,0.0,75.908,0.0,36.733,55.171,67.889,54.565,61.394,75.908,54.565
INST0194_N18_S14_D002,0.0,25.439,44.339,7.008,122.952,54.565,0.0,65.452,54.565,44.339,65.452,43.838,44.339,54.565,122.952,25.439,32.298,43.838,58.699,10.881,65.452,25.439,0.0,0.0,89.072,44.339,89.072,54.565,32.298,54.565,89.072,25.439,44.339,0.0,10.881,32.298,0.0
INST0194_N18_S14_P003,65.452,59.019,54.903,58.521,183.035,113.587,65.452,0.0,113.587,54.903,0.0,103.002,54.903,113.587,183.035,59.019,37.715,103.002,113.511,55.179,0.0,59.019,65.452,65.452,150.208,54.903,150.208,113.587,37.715,113.587,150.208,59.019,54.903,65.452,55.179,37.715,65.452
INST0194_N18_S14_D003,54.565,55.171,67.889,60.745,69.589,0.0,54.565,113.587,0.0,67.889,113.587,10.867,67.889,0.0,69.589,55.171,75.908,10.867,77.092,61.394,113.587,55.171,54.565,54.565,36.733,67.889,36.733,0.0,75.908,0.0,36.733,55.171,67.889,54.565,61.394,75.908,54.565
INST0194_N18_S14_P004,44.339,19.488,0.0,41.761,134.327,67.889,44.339,54.903,67.889,0.0,54.903,59.003,0.0,67.889,134.327,19.488,24.954,59.003,102.776,36.46,54.903,19.488,44.339,44.339,103.829,0.0,103.829,67.889,24.954,67.889,103.829,19.488,0.0,44.339,36.46,24.954,44.339
