,depot,INST0032_N5_S02_P000,INST0032_N5_S02_D000,INST0032_N5_S02_P001,INST0032_N5_S02_D001,INST0032_N5_S02_P002,INST0032_N5_S02_D002,INST0032_N5_S02_P003,INST0032_N5_S02_D003,INST0032_N5_S02_P004,INST0032_N5_S02_D004
depot,0.0,59.019,21.517,19.488,59.019,19.488,83.416,45.002,91.902,55.171,91.902
INST0032_N5_S02_P000,59.019,0.0,37.715,54.903,0.0,54.903,113.511,103.002,150.208,113.587,150.208
INST0032_N5_S02_D000,21.517,37.715,0.0,24.954,37.715,24.954,88.975,65.388,112.576,75.908,112.576
INST0032_N5_S02_P001,19.488,54.903,24.954,0.0,54.903,0.0,102.776,59.003,103.829,67.889,103.829
INST0032_N5_S02_D001,59.019,0.0,37.715,54.903,0.0,54.903,113.511,103.002,150.208,113.587,150.208
INST0032_N5_S02_P002,19.488,54.903,24.954,0.0,54.903,0.0,102.776,59.003,103.829,67.889,103.829
INST0032_N5_S02_D002,83.416,113.511,88.975,102.776,113.511,102.776,0.0,71.865,93.449,77.092,93.449
INST0032_N5_S02_P003,45.002,103.002,65.388,59.003,103.002,59.003,71.865,0.0,47.206,10.867,47.206
INST0032_N5_S02_D003,91.902,150.208,112.576,103.829,150.208,103.829,93.449,47.206,0.0,36.733,0.0
INST0032_N5_S02_P004,55.171,113.587,75.908,67.889,113.587,67.889,77.092,10.867,36.733,0.0,36.733
INST0032_N5_S02_D004,91.902,150.208,112.576,103.829,150.208,103.829,93.449,47.206,0.0,36.733,0.0
