,depot,INST0173_N15_S23_P000,INST0173_N15_S23_D000,INST0173_N15_S23_P001,INST0173_N15_S23_D001,INST0173_N15_S23_P002,INST0173_N15_S23_D002,INST0173_N15_S23_P003,INST0173_N15_S23_D003,INST0173_N15_S23_P004,INST0173_N15_S23_D004,INST0173_N15_S23_P005,INST0173_N15_S23_D005,INST0173_N15_S23_P006,INST0173_N15_S23_D006,INST0173_N15_S23_P007,INST0173_N15_S23_D007,INST0173_N15_S23_P008,INST0173_N15_S23_D008,INST0173_N15_S23_P009,INST0173_N15_S23_D009,INST0173_N15_S23_P010,INST0173_N15_S23_D010,INST0173_N15_S23_P011,INST0173_N15_S23_D011,INST0173_N15_S23_P012,INST0173_N15_S23_D012,INST0173_N15_S23_P013,INST0173_N15_S23_D013,INST0173_N15_S23_P014,INST0173_N15_S23_D014
depot,0.0,32.455,61.135,77.018,158.604,8.581,29.68,71.658,61.135,77.018,0.0,71.658,74.382,32.455,29.68,32.455,29.68,61.135,117.194,6.707,32.455,77.018,61.135,0.0,61.135,74.382,71.658,8.581,74.382,32.455,71.658
INST0173_N15_S23_P000,32.455,0.0,80.067,108.949,177.944,39.549,26.348,46.181,80.067,108.949,32.455,46.181,92.948,0.0,26.348,0.0,26.348,80.067,137.848,26.3,0.0,108.949,80.067,32.455,80.067,92.948,46.181,39.549,92.948,0.0,46.181
INST0173_N15_S23_D000,61.135,80.067,0.0,87.998,98.41,53.679,55.105,126.125,0.0,87.998,61.135,126.125,13.307,80.067,55.105,80.067,55.105,0.0,57.803,61.869,80.067,87.998,0.0,61.135,0.0,13.307,126.125,53.679,13.307,80.067,126.125
INST0173_N15_S23_P001,77.018,108.949,87.998,0.0,151.155,71.877,102.142,138.993,87.998,0.0,77.018,138.993,94.398,108.949,102.142,108.949,102.142,87.998,114.428,83.656,108.949,0.0,87.998,77.018,87.998,94.398,138.993,71.877,94.398,108.949,138.993
INST0173_N15_S23_D001,158.604,177.944,98.41,151.155,0.0,150.553,152.108,224.124,98.41,151.155,158.604,224.124,85.211,177.944,152.108,177.944,152.108,98.41,41.594,160.028,177.944,151.155,98.41,158.604,98.41,85.211,224.124,150.553,85.211,177.944,224.124
INST0173_N15_S23_P002,8.581,39.549,53.679,71.877,150.553,0.0,31.149,80.145,53.679,71.877,8.581,80.145,66.815,39.549,31.149,39.549,31.149,53.679,109.068,13.324,39.549,71.877,53.679,8.581,53.679,66.815,80.145,0.0,66.815,39.549,80.145
INST0173_N15_S23_D002,29.68,26.348,55.105,102.142,152.108,31.149,0.0,72.268,55.105,102.142,29.68,72.268,67.557,26.348,0.0,26.348,0.0,55.105,112.533,24.036,26.348,102.142,55.105,29.68,55.105,67.557,72.268,31.149,67.557,26.348,72.268
INST0173_N15_S23_P003,71.658,46.181,126.125,138.993,224.124,80.145,72.268,0.0,126.125,138.993,71.658,0.0,139.086,46.181,72.268,46.181,72.268,126.125,183.928,67.566,46.181,138.993,126.125,71.658,126.125,139.086,0.0,80.145,139.086,46.181,0.0
INST0173_N15_S23_D003,61.135,80.067,0.0,87.998,98.41,53.679,55.105,126.125,0.0,87.998,61.135,126.125,13.307,80.067,55.105,80.067,55.105,0.0,57.803,61.869,80.067,87.998,0.0,61.135,0.0,13.307,126.125,53.679,13.307,80.067,126.125
INST0173_N15_S23_P004,77.018,108.949,87.998,0.0,151.155,71.877,102.142,138.993,87.998,0.0,77.018,138.993,94.398,108.949,102.142,108.949,102.142,87.998,114.428,83.656,108.949,0.0,87.998,77.018,87.998,94.398,138.993,71.877,94.398,108.949,138.993
INST0173_N15_S23_D004,0.0,32.455,61.135,77.018,158.604,8.581,29.68,71.658,61.135,77.018,0.0,71.658,74.382,32.455,29.68,32.455,29.68,61.135,117.194,6.707,32.455,77.018,61.135,0.0,61.135,74.382,71.658,8.581,74.382,32.455,71.658
INST0173_N15_S23_P005,71.658,46.181,126.125,138.993,224.124,80.145,72.268,0.0,126.125,138.993,71.658,0.0,139.086,46.181,72.268,46.181,72.268,126.125,183.928,67.566,46.181,138.993,126.125,71.658,126.125,139.086,0.0,80.145,139.086,46.181,0.0
INST0173_N15_S23_D005,74.382,92.948,13.307,94.398,85.211,66.815,67.557,139.086,13.307,94.398,74.382,139.086,0.0,92.948,67.557,92.948,67.557,13.307,44.98,75.176,92.948,94.398,13.307,74.382,13.307,0.0,139.086,66.815,0.0,92.948,139.086
INST0173_N15_S23_P006,32.455,0.0,80.067,108.949,177.944,39.549,26.348,46.181,80.067,108.949,32.455,46.181,92.948,0.0,26.348,0.0,26.348,80.067,137.848,26.3,0.0,108.949,80.067,32.455,80.067,92.948,46.181,39.549,92.948,0.0,46.181
INST0173_N15_S23_D006,29.68,26.348,55.105,102.142,152.108,31.149,0.0,72.268,55.105,102.142,29.68,72.268,67.557,26.348,0.0,26.348,0.0,55.105,112.533,24.036,26.348,102.142,55.105,29.68,55.105,67.557,72.268,31.149,67.557,26.348,72.268
INST0173_N15_S23_P007,32.455,0.0,80.067,108.949,177.944,39.549,26.348,46.181,80.067,108.949,32.455,46.181,92.948,0.0,26.348,0.0,26.348,80.067,137.848,26.3,0.0,108.949,80.067,32.455,80.067,92.948,46.181,39.549,92.948,0.0,46.181
INST0173_N15_S23_D007,29.68,26.348,55.105,102.142,152.108,31.149,0.0,72.268,55.105,102.142,29.68,72.268,67.557,26.348,0.0,26.348,0.0,55.105,112.533,24.036,26.348,102.142,55.105,29.68,55.105,67.557,72.268,31.149,67.557,26.348,72.268
INST0173_N15_S23_P008,61.135,80.067,0.0,87.998,98.41,53.679,55.105,126.125,0.0,87.998,61.135,126.125,13.307,80.067,55.105,80.067,55.105,0.0,57.803,61.869,80.067,87.998,0.0,61.135,0.0,13.307,126.125,53.679,13.307,80.067,126.125
INST0173_N15_S23_D008,117.194,137.848,57.803,114.428,41.594,109.068,112.533,183.928,57.803,114.428,117.194,183.928,44.98,137.848,112.533,137.848,112.533,57.803,0.0,118.85,137.848,114.428,57.803,117.194,57.803,44.98,183.928,109.068,44.98,137.848,183.928
INST0173_N15_S23_P009,6.707,26.3,61.869,83.656,160.028,13.324,24.036,67.566,61.869,83.656,6.707,67.566,75.176,26.3,24.036,26.3,24.036,61.869,118.85,0.0,26.3,83.656,61.869,6.707,61.869,75.176,67.566,13.324,75.176,26.3,67.566
INST0173_N15_S23_D009,32.455,0.0,80.067,108.949,177.944,39.549,26.348,46.181,80.067,108.949,32.455,46.181,92.948,0.0,26.348,0.0,26.348,80.067,137.848,26.3,0.0,108.949,80.067,32.455,80.067,92.948,46.181,39.549,92.948,0.0,46.181
INST0173_N15_S23_P010,77.018,108.949,87.998,0.0,151.155,71.877,102.142,138.993,87.998,0.0,77.018,138.993,94.398,108.949,102.142,108.949,102.142,87.998,114.428,83.656,108.949,0.0,87.998,77.018,87.998,94.398,138.993,71.877,94.398,108.949,138.993
INST0173_N15_S23_D010,61.135,80.067,0.0,87.998,98.41,53.679,55.105,126.125,0.0,87.998,61.135,126.125,13.307,80.067,55.105,80.067,55.105,0.0,57.803,61.869,80.067,87.998,0.0,61.135,0.0,13.307,126.125,53.679,13.307,80.067,126.125
INST0173_N15_S23_P011,0.0,32.455,61.135,77.018,158.604,8.581,29.68,71.658,61.135,77.018,0.0,71.658,74.382,32.455,29.68,32.455,29.68,61.135,117.194,6.707,32.455,77.018,61.135,0.0,61.135,74.382,71.658,8.581,74.382,32.455,71.658
INST0173_N15_S23_D011,61.135,80.067,0.0,87.998,98.41,53.679,55.105,126.125,0.0,87.998,61.135,126.125,13.307,80.067,55.105,80.067,55.105,0.0,57.803,61.869,80.067,87.998,0.0,61.135,0.0,13.307,126.125,53.679,13.307,80.067,126.125
INST0173_N15_S23_P012,74.382,92.948,13.307,94.398,85.211,66.815,67.557,139.086,13.307,94.398,74.382,139.086,0.0,92.948,67.557,92.948,67.557,13.307,44.98,75.176,92.948,94.398,13.307,74.382,13.307,0.0,139.086,66.815,0.0,92.948,139.086
INST0173_N15_S23_D012,71.658,46.181,126.125,138.993,224.124,80.145,72.268,0.0,126.125,138.993,71.658,0.0,139.086,46.181,72.268,46.181,72.268,126.125,183.928,67.566,46.181,138.993,126.125,71.658,126.125,139.086,0.0,80.145,139.086,46.181,0.0
INST0173_N15_S23_P013,8.581,39.549,53.679,71.877,150.553,0.0,31.149,80.145,53.679,71.877,8.581,80.145,66.815,39.549,31.149,39.549,31.149,53.679,109.068,13.324,39.549,71.877,53.679,8.581,53.679,66.815,80.145,0.0,66.815,39.549,80.145
INST0173_N15_S23_D013,74.382,92.948,13.307,94.398,85.211,66.815,67.557,139.086,13.307,94.398,74.382,139.086,0.0,92.948,67.557,92.948,67.557,13.307,44.98,75.176,92.948,94.398,13.307,74.382,13.307,0.0,139.086,66.815,0.0,92.948,139.086
INST0173_N15_S23_P014,32.455,0.0,80.067,108.949,177.944,39.549,26.348,46.181,80.067,108.949,32.455,46.181,92.948,0.0,26.348,0.0,26.348,80.067,137.848,26.3,0.0,108.949,80.067,32.455,80.067,92.948,46.181,39.549,92.948,0.0,46.181
INST0173_N15_S23_D014,71.658,46.181,126.125,138.993,224.124,80.145,72.268,0.0,126.125,138.993,71.658,0.0,139.086,46.181,72.268,46.181,72.268,126.125,183.928,67.566,46.181,138.993,126.125,71.658,126.125,139.086,0.0,80.145,139.086,46.181,0.0
