,depot,INST0166_N15_W16_P000,INST0166_N15_W16_D000,INST0166_N15_W16_P001,INST0166_N15_W16_D001,INST0166_N15_W16_P002,INST0166_N15_W16_D002,INST0166_N15_W16_P003,INST0166_N15_W16_D003,INST0166_N15_W16_P004,INST0166_N15_W16_D004,INST0166_N15_W16_P005,INST0166_N15_W16_D005,INST0166_N15_W16_P006,INST0166_N15_W16_D006,INST0166_N15_W16_P007,INST0166_N15_W16_D007,INST0166_N15_W16_P008,INST0166_N15_W16_D008,INST0166_N15_W16_P009,INST0166_N15_W16_D009,INST0166_N15_W16_P010,INST0166_N15_W16_D010,INST0166_N15_W16_P011,INST0166_N15_W16_D011,INST0166_N15_W16_P012,INST0166_N15_W16_D012,INST0166_N15_W16_P013,INST0166_N15_W16_D013,INST0166_N15_W16_P014,INST0166_N15_W16_D014
depot,0.0,67.612,22.951,32.905,50.631,17.238,117.595,37.156,50.317,67.612,117.595,37.156,25.201,50.631,37.156,43.046,32.905,50.317,180.319,43.046,22.951,37.156,0.0,25.201,67.612,22.951,37.156,22.951,133.769,50.631,25.201
INST0166_N15_W16_P000,67.612,0.0,84.648,77.687,24.909,61.567,50.015,94.929,86.82,0.0,50.015,94.929,49.056,24.909,94.929,70.587,77.687,86.82,176.253,70.587,84.648,94.929,67.612,49.056,0.0,84.648,94.929,84.648,66.284,24.909,49.056
INST0166_N15_W16_D000,22.951,84.648,0.0,20.02,63.48,23.331,133.671,14.369,35.228,84.648,133.671,14.369,36.098,63.48,14.369,64.294,20.02,35.228,168.582,64.294,0.0,14.369,22.951,36.098,84.648,0.0,14.369,0.0,150.679,63.48,36.098
INST0166_N15_W16_P001,32.905,77.687,20.02,0.0,53.818,20.56,124.166,20.081,17.435,77.687,124.166,20.081,29.878,53.818,20.081,75.699,0.0,17.435,149.638,75.699,20.02,20.081,32.905,29.878,77.687,20.02,20.081,20.02,141.804,53.818,29.878
INST0166_N15_W16_D001,50.631,24.909,63.48,53.818,0.0,40.204,70.637,72.151,61.972,24.909,70.637,72.151,27.496,0.0,72.151,68.471,53.818,61.972,159.2,68.471,63.48,72.151,50.631,27.496,24.909,63.48,72.151,63.48,88.095,0.0,27.496
INST0166_N15_W16_P002,17.238,61.567,23.331,20.56,40.204,0.0,110.354,33.728,36.679,61.567,110.354,33.728,12.767,40.204,33.728,57.051,20.56,36.679,163.588,57.051,23.331,33.728,17.238,12.767,61.567,23.331,33.728,23.331,127.423,40.204,12.767
INST0166_N15_W16_D002,117.595,50.015,133.671,124.166,70.637,110.354,0.0,142.787,129.907,50.015,0.0,142.787,97.602,70.637,142.787,115.643,124.166,129.907,187.182,115.643,133.671,142.787,117.595,97.602,50.015,133.671,142.787,133.671,18.026,70.637,97.602
INST0166_N15_W16_P003,37.156,94.929,14.369,20.081,72.151,33.728,142.787,0.0,28.407,94.929,142.787,0.0,45.89,72.151,0.0,78.578,20.081,28.407,160.03,78.578,14.369,0.0,37.156,45.89,94.929,14.369,0.0,14.369,160.194,72.151,45.89
INST0166_N15_W16_D003,50.317,86.82,35.228,17.435,61.972,36.679,129.907,28.407,0.0,86.82,129.907,28.407,43.098,61.972,28.407,92.961,17.435,0.0,133.358,92.961,35.228,28.407,50.317,43.098,86.82,35.228,28.407,35.228,147.866,61.972,43.098
INST0166_N15_W16_P004,67.612,0.0,84.648,77.687,24.909,61.567,50.015,94.929,86.82,0.0,50.015,94.929,49.056,24.909,94.929,70.587,77.687,86.82,176.253,70.587,84.648,94.929,67.612,49.056,0.0,84.648,94.929,84.648,66.284,24.909,49.056
