,depot,INST0179_N15_S29_P000,INST0179_N15_S29_D000,INST0179_N15_S29_P001,INST0179_N15_S29_D001,INST0179_N15_S29_P002,INST0179_N15_S29_D002,INST0179_N15_S29_P003,INST0179_N15_S29_D003,INST0179_N15_S29_P004,INST0179_N15_S29_D004,INST0179_N15_S29_P005,INST0179_N15_S29_D005,INST0179_N15_S29_P006,INST0179_N15_S29_D006,INST0179_N15_S29_P007,INST0179_N15_S29_D007,INST0179_N15_S29_P008,INST0179_N15_S29_D008,INST0179_N15_S29_P009,INST0179_N15_S29_D009,INST0179_N15_S29_P010,INST0179_N15_S29_D010,INST0179_N15_S29_P011,INST0179_N15_S29_D011,INST0179_N15_S29_P012,INST0179_N15_S29_D012,INST0179_N15_S29_P013,INST0179_N15_S29_D013,INST0179_N15_S29_P014,INST0179_N15_S29_D014
depot,0.0,80.145,53.679,0.0,54.293,39.549,0.0,13.324,31.149,71.877,8.581,80.145,0.0,54.293,31.149,53.679,39.549,66.815,71.877,71.877,13.324,66.815,54.293,8.581,53.679,13.324,53.679,80.145,71.877,13.324,66.815
INST0179_N15_S29_P000,80.145,0.0,126.125,80.145,67.228,46.181,80.145,67.566,72.268,138.993,71.658,0.0,80.145,67.228,72.268,126.125,46.181,139.086,138.993,138.993,67.566,139.086,67.228,71.658,126.125,67.566,126.125,0.0,138.993,67.566,139.086
INST0179_N15_S29_D000,53.679,126.125,0.0,53.679,72.248,80.067,53.679,61.869,55.105,87.998,61.135,126.125,53.679,72.248,55.105,0.0,80.067,13.307,87.998,87.998,61.869,13.307,72.248,61.135,0.0,61.869,0.0,126.125,87.998,61.869,13.307
INST0179_N15_S29_P001,0.0,80.145,53.679,0.0,54.293,39.549,0.0,13.324,31.149,71.877,8.581,80.145,0.0,54.293,31.149,53.679,39.549,66.815,71.877,71.877,13.324,66.815,54.293,8.581,53.679,13.324,53.679,80.145,71.877,13.324,66.815
INST0179_N15_S29_D001,54.293,67.228,72.248,54.293,0.0,30.556,54.293,44.645,23.863,125.848,51.136,67.228,54.293,0.0,23.863,72.248,30.556,83.129,125.848,125.848,44.645,83.129,0.0,51.136,72.248,44.645,72.248,67.228,125.848,44.645,83.129
INST0179_N15_S29_P002,39.549,46.181,80.067,39.549,30.556,0.0,39.549,26.3,26.348,108.949,32.455,46.181,39.549,30.556,26.348,80.067,0.0,92.948,108.949,108.949,26.3,92.948,30.556,32.455,80.067,26.3,80.067,46.181,108.949,26.3,92.948
INST0179_N15_S29_D002,0.0,80.145,53.679,0.0,54.293,39.549,0.0,13.324,31.149,71.877,8.581,80.145,0.0,54.293,31.149,53.679,39.549,66.815,71.877,71.877,13.324,66.815,54.293,8.581,53.679,13.324,53.679,80.145,71.877,13.324,66.815
INST0179_N15_S29_P003,13.324,67.566,61.869,13.324,44.645,26.3,13.324,0.0,24.036,83.656,6.707,67.566,13.324,44.645,24.036,61.869,26.3,75.176,83.656,83.656,0.0,75.176,44.645,6.707,61.869,0.0,61.869,67.566,83.656,0.0,75.176
INST0179_N15_S29_D003,31.149,72.268,55.105,31.149,23.863,26.348,31.149,24.036,0.0,102.142,29.68,72.268,31.149,23.863,0.0,55.105,26.348,67.557,102.142,102.142,24.036,67.557,23.863,29.68,55.105,24.036,55.105,72.268,102.142,24.036,67.557
INST0179_N15_S29_P004,71.877,138.993,87.998,71.877,125.848,108.949,71.877,83.656,102.142,0.0,77.018,138.993,71.877,125.848,102.142,87.998,108.949,94.398,0.0,0.0,83.656,94.398,125.848,77.018,87.998,83.656,87.998,138.993,0.0,83.656,94.398
INST0179_N15_S29_D004,8.581,71.658,61.135,8.581,51.136,32.455,8.581,6.707,29.68,77.018,0.0,71.658,8.581,51.136,29.68,61.135,32.455,74.382,77.018,77.018,6.707,74.382,51.136,0.0,61.135,6.707,61.135,71.658,77.018,6.707,74.382
INST0179_N15_S29_P005,80.145,0.0,126.125,80.145,67.228,46.181,80.145,67.566,72.268,138.993,71.658,0.0,80.145,67.228,72.268,126.125,46.181,139.086,138.993,138.993,67.566,139.086,67.228,71.658,126.125,67.566,126.125,0.0,138.993,67.566,139.086
INST0179_N15_S29_D005,0.0,80.145,53.679,0.0,54.293,39.549,0.0,13.324,31.149,71.877,8.581,80.145,0.0,54.293,31.149,53.679,39.549,66.815,71.877,71.877,13.324,66.815,54.293,8.581,53.679,13.324,53.679,80.145,71.877,13.324,66.815
INST0179_N15_S29_P006,54.293,67.228,72.248,54.293,0.0,30.556,54.293,44.645,23.863,125.848,51.136,67.228,54.293,0.0,23.863,72.248,30.556,83.129,125.848,125.848,44.645,83.129,0.0,51.136,72.248,44.645,72.248,67.228,125.848,44.645,83.129
INST0179_N15_S29_D006,31.149,72.268,55.105,31.149,23.863,26.348,31.149,24.036,0.0,102.142,29.68,72.268,31.149,23.863,0.0,55.105,26.348,67.557,102.142,102.142,24.036,67.557,23.863,29.68,55.105,24.036,55.105,72.268,102.142,24.036,67.557
INST0179_N15_S29_P007,53.679,126.125,0.0,53.679,72.248,80.067,53.679,61.869,55.105,87.998,61.135,126.125,53.679,72.248,55.105,0.0,80.067,13.307,87.998,87.998,61.869,13.307,72.248,61.135,0.0,61.869,0.0,126.125,87.998,61.869,13.307
INST0179_N15_S29_D007,39.549,46.181,80.067,39.549,30.556,0.0,39.549,26.3,26.348,108.949,32.455,46.181,39.549,30.556,26.348,80.067,0.0,92.948,108.949,108.949,26.3,92.948,30.556,32.455,80.067,26.3,80.067,46.181,108.949,26.3,92.948
INST0179_N15_S29_P008,66.815,139.086,13.307,66.815,83.129,92.948,66.815,75.176,67.557,94.398,74.382,139.086,66.815,83.129,67.557,13.307,92.948,0.0,94.398,94.398,75.176,0.0,83.129,74.382,13.307,75.176,13.307,139.086,94.398,75.176,0.0
INST0179_N15_S29_D008,71.877,138.993,87.998,71.877,125.848,108.949,71.877,83.656,102.142,0.0,77.018,138.993,71.877,125.848,102.142,87.998,108.949,94.398,0.0,0.0,83.656,94.398,125.848,77.018,87.998,83.656,87.998,138.993,0.0,83.656,94.398
INST0179_N15_S29_P009,71.877,138.993,87.998,71.877,125.848,108.949,71.877,83.656,102.142,0.0,77.018,138.993,71.877,125.848,102.142,87.998,108.949,94.398,0.0,0.0,83.656,94.398,125.848,77.018,87.998,83.656,87.998,138.993,0.0,83.656,94.398
INST0179_N15_S29_D009,13.324,67.566,61.869,13.324,44.645,26.3,13.324,0.0,24.036,83.656,6.707,67.566,13.324,44.645,24.036,61.869,26.3,75.176,83.656,83.656,0.0,75.176,44.645,6.707,61.869,0.0,61.869,67.566,83.656,0.0,75.176
INST0179_N15_S29_P010,66.815,139.086,13.307,66.815,83.129,92.948,66.815,75.176,67.557,94.398,74.382,139.086,66.815,83.129,67.557,13.307,92.948,0.0,94.398,94.398,75.176,0.0,83.129,74.382,13.307,75.176,13.307,139.086,94.398,75.176,0.0
INST0179_N15_S29_D010,54.293,67.228,72.248,54.293,0.0,30.556,54.293,44.645,23.863,125.848,51.136,67.228,54.293,0.0,23.863,72.248,30.556,83.129,125.848,125.848,44.645,83.129,0.0,51.136,72.248,44.645,72.248,67.228,125.848,44.645,83.129
INST0179_N15_S29_P011,8.581,71.658,61.135,8.581,51.136,32.455,8.581,6.707,29.68,77.018,0.0,71.658,8.581,51.136,29.68,61.135,32.455,74.382,77.018,77.018,6.707,74.382,51.136,0.0,61.135,6.707,61.135,71.658,77.018,6.707,74.382
INST0179_N15_S29_D011,53.679,126.125,0.0,53.679,72.248,80.067,53.679,61.869,55.105,87.998,61.135,126.125,53.679,72.248,55.105,0.0,80.067,13.307,87.998,87.998,61.869,13.307,72.248,61.135,0.0,61.869,0.0,126.125,87.998,61.869,13.307
INST0179_N15_S29_P012,13.324,67.566,61.869,13.324,44.645,26.3,13.324,0.0,24.036,83.656,6.707,67.566,13.324,44.645,24.036,61.869,26.3,75.176,83.656,83.656,0.0,75.176,44.645,6.707,61.869,0.0,61.869,67.566,83.656,0.0,75.176
INST0179_N15_S29_D012,53.679,126.125,0.0,53.679,72.248,80.067,53.679,61.869,55.105,87.998,61.135,126.125,53.679,72.248,55.105,0.0,80.067,13.307,87.998,87.998,61.869,13.307,72.248,61.135,0.0,61.869,0.0,126.125,87.998,61.869,13.307
INST0179_N15_S29_P013,80.145,0.0,126.125,80.145,67.228,46.181,80.145,67.566,72.268,138.993,71.658,0.0,80.145,67.228,72.268,126.125,46.181,139.086,138.993,138.993,67.566,139.086,67.228,71.658,126.125,67.566,126.125,0.0,138.993,67.566,139.086
INST0179_N15_S29_D013,71.877,138.993,87.998,71.877,125.848,108.949,71.877,83.656,102.142,0.0,77.018,138.993,71.877,125.848,102.142,87.998,108.949,94.398,0.0,0.0,83.656,94.398,125.848,77.018,87.998,83.656,87.998,138.993,0.0,83.656,94.398
INST0179_N15_S29_P014,13.324,67.566,61.869,13.324,44.645,26.3,13.324,0.0,24.036,83.656,6.707,67.566,13.324,44.645,24.036,61.869,26.3,75.176,83.656,83.656,0.0,75.176,44.645,6.707,61.869,0.0,61.869,67.566,83.656,0.0,75.176
INST0179_N15_S29_D014,66.815,139.086,13.307,66.815,83.129,92.948,66.815,75.176,67.557,94.398,74.382,139.086,66.815,83.129,67.557,13.307,92.948,0.0,94.398,94.398,75.176,0.0,83.129,74.382,13.307,75.176,13.307,139.086,94.398,75.176,0.0
