,depot,INST0219_N20_N09_P000,INST0219_N20_N09_D000,INST0219_N20_N09_P001,INST0219_N20_N09_D001,INST0219_N20_N09_P002,INST0219_N20_N09_D002,INST0219_N20_N09_P003,INST0219_N20_N09_D003,INST0219_N20_N09_P004,INST0219_N20_N09_D004,INST0219_N20_N09_P005,INST0219_N20_N09_D005,INST0219_N20_N09_P006,INST0219_N20_N09_D006,INST0219_N20_N09_P007,INST0219_N20_N09_D007,INST0219_N20_N09_P008,INST0219_N20_N09_D008,INST0219_N20_N09_P009,INST0219_N20_N09_D009,INST0219_N20_N09_P010,INST0219_N20_N09_D010,INST0219_N20_N09_P011,INST0219_N20_N09_D011,INST0219_N20_N09_P012,INST0219_N20_N09_D012,INST0219_N20_N09_P013,INST0219_N20_N09_D013,INST0219_N20_N09_P014,INST0219_N20_N09_D014,INST0219_N20_N09_P015,INST0219_N20_N09_D015,INST0219_N20_N09_P016,INST0219_N20_N09_D016,INST0219_N20_N09_P017,INST0219_N20_N09_D017,INST0219_N20_N09_P018,INST0219_N20_N09_D018,INST0219_N20_N09_P019,INST0219_N20_N09_D019
depot,0.0,43.657,54.669,0.0,122.582,33.197,35.041,54.669,149.69,35.041,149.69,58.839,99.467,33.197,0.0,56.4,58.839,54.669,0.0,35.041,54.669,33.197,35.041,0.0,41.993,54.669,114.332,56.4,114.332,0.0,43.657,0.0,35.041,54.669,33.197,56.4,58.839,33.197,134.941,54.669,149.69
INST0219_N20_N09_P000,43.657,0.0,33.929,43.657,160.581,22.387,43.511,33.929,114.14,43.511,114.14,49.306,57.966,22.387,43.657,37.312,49.306,33.929,43.657,43.511,33.929,22.387,43.511,43.657,23.01,33.929,101.428,37.312,101.428,43.657,0.0,43.657,43.511,33.929,22.387,37.312,49.306,22.387,175.714,33.929,114.14
INST0219_N20_N09_D000,54.669,33.929,0.0,54.669,177.15,22.322,28.727,0.0,95.867,28.727,95.867,17.072,78.656,22.322,54.669,3.413,17.072,0.0,54.669,28.727,0.0,22.322,28.727,54.669,14.053,0.0,67.88,3.413,67.88,54.669,33.929,54.669,28.727,0.0,22.322,3.413,17.072,22.322,167.44,0.0,95.867
INST0219_N20_N09_P001,0.0,43.657,54.669,0.0,122.582,33.197,35.041,54.669,149.69,35.041,149.69,58.839,99.467,33.197,0.0,56.4,58.839,54.669,0.0,35.041,54.669,33.197,35.041,0.0,41.993,54.669,114.332,56.4,114.332,0.0,43.657,0.0,35.041,54.669,33.197,56.4,58.839,33.197,134.941,54.669,149.69
INST0219_N20_N09_D001,122.582,160.581,177.15,122.582,0.0,155.714,153.452,177.15,272.117,153.452,272.117,178.773,203.198,155.714,122.582,178.677,178.773,177.15,122.582,153.452,177.15,155.714,153.452,122.582,164.529,177.15,229.986,178.677,229.986,122.582,160.581,122.582,153.452,177.15,155.714,178.677,178.773,155.714,125.74,177.15,272.117
INST0219_N20_N09_P002,33.197,22.387,22.322,33.197,155.714,0.0,21.127,22.322,116.493,21.127,116.493,31.992,78.919,0.0,33.197,24.705,31.992,22.322,33.197,21.127,22.322,0.0,21.127,33.197,8.817,22.322,87.893,24.705,87.893,33.197,22.387,33.197,21.127,22.322,0.0,24.705,31.992,0.0,156.702,22.322,116.493
INST0219_N20_N09_D002,35.041,43.511,28.727,35.041,153.452,21.127,0.0,28.727,122.983,0.0,122.983,25.326,99.392,21.127,35.041,28.595,25.326,28.727,35.041,0.0,28.727,21.127,0.0,35.041,24.088,28.727,79.42,28.595,79.42,35.041,43.511,35.041,0.0,28.727,21.127,28.595,25.326,21.127,139.347,28.727,122.983
INST0219_N20_N09_P003,54.669,33.929,0.0,54.669,177.15,22.322,28.727,0.0,95.867,28.727,95.867,17.072,78.656,22.322,54.669,3.413,17.072,0.0,54.669,28.727,0.0,22.322,28.727,54.669,14.053,0.0,67.88,3.413,67.88,54.669,33.929,54.669,28.727,0.0,22.322,3.413,17.072,22.322,167.44,0.0,95.867
INST0219_N20_N09_D003,149.69,114.14,95.867,149.69,272.117,116.493,122.983,95.867,0.0,122.983,0.0,99.415,104.211,116.493,149.69,94.965,99.415,95.867,149.69,122.983,95.867,116.493,122.983,149.69,107.703,95.867,79.694,94.965,79.694,149.69,114.14,149.69,122.983,95.867,116.493,94.965,99.415,116.493,253.32,95.867,0.0
INST0219_N20_N09_P004,35.041,43.511,28.727,35.041,153.452,21.127,0.0,28.727,122.983,0.0,122.983,25.326,99.392,21.127,35.041,28.595,25.326,28.727,35.041,0.0,28.727,21.127,0.0,35.041,24.088,28.727,79.42,28.595,79.42,35.041,43.511,35.041,0.0,28.727,21.127,28.595,25.326,21.127,139.347,28.727,122.983
