,depot,INST0196_N18_W16_P000,INST0196_N18_W16_D000,INST0196_N18_W16_P001,INST0196_N18_W16_D001,INST0196_N18_W16_P002,INST0196_N18_W16_D002,INST0196_N18_W16_P003,INST0196_N18_W16_D003,INST0196_N18_W16_P004,INST0196_N18_W16_D004,INST0196_N18_W16_P005,INST0196_N18_W16_D005,INST0196_N18_W16_P006,INST0196_N18_W16_D006,INST0196_N18_W16_P007,INST0196_N18_W16_D007,INST0196_N18_W16_P008,INST0196_N18_W16_D008,INST0196_N18_W16_P009,INST0196_N18_W16_D009,INST0196_N18_W16_P010,INST0196_N18_W16_D010,INST0196_N18_W16_P011,INST0196_N18_W16_D011,INST0196_N18_W16_P012,INST0196_N18_W16_D012,INST0196_N18_W16_P013,INST0196_N18_W16_D013,INST0196_N18_W16_P014,INST0196_N18_W16_D014,INST0196_N18_W16_P015,INST0196_N18_W16_D015,INST0196_N18_W16_P016,INST0196_N18_W16_D016,INST0196_N18_W16_P017,INST0196_N18_W16_D017
depot,0.0,0.0,109.245,14.077,35.155,41.349,0.0,30.344,96.036,41.092,18.744,14.077,41.092,55.217,41.349,41.349,109.245,41.092,30.344,55.217,41.349,18.744,41.092,55.217,18.744,0.0,20.581,26.872,20.581,20.581,35.155,0.0,30.344,26.872,18.744,30.344,35.155
INST0196_N18_W16_P000,0.0,0.0,109.245,14.077,35.155,41.349,0.0,30.344,96.036,41.092,18.744,14.077,41.092,55.217,41.349,41.349,109.245,41.092,30.344,55.217,41.349,18.744,41.092,55.217,18.744,0.0,20.581,26.872,20.581,20.581,35.155,0.0,30.344,26.872,18.744,30.344,35.155
INST0196_N18_W16_D000,109.245,109.245,0.0,104.062,104.634,71.944,109.245,130.825,14.722,120.757,123.055,104.062,120.757,54.132,71.944,71.944,0.0,120.757,130.825,54.132,71.944,123.055,120.757,54.132,123.055,109.245,93.687,115.807,93.687,93.687,104.634,109.245,130.825,115.807,123.055,130.825,104.634
INST0196_N18_W16_P001,14.077,14.077,104.062,0.0,46.592,32.833,14.077,27.544,90.122,29.954,19.054,0.0,29.954,50.28,32.833,32.833,104.062,29.954,27.544,50.28,32.833,19.054,29.954,50.28,19.054,14.077,10.426,16.791,10.426,10.426,46.592,14.077,27.544,16.791,19.054,27.544,46.592
INST0196_N18_W16_D001,35.155,35.155,104.634,46.592,0.0,55.918,35.155,64.172,94.442,75.918,52.507,46.592,75.918,57.646,55.918,55.918,104.634,75.918,64.172,57.646,55.918,52.507,75.918,57.646,52.507,35.155,46.518,61.821,46.518,46.518,0.0,35.155,64.172,61.821,52.507,64.172,0.0
INST0196_N18_W16_P002,41.349,41.349,71.944,32.833,55.918,0.0,41.349,58.923,57.687,50.611,51.842,32.833,50.611,20.342,0.0,0.0,71.944,50.611,58.923,20.342,0.0,51.842,50.611,20.342,51.842,41.349,22.455,43.952,22.455,22.455,55.918,41.349,58.923,43.952,51.842,58.923,55.918
INST0196_N18_W16_D002,0.0,0.0,109.245,14.077,35.155,41.349,0.0,30.344,96.036,41.092,18.744,14.077,41.092,55.217,41.349,41.349,109.245,41.092,30.344,55.217,41.349,18.744,41.092,55.217,18.744,0.0,20.581,26.872,20.581,20.581,35.155,0.0,30.344,26.872,18.744,30.344,35.155
INST0196_N18_W16_P003,30.344,30.344,130.825,27.544,64.172,58.923,30.344,0.0,116.61,23.199,11.735,27.544,23.199,77.525,58.923,58.923,130.825,23.199,0.0,77.525,58.923,11.735,23.199,77.525,11.735,30.344,37.477,16.399,37.477,37.477,64.172,30.344,0.0,16.399,11.735,0.0,64.172
INST0196_N18_W16_D003,96.036,96.036,14.722,90.122,94.442,57.687,96.036,116.61,0.0,106.091,109.164,90.122,106.091,40.846,57.687,57.687,14.722,106.091,116.61,40.846,57.687,109.164,106.091,40.846,109.164,96.036,79.708,101.402,79.708,79.708,94.442,96.036,116.61,101.402,109.164,116.61,94.442
INST0196_N18_W16_P004,41.092,41.092,120.757,29.954,75.918,50.611,41.092,23.199,106.091,0.0,28.769,29.954,0.0,70.903,50.611,50.611,120.757,0.0,23.199,70.903,50.611,28.769,0.0,70.903,28.769,41.092,35.196,14.239,35.196,35.196,75.918,41.092,23.199,14.239,28.769,23.199,75.918
