,depot,INST0086_N8_S26_P000,INST0086_N8_S26_D000,INST0086_N8_S26_P001,INST0086_N8_S26_D001,INST0086_N8_S26_P002,INST0086_N8_S26_D002,INST0086_N8_S26_P003,INST0086_N8_S26_D003,INST0086_N8_S26_P004,INST0086_N8_S26_D004,INST0086_N8_S26_P005,INST0086_N8_S26_D005,INST0086_N8_S26_P006,INST0086_N8_S26_D006,INST0086_N8_S26_P007,INST0086_N8_S26_D007
depot,0.0,65.388,75.908,32.298,0.0,21.478,112.576,24.954,112.576,21.478,32.298,21.517,88.975,26.505,24.954,37.715,24.954
INST0086_N8_S26_P000,65.388,0.0,10.867,43.838,65.388,50.526,47.206,59.003,47.206,50.526,43.838,45.002,71.865,49.927,59.003,103.002,59.003
INST0086_N8_S26_D000,75.908,10.867,0.0,54.565,75.908,61.394,36.733,67.889,36.733,61.394,54.565,55.171,77.092,60.745,67.889,113.587,67.889
INST0086_N8_S26_P001,32.298,43.838,54.565,0.0,32.298,10.881,89.072,44.339,89.072,10.881,0.0,25.439,58.699,7.008,44.339,65.452,44.339
INST0086_N8_S26_D001,0.0,65.388,75.908,32.298,0.0,21.478,112.576,24.954,112.576,21.478,32.298,21.517,88.975,26.505,24.954,37.715,24.954
INST0086_N8_S26_P002,21.478,50.526,61.394,10.881,21.478,0.0,97.061,36.46,97.061,0.0,10.881,19.629,68.319,5.477,36.46,55.179,36.46
INST0086_N8_S26_D002,112.576,47.206,36.733,89.072,112.576,97.061,0.0,103.829,0.0,97.061,89.072,91.902,93.449,95.708,103.829,150.208,103.829
INST0086_N8_S26_P003,24.954,59.003,67.889,44.339,24.954,36.46,103.829,0.0,103.829,36.46,44.339,19.488,102.776,41.761,0.0,54.903,0.0
INST0086_N8_S26_D003,112.576,47.206,36.733,89.072,112.576,97.061,0.0,103.829,0.0,97.061,89.072,91.902,93.449,95.708,103.829,150.208,103.829
INST0086_N8_S26_P004,21.478,50.526,61.394,10.881,21.478,0.0,97.061,36.46,97.061,0.0,10.881,19.629,68.319,5.477,36.46,55.179,36.46
INST0086_N8_S26_D004,32.298,43.838,54.565,0.0,32.298,10.881,89.072,44.339,89.072,10.881,0.0,25.439,58.699,7.008,44.339,65.452,44.339
INST0086_N8_S26_P005,21.517,45.002,55.171,25.439,21.517,19.629,91.902,19.488,91.902,19.629,25.439,0.0,83.416,24.239,19.488,59.019,19.488
INST0086_N8_S26_D005,88.975,71.865,77.092,58.699,88.975,68.319,93.449,102.776,93.449,68.319,58.699,83.416,0.0,62.898,102.776,113.511,102.776
INST0086_N8_S26_P006,26.505,49.927,60.745,7.008,26.505,5.477,95.708,41.761,95.708,5.477,7.008,24.239,62.898,0.0,41.761,58.521,41.761
INST0086_N8_S26_D006,24.954,59.003,67.889,44.339,24.954,36.46,103.829,0.0,103.829,36.46,44.339,19.488,102.776,41.761,0.0,54.903,0.0
INST0086_N8_S26_P007,37.715,103.002,113.587,65.452,37.715,55.179,150.208,54.903,150.208,55.179,65.452,59.019,113.511,58.521,54.903,0.0,54.903
INST0086_N8_S26_D007,24.954,59.003,67.889,44.339,24.954,36.46,103.829,0.0,103.829,36.46,44.339,19.488,102.776,41.761,0.0,54.903,0.0
