,depot,INST0233_N20_S23_P000,INST0233_N20_S23_D000,INST0233_N20_S23_P001,INST0233_N20_S23_D001,INST0233_N20_S23_P002,INST0233_N20_S23_D002,INST0233_N20_S23_P003,INST0233_N20_S23_D003,INST0233_N20_S23_P004,INST0233_N20_S23_D004,INST0233_N20_S23_P005,INST0233_N20_S23_D005,INST0233_N20_S23_P006,INST0233_N20_S23_D006,INST0233_N20_S23_P007,INST0233_N20_S23_D007,INST0233_N20_S23_P008,INST0233_N20_S23_D008,INST0233_N20_S23_P009,INST0233_N20_S23_D009,INST0233_N20_S23_P010,INST0233_N20_S23_D010,INST0233_N20_S23_P011,INST0233_N20_S23_D011,INST0233_N20_S23_P012,INST0233_N20_S23_D012,INST0233_N20_S23_P013,INST0233_N20_S23_D013,INST0233_N20_S23_P014,INST0233_N20_S23_D014,INST0233_N20_S23_P015,INST0233_N20_S23_D015,INST0233_N20_S23_P016,INST0233_N20_S23_D016,INST0233_N20_S23_P017,INST0233_N20_S23_D017,INST0233_N20_S23_P018,INST0233_N20_S23_D018,INST0233_N20_S23_P019,INST0233_N20_S23_D019
depot,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_P000,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_D000,74.382,74.382,0.0,0.0,74.382,75.176,44.98,0.0,66.815,13.307,74.382,13.307,75.176,92.948,74.382,74.382,67.557,74.382,92.948,74.382,83.129,83.129,75.176,67.557,94.398,67.557,94.398,75.176,67.557,83.129,13.307,139.086,83.129,83.129,94.398,139.086,74.382,0.0,67.557,75.176,44.98
INST0233_N20_S23_P001,74.382,74.382,0.0,0.0,74.382,75.176,44.98,0.0,66.815,13.307,74.382,13.307,75.176,92.948,74.382,74.382,67.557,74.382,92.948,74.382,83.129,83.129,75.176,67.557,94.398,67.557,94.398,75.176,67.557,83.129,13.307,139.086,83.129,83.129,94.398,139.086,74.382,0.0,67.557,75.176,44.98
INST0233_N20_S23_D001,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_P002,6.707,6.707,75.176,75.176,6.707,0.0,118.85,75.176,13.324,61.869,6.707,61.869,0.0,26.3,6.707,6.707,24.036,6.707,26.3,6.707,44.645,44.645,0.0,24.036,83.656,24.036,83.656,0.0,24.036,44.645,61.869,67.566,44.645,44.645,83.656,67.566,6.707,75.176,24.036,0.0,118.85
INST0233_N20_S23_D002,117.194,117.194,44.98,44.98,117.194,118.85,0.0,44.98,109.068,57.803,117.194,57.803,118.85,137.848,117.194,117.194,112.533,117.194,137.848,117.194,127.137,127.137,118.85,112.533,114.428,112.533,114.428,118.85,112.533,127.137,57.803,183.928,127.137,127.137,114.428,183.928,117.194,44.98,112.533,118.85,0.0
INST0233_N20_S23_P003,74.382,74.382,0.0,0.0,74.382,75.176,44.98,0.0,66.815,13.307,74.382,13.307,75.176,92.948,74.382,74.382,67.557,74.382,92.948,74.382,83.129,83.129,75.176,67.557,94.398,67.557,94.398,75.176,67.557,83.129,13.307,139.086,83.129,83.129,94.398,139.086,74.382,0.0,67.557,75.176,44.98
INST0233_N20_S23_D003,8.581,8.581,66.815,66.815,8.581,13.324,109.068,66.815,0.0,53.679,8.581,53.679,13.324,39.549,8.581,8.581,31.149,8.581,39.549,8.581,54.293,54.293,13.324,31.149,71.877,31.149,71.877,13.324,31.149,54.293,53.679,80.145,54.293,54.293,71.877,80.145,8.581,66.815,31.149,13.324,109.068
INST0233_N20_S23_P004,61.135,61.135,13.307,13.307,61.135,61.869,57.803,13.307,53.679,0.0,61.135,0.0,61.869,80.067,61.135,61.135,55.105,61.135,80.067,61.135,72.248,72.248,61.869,55.105,87.998,55.105,87.998,61.869,55.105,72.248,0.0,126.125,72.248,72.248,87.998,126.125,61.135,13.307,55.105,61.869,57.803
INST0233_N20_S23_D004,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_P005,61.135,61.135,13.307,13.307,61.135,61.869,57.803,13.307,53.679,0.0,61.135,0.0,61.869,80.067,61.135,61.135,55.105,61.135,80.067,61.135,72.248,72.248,61.869,55.105,87.998,55.105,87.998,61.869,55.105,72.248,0.0,126.125,72.248,72.248,87.998,126.125,61.135,13.307,55.105,61.869,57.803
INST0233_N20_S23_D005,6.707,6.707,75.176,75.176,6.707,0.0,118.85,75.176,13.324,61.869,6.707,61.869,0.0,26.3,6.707,6.707,24.036,6.707,26.3,6.707,44.645,44.645,0.0,24.036,83.656,24.036,83.656,0.0,24.036,44.645,61.869,67.566,44.645,44.645,83.656,67.566,6.707,75.176,24.036,0.0,118.85
INST0233_N20_S23_P006,32.455,32.455,92.948,92.948,32.455,26.3,137.848,92.948,39.549,80.067,32.455,80.067,26.3,0.0,32.455,32.455,26.348,32.455,0.0,32.455,30.556,30.556,26.3,26.348,108.949,26.348,108.949,26.3,26.348,30.556,80.067,46.181,30.556,30.556,108.949,46.181,32.455,92.948,26.348,26.3,137.848
INST0233_N20_S23_D006,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_P007,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_D007,29.68,29.68,67.557,67.557,29.68,24.036,112.533,67.557,31.149,55.105,29.68,55.105,24.036,26.348,29.68,29.68,0.0,29.68,26.348,29.68,23.863,23.863,24.036,0.0,102.142,0.0,102.142,24.036,0.0,23.863,55.105,72.268,23.863,23.863,102.142,72.268,29.68,67.557,0.0,24.036,112.533
INST0233_N20_S23_P008,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_D008,32.455,32.455,92.948,92.948,32.455,26.3,137.848,92.948,39.549,80.067,32.455,80.067,26.3,0.0,32.455,32.455,26.348,32.455,0.0,32.455,30.556,30.556,26.3,26.348,108.949,26.348,108.949,26.3,26.348,30.556,80.067,46.181,30.556,30.556,108.949,46.181,32.455,92.948,26.348,26.3,137.848
INST0233_N20_S23_P009,0.0,0.0,74.382,74.382,0.0,6.707,117.194,74.382,8.581,61.135,0.0,61.135,6.707,32.455,0.0,0.0,29.68,0.0,32.455,0.0,51.136,51.136,6.707,29.68,77.018,29.68,77.018,6.707,29.68,51.136,61.135,71.658,51.136,51.136,77.018,71.658,0.0,74.382,29.68,6.707,117.194
INST0233_N20_S23_D009,51.136,51.136,83.129,83.129,51.136,44.645,127.137,83.129,54.293,72.248,51.136,72.248,44.645,30.556,51.136,51.136,23.863,51.136,30.556,51.136,0.0,0.0,44.645,23.863,125.848,23.863,125.848,44.645,23.863,0.0,72.248,67.228,0.0,0.0,125.848,67.228,51.136,83.129,23.863,44.645,127.137
INST0233_N20_S23_P010,51.136,51.136,83.129,83.129,51.136,44.645,127.137,83.129,54.293,72.248,51.136,72.248,44.645,30.556,51.136,51.136,23.863,51.136,30.556,51.136,0.0,0.0,44.645,23.863,125.848,23.863,125.848,44.645,23.863,0.0,72.248,67.228,0.0,0.0,125.848,67.228,51.136,83.129,23.863,44.645,127.137
