,depot,INST0117_N10_N27_P000,INST0117_N10_N27_D000,INST0117_N10_N27_P001,INST0117_N10_N27_D001,INST0117_N10_N27_P002,INST0117_N10_N27_D002,INST0117_N10_N27_P003,INST0117_N10_N27_D003,INST0117_N10_N27_P004,INST0117_N10_N27_D004,INST0117_N10_N27_P005,INST0117_N10_N27_D005,INST0117_N10_N27_P006,INST0117_N10_N27_D006,INST0117_N10_N27_P007,INST0117_N10_N27_D007,INST0117_N10_N27_P008,INST0117_N10_N27_D008,INST0117_N10_N27_P009,INST0117_N10_N27_D009
depot,0.0,22.387,33.929,33.929,149.729,23.01,49.306,0.0,43.657,43.657,23.01,57.966,37.312,33.929,0.0,57.966,0.0,43.657,114.14,37.312,43.511
INST0117_N10_N27_P000,22.387,0.0,22.322,22.322,154.717,8.817,31.992,22.387,33.197,33.197,8.817,78.919,24.705,22.322,22.387,78.919,22.387,33.197,116.493,24.705,21.127
INST0117_N10_N27_D000,33.929,22.322,0.0,0.0,134.948,14.053,17.072,33.929,54.669,54.669,14.053,78.656,3.413,0.0,33.929,78.656,33.929,54.669,95.867,3.413,28.727
INST0117_N10_N27_P001,33.929,22.322,0.0,0.0,134.948,14.053,17.072,33.929,54.669,54.669,14.053,78.656,3.413,0.0,33.929,78.656,33.929,54.669,95.867,3.413,28.727
INST0117_N10_N27_D001,149.729,154.717,134.948,134.948,0.0,146.035,139.481,149.729,187.802,187.802,146.035,127.812,134.313,134.948,149.729,127.812,149.729,187.802,40.266,134.313,162.63
INST0117_N10_N27_P002,23.01,8.817,14.053,14.053,146.035,0.0,26.694,23.01,41.993,41.993,0.0,75.654,16.848,14.053,23.01,75.654,23.01,41.993,107.703,16.848,24.088
INST0117_N10_N27_D002,49.306,31.992,17.072,17.072,139.481,26.694,0.0,49.306,58.839,58.839,26.694,95.498,14.003,17.072,49.306,95.498,49.306,58.839,99.415,14.003,25.326
INST0117_N10_N27_P003,0.0,22.387,33.929,33.929,149.729,23.01,49.306,0.0,43.657,43.657,23.01,57.966,37.312,33.929,0.0,57.966,0.0,43.657,114.14,37.312,43.511
INST0117_N10_N27_D003,43.657,33.197,54.669,54.669,187.802,41.993,58.839,43.657,0.0,0.0,41.993,99.467,56.4,54.669,43.657,99.467,43.657,0.0,149.69,56.4,35.041
INST0117_N10_N27_P004,43.657,33.197,54.669,54.669,187.802,41.993,58.839,43.657,0.0,0.0,41.993,99.467,56.4,54.669,43.657,99.467,43.657,0.0,149.69,56.4,35.041
INST0117_N10_N27_D004,23.01,8.817,14.053,14.053,146.035,0.0,26.694,23.01,41.993,41.993,0.0,75.654,16.848,14.053,23.01,75.654,23.01,41.993,107.703,16.848,24.088
INST0117_N10_N27_P005,57.966,78.919,78.656,78.656,127.812,75.654,95.498,57.966,99.467,99.467,75.654,0.0,81.517,78.656,57.966,0.0,57.966,99.467,104.211,81.517,99.392
INST0117_N10_N27_D005,37.312,24.705,3.413,3.413,134.313,16.848,14.003,37.312,56.4,56.4,16.848,81.517,0.0,3.413,37.312,81.517,37.312,56.4,94.965,0.0,28.595
INST0117_N10_N27_P006,33.929,22.322,0.0,0.0,134.948,14.053,17.072,33.929,54.669,54.669,14.053,78.656,3.413,0.0,33.929,78.656,33.929,54.669,95.867,3.413,28.727
INST0117_N10_N27_D006,0.0,22.387,33.929,33.929,149.729,23.01,49.306,0.0,43.657,43.657,23.01,57.966,37.312,33.929,0.0,57.966,0.0,43.657,114.14,37.312,43.511
INST0117_N10_N27_P007,57.966,78.919,78.656,78.656,127.812,75.654,95.498,57.966,99.467,99.467,75.654,0.0,81.517,78.656,57.966,0.0,57.966,99.467,104.211,81.517,99.392
INST0117_N10_N27_D007,0.0,22.387,33.929,33.929,149.729,23.01,49.306,0.0,43.657,43.657,23.01,57.966,37.312,33.929,0.0,57.966,0.0,43.657,114.14,37.312,43.511
INST0117_N10_N27_P008,43.657,33.197,54.669,54.669,187.802,41.993,58.839,43.657,0.0,0.0,41.993,99.467,56.4,54.669,43.657,99.467,43.657,0.0,149.69,56.4,35.041
INST0117_N10_N27_D008,114.14,116.493,95.867,95.867,40.266,107.703,99.415,114.14,149.69,149.69,107.703,104.211,94.965,95.867,114.14,104.211,114.14,149.69,0.0,94.965,122.983
INST0117_N10_N27_P009,37.312,24.705,3.413,3.413,134.313,16.848,14.003,37.312,56.4,56.4,16.848,81.517,0.0,3.413,37.312,81.517,37.312,56.4,94.965,0.0,28.595
INST0117_N10_N27_D009,43.511,21.127,28.727,28.727,162.63,24.088,25.326,43.511,35.041,35.041,24.088,99.392,28.595,28.727,43.511,99.392,43.511,35.041,122.983,28.595,0.0
