,depot,INST0041_N5_S11_P000,INST0041_N5_S11_D000,INST0041_N5_S11_P001,INST0041_N5_S11_D001,INST0041_N5_S11_P002,INST0041_N5_S11_D002,INST0041_N5_S11_P003,INST0041_N5_S11_D003,INST0041_N5_S11_P004,INST0041_N5_S11_D004
depot,0.0,75.908,37.715,26.505,145.321,0.0,32.298,75.908,65.388,21.517,32.298
INST0041_N5_S11_P000,75.908,0.0,113.587,60.745,69.589,75.908,54.565,0.0,10.867,55.171,54.565
INST0041_N5_S11_D000,37.715,113.587,0.0,58.521,183.035,37.715,65.452,113.587,103.002,59.019,65.452
INST0041_N5_S11_P001,26.505,60.745,58.521,0.0,129.526,26.505,7.008,60.745,49.927,24.239,7.008
INST0041_N5_S11_D001,145.321,69.589,183.035,129.526,0.0,145.321,122.952,69.589,80.368,124.222,122.952
INST0041_N5_S11_P002,0.0,75.908,37.715,26.505,145.321,0.0,32.298,75.908,65.388,21.517,32.298
INST0041_N5_S11_D002,32.298,54.565,65.452,7.008,122.952,32.298,0.0,54.565,43.838,25.439,0.0
INST0041_N5_S11_P003,75.908,0.0,113.587,60.745,69.589,75.908,54.565,0.0,10.867,55.171,54.565
INST0041_N5_S11_D003,65.388,10.867,103.002,49.927,80.368,65.388,43.838,10.867,0.0,45.002,43.838
INST0041_N5_S11_P004,21.517,55.171,59.019,24.239,124.222,21.517,25.439,55.171,45.002,0.0,25.439
INST0041_N5_S11_D004,32.298,54.565,65.452,7.008,122.952,32.298,0.0,54.565,43.838,25.439,0.0
