,depot,INST0062_N8_S02_P000,INST0062_N8_S02_D000,INST0062_N8_S02_P001,INST0062_N8_S02_D001,INST0062_N8_S02_P002,INST0062_N8_S02_D002,INST0062_N8_S02_P003,INST0062_N8_S02_D003,INST0062_N8_S02_P004,INST0062_N8_S02_D004,INST0062_N8_S02_P005,INST0062_N8_S02_D005,INST0062_N8_S02_P006,INST0062_N8_S02_D006,INST0062_N8_S02_P007,INST0062_N8_S02_D007
depot,0.0,19.629,25.439,45.002,83.416,25.439,91.902,59.019,45.002,55.171,45.002,0.0,83.416,55.171,45.002,0.0,124.222
INST0062_N8_S02_P000,19.629,0.0,10.881,50.526,68.319,10.881,97.061,55.179,50.526,61.394,50.526,19.629,68.319,61.394,50.526,19.629,130.689
INST0062_N8_S02_D000,25.439,10.881,0.0,43.838,58.699,0.0,89.072,65.452,43.838,54.565,43.838,25.439,58.699,54.565,43.838,25.439,122.952
INST0062_N8_S02_P001,45.002,50.526,43.838,0.0,71.865,43.838,47.206,103.002,0.0,10.867,0.0,45.002,71.865,10.867,0.0,45.002,80.368
INST0062_N8_S02_D001,83.416,68.319,58.699,71.865,0.0,58.699,93.449,113.511,71.865,77.092,71.865,83.416,0.0,77.092,71.865,83.416,123.443
INST0062_N8_S02_P002,25.439,10.881,0.0,43.838,58.699,0.0,89.072,65.452,43.838,54.565,43.838,25.439,58.699,54.565,43.838,25.439,122.952
INST0062_N8_S02_D002,91.902,97.061,89.072,47.206,93.449,89.072,0.0,150.208,47.206,36.733,47.206,91.902,93.449,36.733,47.206,91.902,33.969
INST0062_N8_S02_P003,59.019,55.179,65.452,103.002,113.511,65.452,150.208,0.0,103.002,113.587,103.002,59.019,113.511,113.587,103.002,59.019,183.035
INST0062_N8_S02_D003,45.002,50.526,43.838,0.0,71.865,43.838,47.206,103.002,0.0,10.867,0.0,45.002,71.865,10.867,0.0,45.002,80.368
INST0062_N8_S02_P004,55.171,61.394,54.565,10.867,77.092,54.565,36.733,113.587,10.867,0.0,10.867,55.171,77.092,0.0,10.867,55.171,69.589
INST0062_N8_S02_D004,45.002,50.526,43.838,0.0,71.865,43.838,47.206,103.002,0.0,10.867,0.0,45.002,71.865,10.867,0.0,45.002,80.368
INST0062_N8_S02_P005,0.0,19.629,25.439,45.002,83.416,25.439,91.902,59.019,45.002,55.171,45.002,0.0,83.416,55.171,45.002,0.0,124.222
INST0062_N8_S02_D005,83.416,68.319,58.699,71.865,0.0,58.699,93.449,113.511,71.865,77.092,71.865,83.416,0.0,77.092,71.865,83.416,123.443
INST0062_N8_S02_P006,55.171,61.394,54.565,10.867,77.092,54.565,36.733,113.587,10.867,0.0,10.867,55.171,77.092,0.0,10.867,55.171,69.589
INST0062_N8_S02_D006,45.002,50.526,43.838,0.0,71.865,43.838,47.206,103.002,0.0,10.867,0.0,45.002,71.865,10.867,0.0,45.002,80.368
INST0062_N8_S02_P007,0.0,19.629,25.439,45.002,83.416,25.439,91.902,59.019,45.002,55.171,45.002,0.0,83.416,55.171,45.002,0.0,124.222
INST0062_N8_S02_D007,124.222,130.689,122.952,80.368,123.443,122.952,33.969,183.035,80.368,69.589,80.368,124.222,123.443,69.589,80.368,124.222,0.0
