,depot,INST0058_N5_W28_P000,INST0058_N5_W28_D000,INST0058_N5_W28_P001,INST0058_N5_W28_D001,INST0058_N5_W28_P002,INST0058_N5_W28_D002,INST0058_N5_W28_P003,INST0058_N5_W28_D003,INST0058_N5_W28_P004,INST0058_N5_W28_D004
depot,0.0,0.0,129.907,18.026,110.354,70.637,18.026,50.015,142.787,97.602,70.637
INST0058_N5_W28_P000,0.0,0.0,129.907,18.026,110.354,70.637,18.026,50.015,142.787,97.602,70.637
INST0058_N5_W28_D000,129.907,129.907,0.0,147.866,36.679,61.972,147.866,86.82,28.407,43.098,61.972
INST0058_N5_W28_P001,18.026,18.026,147.866,0.0,127.423,88.095,0.0,66.284,160.194,114.719,88.095
INST0058_N5_W28_D001,110.354,110.354,36.679,127.423,0.0,40.204,127.423,61.567,33.728,12.767,40.204
INST0058_N5_W28_P002,70.637,70.637,61.972,88.095,40.204,0.0,88.095,24.909,72.151,27.496,0.0
INST0058_N5_W28_D002,18.026,18.026,147.866,0.0,127.423,88.095,0.0,66.284,160.194,114.719,88.095
INST0058_N5_W28_P003,50.015,50.015,86.82,66.284,61.567,24.909,66.284,0.0,94.929,49.056,24.909
INST0058_N5_W28_D003,142.787,142.787,28.407,160.194,33.728,72.151,160.194,94.929,0.0,45.89,72.151
INST0058_N5_W28_P004,97.602,97.602,43.098,114.719,12.767,27.496,114.719,49.056,45.89,0.0,27.496
INST0058_N5_W28_D004,70.637,70.637,61.972,88.095,40.204,0.0,88.095,24.909,72.151,27.496,0.0
