,depot,INST0045_N5_N15_P000,INST0045_N5_N15_D000,INST0045_N5_N15_P001,INST0045_N5_N15_D001,INST0045_N5_N15_P002,INST0045_N5_N15_D002,INST0045_N5_N15_P003,INST0045_N5_N15_D003,INST0045_N5_N15_P004,INST0045_N5_N15_D004
depot,0.0,11.477,21.8,21.8,132.823,19.671,134.365,19.671,132.823,0.0,18.791
INST0045_N5_N15_P000,11.477,0.0,13.942,13.942,136.742,23.461,144.673,23.461,136.742,11.477,27.709
INST0045_N5_N15_D000,21.8,13.942,0.0,0.0,128.231,20.683,145.998,20.683,128.231,21.8,40.266
INST0045_N5_N15_P001,21.8,13.942,0.0,0.0,128.231,20.683,145.998,20.683,128.231,21.8,40.266
INST0045_N5_N15_D001,132.823,136.742,128.231,128.231,0.0,113.8,102.687,113.8,0.0,132.823,143.5
INST0045_N5_N15_P002,19.671,23.461,20.683,20.683,113.8,0.0,125.319,0.0,113.8,19.671,35.534
INST0045_N5_N15_D002,134.365,144.673,145.998,145.998,102.687,125.319,0.0,125.319,102.687,134.365,131.141
INST0045_N5_N15_P003,19.671,23.461,20.683,20.683,113.8,0.0,125.319,0.0,113.8,19.671,35.534
INST0045_N5_N15_D003,132.823,136.742,128.231,128.231,0.0,113.8,102.687,113.8,0.0,132.823,143.5
INST0045_N5_N15_P004,0.0,11.477,21.8,21.8,132.823,19.671,134.365,19.671,132.823,0.0,18.791
INST0045_N5_N15_D004,18.791,27.709,40.266,40.266,143.5,35.534,131.141,35.534,143.5,18.791,0.0
