,depot,INST0212_N20_S02_P000,INST0212_N20_S02_D000,INST0212_N20_S02_P001,INST0212_N20_S02_D001,INST0212_N20_S02_P002,INST0212_N20_S02_D002,INST0212_N20_S02_P003,INST0212_N20_S02_D003,INST0212_N20_S02_P004,INST0212_N20_S02_D004,INST0212_N20_S02_P005,INST0212_N20_S02_D005,INST0212_N20_S02_P006,INST0212_N20_S02_D006,INST0212_N20_S02_P007,INST0212_N20_S02_D007,INST0212_N20_S02_P008,INST0212_N20_S02_D008,INST0212_N20_S02_P009,INST0212_N20_S02_D009,INST0212_N20_S02_P010,INST0212_N20_S02_D010,INST0212_N20_S02_P011,INST0212_N20_S02_D011,INST0212_N20_S02_P012,INST0212_N20_S02_D012,INST0212_N20_S02_P013,INST0212_N20_S02_D013,INST0212_N20_S02_P014,INST0212_N20_S02_D014,INST0212_N20_S02_P015,INST0212_N20_S02_D015,INST0212_N20_S02_P016,INST0212_N20_S02_D016,INST0212_N20_S02_P017,INST0212_N20_S02_D017,INST0212_N20_S02_P018,INST0212_N20_S02_D018,INST0212_N20_S02_P019,INST0212_N20_S02_D019
depot,0.0,26.348,23.863,67.557,29.68,31.149,26.348,23.863,29.68,24.036,67.557,24.036,72.268,26.348,23.863,31.149,72.268,72.268,31.149,23.863,24.036,29.68,67.557,55.105,67.557,55.105,24.036,29.68,152.108,24.036,0.0,29.68,152.108,0.0,31.149,26.348,112.533,23.863,24.036,23.863,102.142
INST0212_N20_S02_P000,26.348,0.0,30.556,92.948,32.455,39.549,0.0,30.556,32.455,26.3,92.948,26.3,46.181,0.0,30.556,39.549,46.181,46.181,39.549,30.556,26.3,32.455,92.948,80.067,92.948,80.067,26.3,32.455,177.944,26.3,26.348,32.455,177.944,26.348,39.549,0.0,137.848,30.556,26.3,30.556,108.949
INST0212_N20_S02_D000,23.863,30.556,0.0,83.129,51.136,54.293,30.556,0.0,51.136,44.645,83.129,44.645,67.228,30.556,0.0,54.293,67.228,67.228,54.293,0.0,44.645,51.136,83.129,72.248,83.129,72.248,44.645,51.136,164.482,44.645,23.863,51.136,164.482,23.863,54.293,30.556,127.137,0.0,44.645,0.0,125.848
INST0212_N20_S02_P001,67.557,92.948,83.129,0.0,74.382,66.815,92.948,83.129,74.382,75.176,0.0,75.176,139.086,92.948,83.129,66.815,139.086,139.086,66.815,83.129,75.176,74.382,0.0,13.307,0.0,13.307,75.176,74.382,85.211,75.176,67.557,74.382,85.211,67.557,66.815,92.948,44.98,83.129,75.176,83.129,94.398
INST0212_N20_S02_D001,29.68,32.455,51.136,74.382,0.0,8.581,32.455,51.136,0.0,6.707,74.382,6.707,71.658,32.455,51.136,8.581,71.658,71.658,8.581,51.136,6.707,0.0,74.382,61.135,74.382,61.135,6.707,0.0,158.604,6.707,29.68,0.0,158.604,29.68,8.581,32.455,117.194,51.136,6.707,51.136,77.018
INST0212_N20_S02_P002,31.149,39.549,54.293,66.815,8.581,0.0,39.549,54.293,8.581,13.324,66.815,13.324,80.145,39.549,54.293,0.0,80.145,80.145,0.0,54.293,13.324,8.581,66.815,53.679,66.815,53.679,13.324,8.581,150.553,13.324,31.149,8.581,150.553,31.149,0.0,39.549,109.068,54.293,13.324,54.293,71.877
INST0212_N20_S02_D002,26.348,0.0,30.556,92.948,32.455,39.549,0.0,30.556,32.455,26.3,92.948,26.3,46.181,0.0,30.556,39.549,46.181,46.181,39.549,30.556,26.3,32.455,92.948,80.067,92.948,80.067,26.3,32.455,177.944,26.3,26.348,32.455,177.944,26.348,39.549,0.0,137.848,30.556,26.3,30.556,108.949
INST0212_N20_S02_P003,23.863,30.556,0.0,83.129,51.136,54.293,30.556,0.0,51.136,44.645,83.129,44.645,67.228,30.556,0.0,54.293,67.228,67.228,54.293,0.0,44.645,51.136,83.129,72.248,83.129,72.248,44.645,51.136,164.482,44.645,23.863,51.136,164.482,23.863,54.293,30.556,127.137,0.0,44.645,0.0,125.848
INST0212_N20_S02_D003,29.68,32.455,51.136,74.382,0.0,8.581,32.455,51.136,0.0,6.707,74.382,6.707,71.658,32.455,51.136,8.581,71.658,71.658,8.581,51.136,6.707,0.0,74.382,61.135,74.382,61.135,6.707,0.0,158.604,6.707,29.68,0.0,158.604,29.68,8.581,32.455,117.194,51.136,6.707,51.136,77.018
INST0212_N20_S02_P004,24.036,26.3,44.645,75.176,6.707,13.324,26.3,44.645,6.707,0.0,75.176,0.0,67.566,26.3,44.645,13.324,67.566,67.566,13.324,44.645,0.0,6.707,75.176,61.869,75.176,61.869,0.0,6.707,160.028,0.0,24.036,6.707,160.028,24.036,13.324,26.3,118.85,44.645,0.0,44.645,83.656
INST0212_N20_S02_D004,67.557,92.948,83.129,0.0,74.382,66.815,92.948,83.129,74.382,75.176,0.0,75.176,139.086,92.948,83.129,66.815,139.086,139.086,66.815,83.129,75.176,74.382,0.0,13.307,0.0,13.307,75.176,74.382,85.211,75.176,67.557,74.382,85.211,67.557,66.815,92.948,44.98,83.129,75.176,83.129,94.398
INST0212_N20_S02_P005,24.036,26.3,44.645,75.176,6.707,13.324,26.3,44.645,6.707,0.0,75.176,0.0,67.566,26.3,44.645,13.324,67.566,67.566,13.324,44.645,0.0,6.707,75.176,61.869,75.176,61.869,0.0,6.707,160.028,0.0,24.036,6.707,160.028,24.036,13.324,26.3,118.85,44.645,0.0,44.645,83.656
INST0212_N20_S02_D005,72.268,46.181,67.228,139.086,71.658,80.145,46.181,67.228,71.658,67.566,139.086,67.566,0.0,46.181,67.228,80.145,0.0,0.0,80.145,67.228,67.566,71.658,139.086,126.125,139.086,126.125,67.566,71.658,224.124,67.566,72.268,71.658,224.124,72.268,80.145,46.181,183.928,67.228,67.566,67.228,138.993
INST0212_N20_S02_P006,26.348,0.0,30.556,92.948,32.455,39.549,0.0,30.556,32.455,26.3,92.948,26.3,46.181,0.0,30.556,39.549,46.181,46.181,39.549,30.556,26.3,32.455,92.948,80.067,92.948,80.067,26.3,32.455,177.944,26.3,26.348,32.455,177.944,26.348,39.549,0.0,137.848,30.556,26.3,30.556,108.949
