,depot,INST0146_N12_S26_P000,INST0146_N12_S26_D000,INST0146_N12_S26_P001,INST0146_N12_S26_D001,INST0146_N12_S26_P002,INST0146_N12_S26_D002,INST0146_N12_S26_P003,INST0146_N12_S26_D003,INST0146_N12_S26_P004,INST0146_N12_S26_D004,INST0146_N12_S26_P005,INST0146_N12_S26_D005,INST0146_N12_S26_P006,INST0146_N12_S26_D006,INST0146_N12_S26_P007,INST0146_N12_S26_D007,INST0146_N12_S26_P008,INST0146_N12_S26_D008,INST0146_N12_S26_P009,INST0146_N12_S26_D009,INST0146_N12_S26_P010,INST0146_N12_S26_D010,INST0146_N12_S26_P011,INST0146_N12_S26_D011
depot,0.0,65.388,37.715,32.298,88.975,24.954,0.0,24.954,75.908,65.388,112.576,37.715,88.975,21.517,32.298,21.478,24.954,32.298,145.321,21.517,112.576,37.715,0.0,65.388,26.505
INST0146_N12_S26_P000,65.388,0.0,103.002,43.838,71.865,59.003,65.388,59.003,10.867,0.0,47.206,103.002,71.865,45.002,43.838,50.526,59.003,43.838,80.368,45.002,47.206,103.002,65.388,0.0,49.927
INST0146_N12_S26_D000,37.715,103.002,0.0,65.452,113.511,54.903,37.715,54.903,113.587,103.002,150.208,0.0,113.511,59.019,65.452,55.179,54.903,65.452,183.035,59.019,150.208,0.0,37.715,103.002,58.521
INST0146_N12_S26_P001,32.298,43.838,65.452,0.0,58.699,44.339,32.298,44.339,54.565,43.838,89.072,65.452,58.699,25.439,0.0,10.881,44.339,0.0,122.952,25.439,89.072,65.452,32.298,43.838,7.008
INST0146_N12_S26_D001,88.975,71.865,113.511,58.699,0.0,102.776,88.975,102.776,77.092,71.865,93.449,113.511,0.0,83.416,58.699,68.319,102.776,58.699,123.443,83.416,93.449,113.511,88.975,71.865,62.898
INST0146_N12_S26_P002,24.954,59.003,54.903,44.339,102.776,0.0,24.954,0.0,67.889,59.003,103.829,54.903,102.776,19.488,44.339,36.46,0.0,44.339,134.327,19.488,103.829,54.903,24.954,59.003,41.761
INST0146_N12_S26_D002,0.0,65.388,37.715,32.298,88.975,24.954,0.0,24.954,75.908,65.388,112.576,37.715,88.975,21.517,32.298,21.478,24.954,32.298,145.321,21.517,112.576,37.715,0.0,65.388,26.505
INST0146_N12_S26_P003,24.954,59.003,54.903,44.339,102.776,0.0,24.954,0.0,67.889,59.003,103.829,54.903,102.776,19.488,44.339,36.46,0.0,44.339,134.327,19.488,103.829,54.903,24.954,59.003,41.761
INST0146_N12_S26_D003,75.908,10.867,113.587,54.565,77.092,67.889,75.908,67.889,0.0,10.867,36.733,113.587,77.092,55.171,54.565,61.394,67.889,54.565,69.589,55.171,36.733,113.587,75.908,10.867,60.745
INST0146_N12_S26_P004,65.388,0.0,103.002,43.838,71.865,59.003,65.388,59.003,10.867,0.0,47.206,103.002,71.865,45.002,43.838,50.526,59.003,43.838,80.368,45.002,47.206,103.002,65.388,0.0,49.927
