,depot,INST0187_N18_W07_P000,INST0187_N18_W07_D000,INST0187_N18_W07_P001,INST0187_N18_W07_D001,INST0187_N18_W07_P002,INST0187_N18_W07_D002,INST0187_N18_W07_P003,INST0187_N18_W07_D003,INST0187_N18_W07_P004,INST0187_N18_W07_D004,INST0187_N18_W07_P005,INST0187_N18_W07_D005,INST0187_N18_W07_P006,INST0187_N18_W07_D006,INST0187_N18_W07_P007,INST0187_N18_W07_D007,INST0187_N18_W07_P008,INST0187_N18_W07_D008,INST0187_N18_W07_P009,INST0187_N18_W07_D009,INST0187_N18_W07_P010,INST0187_N18_W07_D010,INST0187_N18_W07_P011,INST0187_N18_W07_D011,INST0187_N18_W07_P012,INST0187_N18_W07_D012,INST0187_N18_W07_P013,INST0187_N18_W07_D013,INST0187_N18_W07_P014,INST0187_N18_W07_D014,INST0187_N18_W07_P015,INST0187_N18_W07_D015,INST0187_N18_W07_P016,INST0187_N18_W07_D016,INST0187_N18_W07_P017,INST0187_N18_W07_D017
depot,0.0,16.35,26.872,26.872,16.399,16.791,61.821,24.4,115.807,16.35,63.444,14.239,0.0,14.239,115.807,14.239,16.791,43.952,14.239,0.0,26.872,61.821,26.872,61.821,16.791,63.444,16.399,0.0,14.239,63.444,16.791,0.0,16.399,24.4,26.872,16.35,43.952
INST0187_N18_W07_P000,16.35,0.0,18.744,18.744,11.735,19.054,52.507,29.48,123.055,0.0,69.129,28.769,16.35,28.769,123.055,28.769,19.054,51.842,28.769,16.35,18.744,52.507,18.744,52.507,19.054,69.129,11.735,16.35,28.769,69.129,19.054,16.35,11.735,29.48,18.744,0.0,51.842
INST0187_N18_W07_D000,26.872,18.744,0.0,0.0,30.344,14.077,35.155,20.581,109.245,18.744,55.217,41.092,26.872,41.092,109.245,41.092,14.077,41.349,41.092,26.872,0.0,35.155,0.0,35.155,14.077,55.217,30.344,26.872,41.092,55.217,14.077,26.872,30.344,20.581,0.0,18.744,41.349
INST0187_N18_W07_P001,26.872,18.744,0.0,0.0,30.344,14.077,35.155,20.581,109.245,18.744,55.217,41.092,26.872,41.092,109.245,41.092,14.077,41.349,41.092,26.872,0.0,35.155,0.0,35.155,14.077,55.217,30.344,26.872,41.092,55.217,14.077,26.872,30.344,20.581,0.0,18.744,41.349
INST0187_N18_W07_D001,16.399,11.735,30.344,30.344,0.0,27.544,64.172,37.477,130.825,11.735,77.525,23.199,16.399,23.199,130.825,23.199,27.544,58.923,23.199,16.399,30.344,64.172,30.344,64.172,27.544,77.525,0.0,16.399,23.199,77.525,27.544,16.399,0.0,37.477,30.344,11.735,58.923
INST0187_N18_W07_P002,16.791,19.054,14.077,14.077,27.544,0.0,46.592,10.426,104.062,19.054,50.28,29.954,16.791,29.954,104.062,29.954,0.0,32.833,29.954,16.791,14.077,46.592,14.077,46.592,0.0,50.28,27.544,16.791,29.954,50.28,0.0,16.791,27.544,10.426,14.077,19.054,32.833
INST0187_N18_W07_D002,61.821,52.507,35.155,35.155,64.172,46.592,0.0,46.518,104.634,52.507,57.646,75.918,61.821,75.918,104.634,75.918,46.592,55.918,75.918,61.821,35.155,0.0,35.155,0.0,46.592,57.646,64.172,61.821,75.918,57.646,46.592,61.821,64.172,46.518,35.155,52.507,55.918
INST0187_N18_W07_P003,24.4,29.48,20.581,20.581,37.477,10.426,46.518,0.0,93.687,29.48,40.063,35.196,24.4,35.196,93.687,35.196,10.426,22.455,35.196,24.4,20.581,46.518,20.581,46.518,10.426,40.063,37.477,24.4,35.196,40.063,10.426,24.4,37.477,0.0,20.581,29.48,22.455
INST0187_N18_W07_D003,115.807,123.055,109.245,109.245,130.825,104.062,104.634,93.687,0.0,123.055,54.132,120.757,115.807,120.757,0.0,120.757,104.062,71.944,120.757,115.807,109.245,104.634,109.245,104.634,104.062,54.132,130.825,115.807,120.757,54.132,104.062,115.807,130.825,93.687,109.245,123.055,71.944
INST0187_N18_W07_P004,16.35,0.0,18.744,18.744,11.735,19.054,52.507,29.48,123.055,0.0,69.129,28.769,16.35,28.769,123.055,28.769,19.054,51.842,28.769,16.35,18.744,52.507,18.744,52.507,19.054,69.129,11.735,16.35,28.769,69.129,19.054,16.35,11.735,29.48,18.744,0.0,51.842
INST0187_N18_W07_D004,63.444,69.129,55.217,55.217,77.525,50.28,57.646,40.063,54.132,69.129,0.0,70.903,63.444,70.903,54.132,70.903,50.28,20.342,70.903,63.444,55.217,57.646,55.217,57.646,50.28,0.0,77.525,63.444,70.903,0.0,50.28,63.444,77.525,40.063,55.217,69.129,20.342
INST0187_N18_W07_P005,14.239,28.769,41.092,41.092,23.199,29.954,75.918,35.196,120.757,28.769,70.903,0.0,14.239,0.0,120.757,0.0,29.954,50.611,0.0,14.239,41.092,75.918,41.092,75.918,29.954,70.903,23.199,14.239,0.0,70.903,29.954,14.239,23.199,35.196,41.092,28.769,50.611
INST0187_N18_W07_D005,0.0,16.35,26.872,26.872,16.399,16.791,61.821,24.4,115.807,16.35,63.444,14.239,0.0,14.239,115.807,14.239,16.791,43.952,14.239,0.0,26.872,61.821,26.872,61.821,16.791,63.444,16.399,0.0,14.239,63.444,16.791,0.0,16.399,24.4,26.872,16.35,43.952
INST0187_N18_W07_P006,14.239,28.769,41.092,41.092,23.199,29.954,75.918,35.196,120.757,28.769,70.903,0.0,14.239,0.0,120.757,0.0,29.954,50.611,0.0,14.239,41.092,75.918,41.092,75.918,29.954,70.903,23.199,14.239,0.0,70.903,29.954,14.239,23.199,35.196,41.092,28.769,50.611
INST0187_N18_W07_D006,115.807,123.055,109.245,109.245,130.825,104.062,104.634,93.687,0.0,123.055,54.132,120.757,115.807,120.757,0.0,120.757,104.062,71.944,120.757,115.807,109.245,104.634,109.245,104.634,104.062,54.132,130.825,115.807,120.757,54.132,104.062,115.807,130.825,93.687,109.245,123.055,71.944
