,depot,INST0262_N22_W22_P000,INST0262_N22_W22_D000,INST0262_N22_W22_P001,INST0262_N22_W22_D001,INST0262_N22_W22_P002,INST0262_N22_W22_D002,INST0262_N22_W22_P003,INST0262_N22_W22_D003,INST0262_N22_W22_P004,INST0262_N22_W22_D004,INST0262_N22_W22_P005,INST0262_N22_W22_D005,INST0262_N22_W22_P006,INST0262_N22_W22_D006,INST0262_N22_W22_P007,INST0262_N22_W22_D007,INST0262_N22_W22_P008,INST0262_N22_W22_D008,INST0262_N22_W22_P009,INST0262_N22_W22_D009,INST0262_N22_W22_P010,INST0262_N22_W22_D010,INST0262_N22_W22_P011,INST0262_N22_W22_D011,INST0262_N22_W22_P012,INST0262_N22_W22_D012,INST0262_N22_W22_P013,INST0262_N22_W22_D013,INST0262_N22_W22_P014,INST0262_N22_W22_D014,INST0262_N22_W22_P015,INST0262_N22_W22_D015,INST0262_N22_W22_P016,INST0262_N22_W22_D016,INST0262_N22_W22_P017,INST0262_N22_W22_D017,INST0262_N22_W22_P018,INST0262_N22_W22_D018,INST0262_N22_W22_P019,INST0262_N22_W22_D019,INST0262_N22_W22_P020,INST0262_N22_W22_D020,INST0262_N22_W22_P021,INST0262_N22_W22_D021
depot,0.0,77.687,17.435,20.081,75.699,32.905,75.699,0.0,75.699,75.699,0.0,32.905,0.0,20.56,77.687,20.56,141.804,20.56,20.02,32.905,75.699,29.878,77.687,75.699,20.081,32.905,20.02,77.687,29.878,77.687,17.435,0.0,124.166,20.081,53.818,20.56,124.166,77.687,20.56,75.699,20.56,32.905,77.687,20.02,77.687
INST0262_N22_W22_P000,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
INST0262_N22_W22_D000,17.435,86.82,0.0,28.407,92.961,50.317,92.961,17.435,92.961,92.961,17.435,50.317,17.435,36.679,86.82,36.679,147.866,36.679,35.228,50.317,92.961,43.098,86.82,92.961,28.407,50.317,35.228,86.82,43.098,86.82,0.0,17.435,129.907,28.407,61.972,36.679,129.907,86.82,36.679,92.961,36.679,50.317,86.82,35.228,86.82
INST0262_N22_W22_P001,20.081,94.929,28.407,0.0,78.578,37.156,78.578,20.081,78.578,78.578,20.081,37.156,20.081,33.728,94.929,33.728,160.194,33.728,14.369,37.156,78.578,45.89,94.929,78.578,0.0,37.156,14.369,94.929,45.89,94.929,28.407,20.081,142.787,0.0,72.151,33.728,142.787,94.929,33.728,78.578,33.728,37.156,94.929,14.369,94.929
INST0262_N22_W22_D001,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_P002,32.905,67.612,50.317,37.156,43.046,0.0,43.046,32.905,43.046,43.046,32.905,0.0,32.905,17.238,67.612,17.238,133.769,17.238,22.951,0.0,43.046,25.201,67.612,43.046,37.156,0.0,22.951,67.612,25.201,67.612,50.317,32.905,117.595,37.156,50.631,17.238,117.595,67.612,17.238,43.046,17.238,0.0,67.612,22.951,67.612
INST0262_N22_W22_D002,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_P003,0.0,77.687,17.435,20.081,75.699,32.905,75.699,0.0,75.699,75.699,0.0,32.905,0.0,20.56,77.687,20.56,141.804,20.56,20.02,32.905,75.699,29.878,77.687,75.699,20.081,32.905,20.02,77.687,29.878,77.687,17.435,0.0,124.166,20.081,53.818,20.56,124.166,77.687,20.56,75.699,20.56,32.905,77.687,20.02,77.687
INST0262_N22_W22_D003,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_P004,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_D004,0.0,77.687,17.435,20.081,75.699,32.905,75.699,0.0,75.699,75.699,0.0,32.905,0.0,20.56,77.687,20.56,141.804,20.56,20.02,32.905,75.699,29.878,77.687,75.699,20.081,32.905,20.02,77.687,29.878,77.687,17.435,0.0,124.166,20.081,53.818,20.56,124.166,77.687,20.56,75.699,20.56,32.905,77.687,20.02,77.687
INST0262_N22_W22_P005,32.905,67.612,50.317,37.156,43.046,0.0,43.046,32.905,43.046,43.046,32.905,0.0,32.905,17.238,67.612,17.238,133.769,17.238,22.951,0.0,43.046,25.201,67.612,43.046,37.156,0.0,22.951,67.612,25.201,67.612,50.317,32.905,117.595,37.156,50.631,17.238,117.595,67.612,17.238,43.046,17.238,0.0,67.612,22.951,67.612
INST0262_N22_W22_D005,0.0,77.687,17.435,20.081,75.699,32.905,75.699,0.0,75.699,75.699,0.0,32.905,0.0,20.56,77.687,20.56,141.804,20.56,20.02,32.905,75.699,29.878,77.687,75.699,20.081,32.905,20.02,77.687,29.878,77.687,17.435,0.0,124.166,20.081,53.818,20.56,124.166,77.687,20.56,75.699,20.56,32.905,77.687,20.02,77.687
INST0262_N22_W22_P006,20.56,61.567,36.679,33.728,57.051,17.238,57.051,20.56,57.051,57.051,20.56,17.238,20.56,0.0,61.567,0.0,127.423,0.0,23.331,17.238,57.051,12.767,61.567,57.051,33.728,17.238,23.331,61.567,12.767,61.567,36.679,20.56,110.354,33.728,40.204,0.0,110.354,61.567,0.0,57.051,0.0,17.238,61.567,23.331,61.567
INST0262_N22_W22_D006,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
INST0262_N22_W22_P007,20.56,61.567,36.679,33.728,57.051,17.238,57.051,20.56,57.051,57.051,20.56,17.238,20.56,0.0,61.567,0.0,127.423,0.0,23.331,17.238,57.051,12.767,61.567,57.051,33.728,17.238,23.331,61.567,12.767,61.567,36.679,20.56,110.354,33.728,40.204,0.0,110.354,61.567,0.0,57.051,0.0,17.238,61.567,23.331,61.567
INST0262_N22_W22_D007,141.804,66.284,147.866,160.194,128.123,133.769,128.123,141.804,128.123,128.123,141.804,133.769,141.804,127.423,66.284,127.423,0.0,127.423,150.679,133.769,128.123,114.719,66.284,128.123,160.194,133.769,150.679,66.284,114.719,66.284,147.866,141.804,18.026,160.194,88.095,127.423,18.026,66.284,127.423,128.123,127.423,133.769,66.284,150.679,66.284
INST0262_N22_W22_P008,20.56,61.567,36.679,33.728,57.051,17.238,57.051,20.56,57.051,57.051,20.56,17.238,20.56,0.0,61.567,0.0,127.423,0.0,23.331,17.238,57.051,12.767,61.567,57.051,33.728,17.238,23.331,61.567,12.767,61.567,36.679,20.56,110.354,33.728,40.204,0.0,110.354,61.567,0.0,57.051,0.0,17.238,61.567,23.331,61.567
INST0262_N22_W22_D008,20.02,84.648,35.228,14.369,64.294,22.951,64.294,20.02,64.294,64.294,20.02,22.951,20.02,23.331,84.648,23.331,150.679,23.331,0.0,22.951,64.294,36.098,84.648,64.294,14.369,22.951,0.0,84.648,36.098,84.648,35.228,20.02,133.671,14.369,63.48,23.331,133.671,84.648,23.331,64.294,23.331,22.951,84.648,0.0,84.648
INST0262_N22_W22_P009,32.905,67.612,50.317,37.156,43.046,0.0,43.046,32.905,43.046,43.046,32.905,0.0,32.905,17.238,67.612,17.238,133.769,17.238,22.951,0.0,43.046,25.201,67.612,43.046,37.156,0.0,22.951,67.612,25.201,67.612,50.317,32.905,117.595,37.156,50.631,17.238,117.595,67.612,17.238,43.046,17.238,0.0,67.612,22.951,67.612
INST0262_N22_W22_D009,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_P010,29.878,49.056,43.098,45.89,56.961,25.201,56.961,29.878,56.961,56.961,29.878,25.201,29.878,12.767,49.056,12.767,114.719,12.767,36.098,25.201,56.961,0.0,49.056,56.961,45.89,25.201,36.098,49.056,0.0,49.056,43.098,29.878,97.602,45.89,27.496,12.767,97.602,49.056,12.767,56.961,12.767,25.201,49.056,36.098,49.056
INST0262_N22_W22_D010,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
INST0262_N22_W22_P011,75.699,70.587,92.961,78.578,0.0,43.046,0.0,75.699,0.0,0.0,75.699,43.046,75.699,57.051,70.587,57.051,128.123,57.051,64.294,43.046,0.0,56.961,70.587,0.0,78.578,43.046,64.294,70.587,56.961,70.587,92.961,75.699,115.643,78.578,68.471,57.051,115.643,70.587,57.051,0.0,57.051,43.046,70.587,64.294,70.587
INST0262_N22_W22_D011,20.081,94.929,28.407,0.0,78.578,37.156,78.578,20.081,78.578,78.578,20.081,37.156,20.081,33.728,94.929,33.728,160.194,33.728,14.369,37.156,78.578,45.89,94.929,78.578,0.0,37.156,14.369,94.929,45.89,94.929,28.407,20.081,142.787,0.0,72.151,33.728,142.787,94.929,33.728,78.578,33.728,37.156,94.929,14.369,94.929
INST0262_N22_W22_P012,32.905,67.612,50.317,37.156,43.046,0.0,43.046,32.905,43.046,43.046,32.905,0.0,32.905,17.238,67.612,17.238,133.769,17.238,22.951,0.0,43.046,25.201,67.612,43.046,37.156,0.0,22.951,67.612,25.201,67.612,50.317,32.905,117.595,37.156,50.631,17.238,117.595,67.612,17.238,43.046,17.238,0.0,67.612,22.951,67.612
INST0262_N22_W22_D012,20.02,84.648,35.228,14.369,64.294,22.951,64.294,20.02,64.294,64.294,20.02,22.951,20.02,23.331,84.648,23.331,150.679,23.331,0.0,22.951,64.294,36.098,84.648,64.294,14.369,22.951,0.0,84.648,36.098,84.648,35.228,20.02,133.671,14.369,63.48,23.331,133.671,84.648,23.331,64.294,23.331,22.951,84.648,0.0,84.648
INST0262_N22_W22_P013,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
INST0262_N22_W22_D013,29.878,49.056,43.098,45.89,56.961,25.201,56.961,29.878,56.961,56.961,29.878,25.201,29.878,12.767,49.056,12.767,114.719,12.767,36.098,25.201,56.961,0.0,49.056,56.961,45.89,25.201,36.098,49.056,0.0,49.056,43.098,29.878,97.602,45.89,27.496,12.767,97.602,49.056,12.767,56.961,12.767,25.201,49.056,36.098,49.056
INST0262_N22_W22_P014,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
INST0262_N22_W22_D014,17.435,86.82,0.0,28.407,92.961,50.317,92.961,17.435,92.961,92.961,17.435,50.317,17.435,36.679,86.82,36.679,147.866,36.679,35.228,50.317,92.961,43.098,86.82,92.961,28.407,50.317,35.228,86.82,43.098,86.82,0.0,17.435,129.907,28.407,61.972,36.679,129.907,86.82,36.679,92.961,36.679,50.317,86.82,35.228,86.82
INST0262_N22_W22_P015,0.0,77.687,17.435,20.081,75.699,32.905,75.699,0.0,75.699,75.699,0.0,32.905,0.0,20.56,77.687,20.56,141.804,20.56,20.02,32.905,75.699,29.878,77.687,75.699,20.081,32.905,20.02,77.687,29.878,77.687,17.435,0.0,124.166,20.081,53.818,20.56,124.166,77.687,20.56,75.699,20.56,32.905,77.687,20.02,77.687
INST0262_N22_W22_D015,124.166,50.015,129.907,142.787,115.643,117.595,115.643,124.166,115.643,115.643,124.166,117.595,124.166,110.354,50.015,110.354,18.026,110.354,133.671,117.595,115.643,97.602,50.015,115.643,142.787,117.595,133.671,50.015,97.602,50.015,129.907,124.166,0.0,142.787,70.637,110.354,0.0,50.015,110.354,115.643,110.354,117.595,50.015,133.671,50.015
INST0262_N22_W22_P016,20.081,94.929,28.407,0.0,78.578,37.156,78.578,20.081,78.578,78.578,20.081,37.156,20.081,33.728,94.929,33.728,160.194,33.728,14.369,37.156,78.578,45.89,94.929,78.578,0.0,37.156,14.369,94.929,45.89,94.929,28.407,20.081,142.787,0.0,72.151,33.728,142.787,94.929,33.728,78.578,33.728,37.156,94.929,14.369,94.929
INST0262_N22_W22_D016,53.818,24.909,61.972,72.151,68.471,50.631,68.471,53.818,68.471,68.471,53.818,50.631,53.818,40.204,24.909,40.204,88.095,40.204,63.48,50.631,68.471,27.496,24.909,68.471,72.151,50.631,63.48,24.909,27.496,24.909,61.972,53.818,70.637,72.151,0.0,40.204,70.637,24.909,40.204,68.471,40.204,50.631,24.909,63.48,24.909
INST0262_N22_W22_P017,20.56,61.567,36.679,33.728,57.051,17.238,57.051,20.56,57.051,57.051,20.56,17.238,20.56,0.0,61.567,0.0,127.423,0.0,23.331,17.238,57.051,12.767,61.567,57.051,33.728,17.238,23.331,61.567,12.767,61.567,36.679,20.56,110.354,33.728,40.204,0.0,110.354,61.567,0.0,57.051,0.0,17.238,61.567,23.331,61.567
INST0262_N22_W22_D017,124.166,50.015,129.907,142.787,115.643,117.595,115.643,124.166,115.643,115.643,124.166,117.595,124.166,110.354,50.015,110.354,18.026,110.354,133.671,117.595,115.643,97.602,50.015,115.643,142.787,117.595,133.671,50.015,97.602,50.015,129.907,124.166,0.0,142.787,70.637,110.354,0.0,50.015,110.354,115.643,110.354,117.595,50.015,133.671,50.015
INST0262_N22_W22_P018,77.687,0.0,86.82,94.929,70.587,67.612,70.587,77.687,70.587,70.587,77.687,67.612,77.687,61.567,0.0,61.567,66.284,61.567,84.648,67.612,70.587,49.056,0.0,70.587,94.929,67.612,84.648,0.0,49.056,0.0,86.82,77.687,50.015,94.929,24.909,61.567,50.015,0.0,61.567,70.587,61.567,67.612,0.0,84.648,0.0
