,depot,INST0276_N25_N06_P000,INST0276_N25_N06_D000,INST0276_N25_N06_P001,INST0276_N25_N06_D001,INST0276_N25_N06_P002,INST0276_N25_N06_D002,INST0276_N25_N06_P003,INST0276_N25_N06_D003,INST0276_N25_N06_P004,INST0276_N25_N06_D004,INST0276_N25_N06_P005,INST0276_N25_N06_D005,INST0276_N25_N06_P006,INST0276_N25_N06_D006,INST0276_N25_N06_P007,INST0276_N25_N06_D007,INST0276_N25_N06_P008,INST0276_N25_N06_D008,INST0276_N25_N06_P009,INST0276_N25_N06_D009,INST0276_N25_N06_P010,INST0276_N25_N06_D010,INST0276_N25_N06_P011,INST0276_N25_N06_D011,INST0276_N25_N06_P012,INST0276_N25_N06_D012,INST0276_N25_N06_P013,INST0276_N25_N06_D013,INST0276_N25_N06_P014,INST0276_N25_N06_D014,INST0276_N25_N06_P015,INST0276_N25_N06_D015,INST0276_N25_N06_P016,INST0276_N25_N06_D016,INST0276_N25_N06_P017,INST0276_N25_N06_D017,INST0276_N25_N06_P018,INST0276_N25_N06_D018,INST0276_N25_N06_P019,INST0276_N25_N06_D019,INST0276_N25_N06_P020,INST0276_N25_N06_D020,INST0276_N25_N06_P021,INST0276_N25_N06_D021,INST0276_N25_N06_P022,INST0276_N25_N06_D022,INST0276_N25_N06_P023,INST0276_N25_N06_D023,INST0276_N25_N06_P024,INST0276_N25_N06_D024
depot,0.0,21.127,153.452,28.595,122.983,28.595,21.127,0.0,24.088,21.127,35.041,43.511,21.127,35.041,153.452,24.088,28.727,25.326,139.347,28.595,0.0,28.727,99.392,43.511,0.0,24.088,79.42,35.041,21.127,79.42,0.0,24.088,28.727,43.511,162.63,28.595,122.983,21.127,35.041,79.42,0.0,79.42,28.727,35.041,24.088,28.595,122.983,79.42,99.392,43.511,122.983
INST0276_N25_N06_P000,21.127,0.0,155.714,24.705,116.493,24.705,0.0,21.127,8.817,0.0,33.197,22.387,0.0,33.197,155.714,8.817,22.322,31.992,156.702,24.705,21.127,22.322,78.919,22.387,21.127,8.817,87.893,33.197,0.0,87.893,21.127,8.817,22.322,22.387,154.717,24.705,116.493,0.0,33.197,87.893,21.127,87.893,22.322,33.197,8.817,24.705,116.493,87.893,78.919,22.387,116.493
INST0276_N25_N06_D000,153.452,155.714,0.0,178.677,272.117,178.677,155.714,153.452,164.529,155.714,122.582,160.581,155.714,122.582,0.0,164.529,177.15,178.773,125.74,178.677,153.452,177.15,203.198,160.581,153.452,164.529,229.986,122.582,155.714,229.986,153.452,164.529,177.15,160.581,309.6,178.677,272.117,155.714,122.582,229.986,153.452,229.986,177.15,122.582,164.529,178.677,272.117,229.986,203.198,160.581,272.117
INST0276_N25_N06_P001,28.595,24.705,178.677,0.0,94.965,0.0,24.705,28.595,16.848,24.705,56.4,37.312,24.705,56.4,178.677,16.848,3.413,14.003,166.496,0.0,28.595,3.413,81.517,37.312,28.595,16.848,64.653,56.4,24.705,64.653,28.595,16.848,3.413,37.312,134.313,0.0,94.965,24.705,56.4,64.653,28.595,64.653,3.413,56.4,16.848,0.0,94.965,64.653,81.517,37.312,94.965
INST0276_N25_N06_D001,122.983,116.493,272.117,94.965,0.0,94.965,116.493,122.983,107.703,116.493,149.69,114.14,116.493,149.69,272.117,107.703,95.867,99.415,253.32,94.965,122.983,95.867,104.211,114.14,122.983,107.703,79.694,149.69,116.493,79.694,122.983,107.703,95.867,114.14,40.266,94.965,0.0,116.493,149.69,79.694,122.983,79.694,95.867,149.69,107.703,94.965,0.0,79.694,104.211,114.14,0.0
INST0276_N25_N06_P002,28.595,24.705,178.677,0.0,94.965,0.0,24.705,28.595,16.848,24.705,56.4,37.312,24.705,56.4,178.677,16.848,3.413,14.003,166.496,0.0,28.595,3.413,81.517,37.312,28.595,16.848,64.653,56.4,24.705,64.653,28.595,16.848,3.413,37.312,134.313,0.0,94.965,24.705,56.4,64.653,28.595,64.653,3.413,56.4,16.848,0.0,94.965,64.653,81.517,37.312,94.965
INST0276_N25_N06_D002,21.127,0.0,155.714,24.705,116.493,24.705,0.0,21.127,8.817,0.0,33.197,22.387,0.0,33.197,155.714,8.817,22.322,31.992,156.702,24.705,21.127,22.322,78.919,22.387,21.127,8.817,87.893,33.197,0.0,87.893,21.127,8.817,22.322,22.387,154.717,24.705,116.493,0.0,33.197,87.893,21.127,87.893,22.322,33.197,8.817,24.705,116.493,87.893,78.919,22.387,116.493
INST0276_N25_N06_P003,0.0,21.127,153.452,28.595,122.983,28.595,21.127,0.0,24.088,21.127,35.041,43.511,21.127,35.041,153.452,24.088,28.727,25.326,139.347,28.595,0.0,28.727,99.392,43.511,0.0,24.088,79.42,35.041,21.127,79.42,0.0,24.088,28.727,43.511,162.63,28.595,122.983,21.127,35.041,79.42,0.0,79.42,28.727,35.041,24.088,28.595,122.983,79.42,99.392,43.511,122.983
INST0276_N25_N06_D003,24.088,8.817,164.529,16.848,107.703,16.848,8.817,24.088,0.0,8.817,41.993,23.01,8.817,41.993,164.529,0.0,14.053,26.694,162.641,16.848,24.088,14.053,75.654,23.01,24.088,0.0,81.208,41.993,8.817,81.208,24.088,0.0,14.053,23.01,146.035,16.848,107.703,8.817,41.993,81.208,24.088,81.208,14.053,41.993,0.0,16.848,107.703,81.208,75.654,23.01,107.703
INST0276_N25_N06_P004,21.127,0.0,155.714,24.705,116.493,24.705,0.0,21.127,8.817,0.0,33.197,22.387,0.0,33.197,155.714,8.817,22.322,31.992,156.702,24.705,21.127,22.322,78.919,22.387,21.127,8.817,87.893,33.197,0.0,87.893,21.127,8.817,22.322,22.387,154.717,24.705,116.493,0.0,33.197,87.893,21.127,87.893,22.322,33.197,8.817,24.705,116.493,87.893,78.919,22.387,116.493
