,depot,INST0272_N25_S02_P000,INST0272_N25_S02_D000,INST0272_N25_S02_P001,INST0272_N25_S02_D001,INST0272_N25_S02_P002,INST0272_N25_S02_D002,INST0272_N25_S02_P003,INST0272_N25_S02_D003,INST0272_N25_S02_P004,INST0272_N25_S02_D004,INST0272_N25_S02_P005,INST0272_N25_S02_D005,INST0272_N25_S02_P006,INST0272_N25_S02_D006,INST0272_N25_S02_P007,INST0272_N25_S02_D007,INST0272_N25_S02_P008,INST0272_N25_S02_D008,INST0272_N25_S02_P009,INST0272_N25_S02_D009,INST0272_N25_S02_P010,INST0272_N25_S02_D010,INST0272_N25_S02_P011,INST0272_N25_S02_D011,INST0272_N25_S02_P012,INST0272_N25_S02_D012,INST0272_N25_S02_P013,INST0272_N25_S02_D013,INST0272_N25_S02_P014,INST0272_N25_S02_D014,INST0272_N25_S02_P015,INST0272_N25_S02_D015,INST0272_N25_S02_P016,INST0272_N25_S02_D016,INST0272_N25_S02_P017,INST0272_N25_S02_D017,INST0272_N25_S02_P018,INST0272_N25_S02_D018,INST0272_N25_S02_P019,INST0272_N25_S02_D019,INST0272_N25_S02_P020,INST0272_N25_S02_D020,INST0272_N25_S02_P021,INST0272_N25_S02_D021,INST0272_N25_S02_P022,INST0272_N25_S02_D022,INST0272_N25_S02_P023,INST0272_N25_S02_D023,INST0272_N25_S02_P024,INST0272_N25_S02_D024
depot,0.0,19.488,59.019,59.019,24.239,45.002,19.629,19.629,45.002,45.002,19.629,55.171,24.239,59.019,55.171,0.0,55.171,59.019,24.239,19.629,25.439,25.439,0.0,19.629,83.416,19.629,55.171,55.171,25.439,25.439,45.002,19.488,91.902,21.517,19.629,19.488,45.002,25.439,83.416,21.517,25.439,25.439,45.002,21.517,25.439,0.0,19.629,19.629,21.517,55.171,124.222
INST0272_N25_S02_P000,19.488,0.0,54.903,54.903,41.761,59.003,36.46,36.46,59.003,59.003,36.46,67.889,41.761,54.903,67.889,19.488,67.889,54.903,41.761,36.46,44.339,44.339,19.488,36.46,102.776,36.46,67.889,67.889,44.339,44.339,59.003,0.0,103.829,24.954,36.46,0.0,59.003,44.339,102.776,24.954,44.339,44.339,59.003,24.954,44.339,19.488,36.46,36.46,24.954,67.889,134.327
INST0272_N25_S02_D000,59.019,54.903,0.0,0.0,58.521,103.002,55.179,55.179,103.002,103.002,55.179,113.587,58.521,0.0,113.587,59.019,113.587,0.0,58.521,55.179,65.452,65.452,59.019,55.179,113.511,55.179,113.587,113.587,65.452,65.452,103.002,54.903,150.208,37.715,55.179,54.903,103.002,65.452,113.511,37.715,65.452,65.452,103.002,37.715,65.452,59.019,55.179,55.179,37.715,113.587,183.035
INST0272_N25_S02_P001,59.019,54.903,0.0,0.0,58.521,103.002,55.179,55.179,103.002,103.002,55.179,113.587,58.521,0.0,113.587,59.019,113.587,0.0,58.521,55.179,65.452,65.452,59.019,55.179,113.511,55.179,113.587,113.587,65.452,65.452,103.002,54.903,150.208,37.715,55.179,54.903,103.002,65.452,113.511,37.715,65.452,65.452,103.002,37.715,65.452,59.019,55.179,55.179,37.715,113.587,183.035
INST0272_N25_S02_D001,24.239,41.761,58.521,58.521,0.0,49.927,5.477,5.477,49.927,49.927,5.477,60.745,0.0,58.521,60.745,24.239,60.745,58.521,0.0,5.477,7.008,7.008,24.239,5.477,62.898,5.477,60.745,60.745,7.008,7.008,49.927,41.761,95.708,26.505,5.477,41.761,49.927,7.008,62.898,26.505,7.008,7.008,49.927,26.505,7.008,24.239,5.477,5.477,26.505,60.745,129.526
INST0272_N25_S02_P002,45.002,59.003,103.002,103.002,49.927,0.0,50.526,50.526,0.0,0.0,50.526,10.867,49.927,103.002,10.867,45.002,10.867,103.002,49.927,50.526,43.838,43.838,45.002,50.526,71.865,50.526,10.867,10.867,43.838,43.838,0.0,59.003,47.206,65.388,50.526,59.003,0.0,43.838,71.865,65.388,43.838,43.838,0.0,65.388,43.838,45.002,50.526,50.526,65.388,10.867,80.368
INST0272_N25_S02_D002,19.629,36.46,55.179,55.179,5.477,50.526,0.0,0.0,50.526,50.526,0.0,61.394,5.477,55.179,61.394,19.629,61.394,55.179,5.477,0.0,10.881,10.881,19.629,0.0,68.319,0.0,61.394,61.394,10.881,10.881,50.526,36.46,97.061,21.478,0.0,36.46,50.526,10.881,68.319,21.478,10.881,10.881,50.526,21.478,10.881,19.629,0.0,0.0,21.478,61.394,130.689
INST0272_N25_S02_P003,19.629,36.46,55.179,55.179,5.477,50.526,0.0,0.0,50.526,50.526,0.0,61.394,5.477,55.179,61.394,19.629,61.394,55.179,5.477,0.0,10.881,10.881,19.629,0.0,68.319,0.0,61.394,61.394,10.881,10.881,50.526,36.46,97.061,21.478,0.0,36.46,50.526,10.881,68.319,21.478,10.881,10.881,50.526,21.478,10.881,19.629,0.0,0.0,21.478,61.394,130.689
INST0272_N25_S02_D003,45.002,59.003,103.002,103.002,49.927,0.0,50.526,50.526,0.0,0.0,50.526,10.867,49.927,103.002,10.867,45.002,10.867,103.002,49.927,50.526,43.838,43.838,45.002,50.526,71.865,50.526,10.867,10.867,43.838,43.838,0.0,59.003,47.206,65.388,50.526,59.003,0.0,43.838,71.865,65.388,43.838,43.838,0.0,65.388,43.838,45.002,50.526,50.526,65.388,10.867,80.368
INST0272_N25_S02_P004,45.002,59.003,103.002,103.002,49.927,0.0,50.526,50.526,0.0,0.0,50.526,10.867,49.927,103.002,10.867,45.002,10.867,103.002,49.927,50.526,43.838,43.838,45.002,50.526,71.865,50.526,10.867,10.867,43.838,43.838,0.0,59.003,47.206,65.388,50.526,59.003,0.0,43.838,71.865,65.388,43.838,43.838,0.0,65.388,43.838,45.002,50.526,50.526,65.388,10.867,80.368
