,depot,INST0045_N5_N15_P000,INST0045_N5_N15_D000,INST0045_N5_N15_P001,INST0045_N5_N15_D001,INST0045_N5_N15_P002,INST0045_N5_N15_D002,INST0045_N5_N15_P003,INST0045_N5_N15_D003,INST0045_N5_N15_P004,INST0045_N5_N15_D004
depot,0.0,14.053,26.694,26.694,162.641,24.088,164.529,24.088,162.641,0.0,23.01
INST0045_N5_N15_P000,14.053,0.0,17.072,17.072,167.44,28.727,177.15,28.727,167.44,14.053,33.929
INST0045_N5_N15_D000,26.694,17.072,0.0,0.0,157.017,25.326,178.773,25.326,157.017,26.694,49.306
INST0045_N5_N15_P001,26.694,17.072,0.0,0.0,157.017,25.326,178.773,25.326,157.017,26.694,49.306
INST0045_N5_N15_D001,162.641,167.44,157.017,157.017,0.0,139.347,125.74,139.347,0.0,162.641,175.714
INST0045_N5_N15_P002,24.088,28.727,25.326,25.326,139.347,0.0,153.452,0.0,139.347,24.088,43.511
INST0045_N5_N15_D002,164.529,177.15,178.773,178.773,125.74,153.452,0.0,153.452,125.74,164.529,160.581
INST0045_N5_N15_P003,24.088,28.727,25.326,25.326,139.347,0.0,153.452,0.0,139.347,24.088,43.511
INST0045_N5_N15_D003,162.641,167.44,157.017,157.017,0.0,139.347,125.74,139.347,0.0,162.641,175.714
INST0045_N5_N15_P004,0.0,14.053,26.694,26.694,162.641,24.088,164.529,24.088,162.641,0.0,23.01
INST0045_N5_N15_D004,23.01,33.929,49.306,49.306,175.714,43.511,160.581,43.511,175.714,23.01,0.0
