,depot,INST0129_N12_N09_P000,INST0129_N12_N09_D000,INST0129_N12_N09_P001,INST0129_N12_N09_D001,INST0129_N12_N09_P002,INST0129_N12_N09_D002,INST0129_N12_N09_P003,INST0129_N12_N09_D003,INST0129_N12_N09_P004,INST0129_N12_N09_D004,INST0129_N12_N09_P005,INST0129_N12_N09_D005,INST0129_N12_N09_P006,INST0129_N12_N09_D006,INST0129_N12_N09_P007,INST0129_N12_N09_D007,INST0129_N12_N09_P008,INST0129_N12_N09_D008,INST0129_N12_N09_P009,INST0129_N12_N09_D009,INST0129_N12_N09_P010,INST0129_N12_N09_D010,INST0129_N12_N09_P011,INST0129_N12_N09_D011
depot,0.0,35.653,48.052,44.646,0.0,28.616,27.111,34.294,0.0,28.616,81.232,46.06,27.111,34.294,44.646,48.052,110.202,44.646,122.247,46.06,153.371,44.646,34.294,44.646,122.247
INST0129_N12_N09_P000,35.653,0.0,40.266,27.709,35.653,35.534,18.283,18.791,35.653,35.534,47.339,30.471,18.283,18.791,27.709,40.266,143.5,27.709,93.214,30.471,122.278,27.709,18.791,27.709,93.214
INST0129_N12_N09_D000,48.052,40.266,0.0,13.942,48.052,20.683,26.126,21.8,48.052,20.683,77.99,11.436,26.126,21.8,13.942,0.0,128.231,13.942,81.189,11.436,113.909,13.942,21.8,13.942,81.189
INST0129_N12_N09_P001,44.646,27.709,13.942,0.0,44.646,23.461,18.229,11.477,44.646,23.461,64.236,2.788,18.229,11.477,0.0,13.942,136.742,0.0,78.292,2.788,110.207,0.0,11.477,0.0,78.292
INST0129_N12_N09_D001,0.0,35.653,48.052,44.646,0.0,28.616,27.111,34.294,0.0,28.616,81.232,46.06,27.111,34.294,44.646,48.052,110.202,44.646,122.247,46.06,153.371,44.646,34.294,44.646,122.247
INST0129_N12_N09_P002,28.616,35.534,20.683,23.461,28.616,0.0,17.254,19.671,28.616,0.0,81.17,23.353,17.254,19.671,23.461,20.683,113.8,23.461,100.436,23.353,132.815,23.461,19.671,23.461,100.436
INST0129_N12_N09_D002,27.111,18.283,26.126,18.229,27.111,17.254,0.0,7.201,27.111,17.254,64.45,20.176,0.0,7.201,18.229,26.126,127.973,18.229,95.136,20.176,126.352,18.229,7.201,18.229,95.136
INST0129_N12_N09_P003,34.294,18.791,21.8,11.477,34.294,19.671,7.201,0.0,34.294,19.671,61.784,13.759,7.201,0.0,11.477,21.8,132.823,11.477,87.958,13.759,119.262,11.477,0.0,11.477,87.958
INST0129_N12_N09_D003,0.0,35.653,48.052,44.646,0.0,28.616,27.111,34.294,0.0,28.616,81.232,46.06,27.111,34.294,44.646,48.052,110.202,44.646,122.247,46.06,153.371,44.646,34.294,44.646,122.247
INST0129_N12_N09_P004,28.616,35.534,20.683,23.461,28.616,0.0,17.254,19.671,28.616,0.0,81.17,23.353,17.254,19.671,23.461,20.683,113.8,23.461,100.436,23.353,132.815,23.461,19.671,23.461,100.436
INST0129_N12_N09_D004,81.232,47.339,77.99,64.236,81.232,81.17,64.45,61.784,81.232,81.17,0.0,66.572,64.45,61.784,64.236,77.99,190.666,64.236,85.106,66.572,104.379,64.236,61.784,64.236,85.106
INST0129_N12_N09_P005,46.06,30.471,11.436,2.788,46.06,23.353,20.176,13.759,46.06,23.353,66.572,0.0,20.176,13.759,2.788,11.436,135.971,2.788,77.555,0.0,109.689,2.788,13.759,2.788,77.555
INST0129_N12_N09_D005,27.111,18.283,26.126,18.229,27.111,17.254,0.0,7.201,27.111,17.254,64.45,20.176,0.0,7.201,18.229,26.126,127.973,18.229,95.136,20.176,126.352,18.229,7.201,18.229,95.136
INST0129_N12_N09_P006,34.294,18.791,21.8,11.477,34.294,19.671,7.201,0.0,34.294,19.671,61.784,13.759,7.201,0.0,11.477,21.8,132.823,11.477,87.958,13.759,119.262,11.477,0.0,11.477,87.958
INST0129_N12_N09_D006,44.646,27.709,13.942,0.0,44.646,23.461,18.229,11.477,44.646,23.461,64.236,2.788,18.229,11.477,0.0,13.942,136.742,0.0,78.292,2.788,110.207,0.0,11.477,0.0,78.292
INST0129_N12_N09_P007,48.052,40.266,0.0,13.942,48.052,20.683,26.126,21.8,48.052,20.683,77.99,11.436,26.126,21.8,13.942,0.0,128.231,13.942,81.189,11.436,113.909,13.942,21.8,13.942,81.189
INST0129_N12_N09_D007,110.202,143.5,128.231,136.742,110.202,113.8,127.973,132.823,110.202,113.8,190.666,135.971,127.973,132.823,136.742,128.231,0.0,136.742,206.878,135.971,239.676,136.742,132.823,136.742,206.878
INST0129_N12_N09_P008,44.646,27.709,13.942,0.0,44.646,23.461,18.229,11.477,44.646,23.461,64.236,2.788,18.229,11.477,0.0,13.942,136.742,0.0,78.292,2.788,110.207,0.0,11.477,0.0,78.292
INST0129_N12_N09_D008,122.247,93.214,81.189,78.292,122.247,100.436,95.136,87.958,122.247,100.436,85.106,77.555,95.136,87.958,78.292,81.189,206.878,78.292,0.0,77.555,32.884,78.292,87.958,78.292,0.0
INST0129_N12_N09_P009,46.06,30.471,11.436,2.788,46.06,23.353,20.176,13.759,46.06,23.353,66.572,0.0,20.176,13.759,2.788,11.436,135.971,2.788,77.555,0.0,109.689,2.788,13.759,2.788,77.555
INST0129_N12_N09_D009,153.371,122.278,113.909,110.207,153.371,132.815,126.352,119.262,153.371,132.815,104.379,109.689,126.352,119.262,110.207,113.909,239.676,110.207,32.884,109.689,0.0,110.207,119.262,110.207,32.884
INST0129_N12_N09_P010,44.646,27.709,13.942,0.0,44.646,23.461,18.229,11.477,44.646,23.461,64.236,2.788,18.229,11.477,0.0,13.942,136.742,0.0,78.292,2.788,110.207,0.0,11.477,0.0,78.292
