,depot,INST0179_N15_S29_P000,INST0179_N15_S29_D000,INST0179_N15_S29_P001,INST0179_N15_S29_D001,INST0179_N15_S29_P002,INST0179_N15_S29_D002,INST0179_N15_S29_P003,INST0179_N15_S29_D003,INST0179_N15_S29_P004,INST0179_N15_S29_D004,INST0179_N15_S29_P005,INST0179_N15_S29_D005,INST0179_N15_S29_P006,INST0179_N15_S29_D006,INST0179_N15_S29_P007,INST0179_N15_S29_D007,INST0179_N15_S29_P008,INST0179_N15_S29_D008,INST0179_N15_S29_P009,INST0179_N15_S29_D009,INST0179_N15_S29_P010,INST0179_N15_S29_D010,INST0179_N15_S29_P011,INST0179_N15_S29_D011,INST0179_N15_S29_P012,INST0179_N15_S29_D012,INST0179_N15_S29_P013,INST0179_N15_S29_D013,INST0179_N15_S29_P014,INST0179_N15_S29_D014
depot,0.0,65.452,43.838,0.0,44.339,32.298,0.0,10.881,25.439,58.699,7.008,65.452,0.0,44.339,25.439,43.838,32.298,54.565,58.699,58.699,10.881,54.565,44.339,7.008,43.838,10.881,43.838,65.452,58.699,10.881,54.565
INST0179_N15_S29_P000,65.452,0.0,103.002,65.452,54.903,37.715,65.452,55.179,59.019,113.511,58.521,0.0,65.452,54.903,59.019,103.002,37.715,113.587,113.511,113.511,55.179,113.587,54.903,58.521,103.002,55.179,103.002,0.0,113.511,55.179,113.587
INST0179_N15_S29_D000,43.838,103.002,0.0,43.838,59.003,65.388,43.838,50.526,45.002,71.865,49.927,103.002,43.838,59.003,45.002,0.0,65.388,10.867,71.865,71.865,50.526,10.867,59.003,49.927,0.0,50.526,0.0,103.002,71.865,50.526,10.867
INST0179_N15_S29_P001,0.0,65.452,43.838,0.0,44.339,32.298,0.0,10.881,25.439,58.699,7.008,65.452,0.0,44.339,25.439,43.838,32.298,54.565,58.699,58.699,10.881,54.565,44.339,7.008,43.838,10.881,43.838,65.452,58.699,10.881,54.565
INST0179_N15_S29_D001,44.339,54.903,59.003,44.339,0.0,24.954,44.339,36.46,19.488,102.776,41.761,54.903,44.339,0.0,19.488,59.003,24.954,67.889,102.776,102.776,36.46,67.889,0.0,41.761,59.003,36.46,59.003,54.903,102.776,36.46,67.889
INST0179_N15_S29_P002,32.298,37.715,65.388,32.298,24.954,0.0,32.298,21.478,21.517,88.975,26.505,37.715,32.298,24.954,21.517,65.388,0.0,75.908,88.975,88.975,21.478,75.908,24.954,26.505,65.388,21.478,65.388,37.715,88.975,21.478,75.908
INST0179_N15_S29_D002,0.0,65.452,43.838,0.0,44.339,32.298,0.0,10.881,25.439,58.699,7.008,65.452,0.0,44.339,25.439,43.838,32.298,54.565,58.699,58.699,10.881,54.565,44.339,7.008,43.838,10.881,43.838,65.452,58.699,10.881,54.565
INST0179_N15_S29_P003,10.881,55.179,50.526,10.881,36.46,21.478,10.881,0.0,19.629,68.319,5.477,55.179,10.881,36.46,19.629,50.526,21.478,61.394,68.319,68.319,0.0,61.394,36.46,5.477,50.526,0.0,50.526,55.179,68.319,0.0,61.394
INST0179_N15_S29_D003,25.439,59.019,45.002,25.439,19.488,21.517,25.439,19.629,0.0,83.416,24.239,59.019,25.439,19.488,0.0,45.002,21.517,55.171,83.416,83.416,19.629,55.171,19.488,24.239,45.002,19.629,45.002,59.019,83.416,19.629,55.171
INST0179_N15_S29_P004,58.699,113.511,71.865,58.699,102.776,88.975,58.699,68.319,83.416,0.0,62.898,113.511,58.699,102.776,83.416,71.865,88.975,77.092,0.0,0.0,68.319,77.092,102.776,62.898,71.865,68.319,71.865,113.511,0.0,68.319,77.092
INST0179_N15_S29_D004,7.008,58.521,49.927,7.008,41.761,26.505,7.008,5.477,24.239,62.898,0.0,58.521,7.008,41.761,24.239,49.927,26.505,60.745,62.898,62.898,5.477,60.745,41.761,0.0,49.927,5.477,49.927,58.521,62.898,5.477,60.745
INST0179_N15_S29_P005,65.452,0.0,103.002,65.452,54.903,37.715,65.452,55.179,59.019,113.511,58.521,0.0,65.452,54.903,59.019,103.002,37.715,113.587,113.511,113.511,55.179,113.587,54.903,58.521,103.002,55.179,103.002,0.0,113.511,55.179,113.587
INST0179_N15_S29_D005,0.0,65.452,43.838,0.0,44.339,32.298,0.0,10.881,25.439,58.699,7.008,65.452,0.0,44.339,25.439,43.838,32.298,54.565,58.699,58.699,10.881,54.565,44.339,7.008,43.838,10.881,43.838,65.452,58.699,10.881,54.565
INST0179_N15_S29_P006,44.339,54.903,59.003,44.339,0.0,24.954,44.339,36.46,19.488,102.776,41.761,54.903,44.339,0.0,19.488,59.003,24.954,67.889,102.776,102.776,36.46,67.889,0.0,41.761,59.003,36.46,59.003,54.903,102.776,36.46,67.889
INST0179_N15_S29_D006,25.439,59.019,45.002,25.439,19.488,21.517,25.439,19.629,0.0,83.416,24.239,59.019,25.439,19.488,0.0,45.002,21.517,55.171,83.416,83.416,19.629,55.171,19.488,24.239,45.002,19.629,45.002,59.019,83.416,19.629,55.171
INST0179_N15_S29_P007,43.838,103.002,0.0,43.838,59.003,65.388,43.838,50.526,45.002,71.865,49.927,103.002,43.838,59.003,45.002,0.0,65.388,10.867,71.865,71.865,50.526,10.867,59.003,49.927,0.0,50.526,0.0,103.002,71.865,50.526,10.867
INST0179_N15_S29_D007,32.298,37.715,65.388,32.298,24.954,0.0,32.298,21.478,21.517,88.975,26.505,37.715,32.298,24.954,21.517,65.388,0.0,75.908,88.975,88.975,21.478,75.908,24.954,26.505,65.388,21.478,65.388,37.715,88.975,21.478,75.908
INST0179_N15_S29_P008,54.565,113.587,10.867,54.565,67.889,75.908,54.565,61.394,55.171,77.092,60.745,113.587,54.565,67.889,55.171,10.867,75.908,0.0,77.092,77.092,61.394,0.0,67.889,60.745,10.867,61.394,10.867,113.587,77.092,61.394,0.0
INST0179_N15_S29_D008,58.699,113.511,71.865,58.699,102.776,88.975,58.699,68.319,83.416,0.0,62.898,113.511,58.699,102.776,83.416,71.865,88.975,77.092,0.0,0.0,68.319,77.092,102.776,62.898,71.865,68.319,71.865,113.511,0.0,68.319,77.092
INST0179_N15_S29_P009,58.699,113.511,71.865,58.699,102.776,88.975,58.699,68.319,83.416,0.0,62.898,113.511,58.699,102.776,83.416,71.865,88.975,77.092,0.0,0.0,68.319,77.092,102.776,62.898,71.865,68.319,71.865,113.511,0.0,68.319,77.092
INST0179_N15_S29_D009,10.881,55.179,50.526,10.881,36.46,21.478,10.881,0.0,19.629,68.319,5.477,55.179,10.881,36.46,19.629,50.526,21.478,61.394,68.319,68.319,0.0,61.394,36.46,5.477,50.526,0.0,50.526,55.179,68.319,0.0,61.394
INST0179_N15_S29_P010,54.565,113.587,10.867,54.565,67.889,75.908,54.565,61.394,55.171,77.092,60.745,113.587,54.565,67.889,55.171,10.867,75.908,0.0,77.092,77.092,61.394,0.0,67.889,60.745,10.867,61.394,10.867,113.587,77.092,61.394,0.0
INST0179_N15_S29_D010,44.339,54.903,59.003,44.339,0.0,24.954,44.339,36.46,19.488,102.776,41.761,54.903,44.339,0.0,19.488,59.003,24.954,67.889,102.776,102.776,36.46,67.889,0.0,41.761,59.003,36.46,59.003,54.903,102.776,36.46,67.889
INST0179_N15_S29_P011,7.008,58.521,49.927,7.008,41.761,26.505,7.008,5.477,24.239,62.898,0.0,58.521,7.008,41.761,24.239,49.927,26.505,60.745,62.898,62.898,5.477,60.745,41.761,0.0,49.927,5.477,49.927,58.521,62.898,5.477,60.745
INST0179_N15_S29_D011,43.838,103.002,0.0,43.838,59.003,65.388,43.838,50.526,45.002,71.865,49.927,103.002,43.838,59.003,45.002,0.0,65.388,10.867,71.865,71.865,50.526,10.867,59.003,49.927,0.0,50.526,0.0,103.002,71.865,50.526,10.867
INST0179_N15_S29_P012,10.881,55.179,50.526,10.881,36.46,21.478,10.881,0.0,19.629,68.319,5.477,55.179,10.881,36.46,19.629,50.526,21.478,61.394,68.319,68.319,0.0,61.394,36.46,5.477,50.526,0.0,50.526,55.179,68.319,0.0,61.394
INST0179_N15_S29_D012,43.838,103.002,0.0,43.838,59.003,65.388,43.838,50.526,45.002,71.865,49.927,103.002,43.838,59.003,45.002,0.0,65.388,10.867,71.865,71.865,50.526,10.867,59.003,49.927,0.0,50.526,0.0,103.002,71.865,50.526,10.867
INST0179_N15_S29_P013,65.452,0.0,103.002,65.452,54.903,37.715,65.452,55.179,59.019,113.511,58.521,0.0,65.452,54.903,59.019,103.002,37.715,113.587,113.511,113.511,55.179,113.587,54.903,58.521,103.002,55.179,103.002,0.0,113.511,55.179,113.587
INST0179_N15_S29_D013,58.699,113.511,71.865,58.699,102.776,88.975,58.699,68.319,83.416,0.0,62.898,113.511,58.699,102.776,83.416,71.865,88.975,77.092,0.0,0.0,68.319,77.092,102.776,62.898,71.865,68.319,71.865,113.511,0.0,68.319,77.092
INST0179_N15_S29_P014,10.881,55.179,50.526,10.881,36.46,21.478,10.881,0.0,19.629,68.319,5.477,55.179,10.881,36.46,19.629,50.526,21.478,61.394,68.319,68.319,0.0,61.394,36.46,5.477,50.526,0.0,50.526,55.179,68.319,0.0,61.394
INST0179_N15_S29_D014,54.565,113.587,10.867,54.565,67.889,75.908,54.565,61.394,55.171,77.092,60.745,113.587,54.565,67.889,55.171,10.867,75.908,0.0,77.092,77.092,61.394,0.0,67.889,60.745,10.867,61.394,10.867,113.587,77.092,61.394,0.0
