,depot,INST0298_N25_W28_P000,INST0298_N25_W28_D000,INST0298_N25_W28_P001,INST0298_N25_W28_D001,INST0298_N25_W28_P002,INST0298_N25_W28_D002,INST0298_N25_W28_P003,INST0298_N25_W28_D003,INST0298_N25_W28_P004,INST0298_N25_W28_D004,INST0298_N25_W28_P005,INST0298_N25_W28_D005,INST0298_N25_W28_P006,INST0298_N25_W28_D006,INST0298_N25_W28_P007,INST0298_N25_W28_D007,INST0298_N25_W28_P008,INST0298_N25_W28_D008,INST0298_N25_W28_P009,INST0298_N25_W28_D009,INST0298_N25_W28_P010,INST0298_N25_W28_D010,INST0298_N25_W28_P011,INST0298_N25_W28_D011,INST0298_N25_W28_P012,INST0298_N25_W28_D012,INST0298_N25_W28_P013,INST0298_N25_W28_D013,INST0298_N25_W28_P014,INST0298_N25_W28_D014,INST0298_N25_W28_P015,INST0298_N25_W28_D015,INST0298_N25_W28_P016,INST0298_N25_W28_D016,INST0298_N25_W28_P017,INST0298_N25_W28_D017,INST0298_N25_W28_P018,INST0298_N25_W28_D018,INST0298_N25_W28_P019,INST0298_N25_W28_D019,INST0298_N25_W28_P020,INST0298_N25_W28_D020,INST0298_N25_W28_P021,INST0298_N25_W28_D021,INST0298_N25_W28_P022,INST0298_N25_W28_D022,INST0298_N25_W28_P023,INST0298_N25_W28_D023,INST0298_N25_W28_P024,INST0298_N25_W28_D024
depot,0.0,50.015,142.787,50.015,129.907,70.637,124.166,0.0,110.354,97.602,117.595,97.602,70.637,0.0,133.671,0.0,129.907,97.602,142.787,50.015,129.907,50.015,70.637,0.0,110.354,70.637,129.907,18.026,115.643,50.015,133.671,0.0,142.787,50.015,18.026,50.015,110.354,97.602,133.671,70.637,18.026,0.0,115.643,0.0,18.026,50.015,124.166,70.637,110.354,0.0,129.907
INST0298_N25_W28_P000,50.015,0.0,94.929,0.0,86.82,24.909,77.687,50.015,61.567,49.056,67.612,49.056,24.909,50.015,84.648,50.015,86.82,49.056,94.929,0.0,86.82,0.0,24.909,50.015,61.567,24.909,86.82,66.284,70.587,0.0,84.648,50.015,94.929,0.0,66.284,0.0,61.567,49.056,84.648,24.909,66.284,50.015,70.587,50.015,66.284,0.0,77.687,24.909,61.567,50.015,86.82
INST0298_N25_W28_D000,142.787,94.929,0.0,94.929,28.407,72.151,20.081,142.787,33.728,45.89,37.156,45.89,72.151,142.787,14.369,142.787,28.407,45.89,0.0,94.929,28.407,94.929,72.151,142.787,33.728,72.151,28.407,160.194,78.578,94.929,14.369,142.787,0.0,94.929,160.194,94.929,33.728,45.89,14.369,72.151,160.194,142.787,78.578,142.787,160.194,94.929,20.081,72.151,33.728,142.787,28.407
INST0298_N25_W28_P001,50.015,0.0,94.929,0.0,86.82,24.909,77.687,50.015,61.567,49.056,67.612,49.056,24.909,50.015,84.648,50.015,86.82,49.056,94.929,0.0,86.82,0.0,24.909,50.015,61.567,24.909,86.82,66.284,70.587,0.0,84.648,50.015,94.929,0.0,66.284,0.0,61.567,49.056,84.648,24.909,66.284,50.015,70.587,50.015,66.284,0.0,77.687,24.909,61.567,50.015,86.82
INST0298_N25_W28_D001,129.907,86.82,28.407,86.82,0.0,61.972,17.435,129.907,36.679,43.098,50.317,43.098,61.972,129.907,35.228,129.907,0.0,43.098,28.407,86.82,0.0,86.82,61.972,129.907,36.679,61.972,0.0,147.866,92.961,86.82,35.228,129.907,28.407,86.82,147.866,86.82,36.679,43.098,35.228,61.972,147.866,129.907,92.961,129.907,147.866,86.82,17.435,61.972,36.679,129.907,0.0
INST0298_N25_W28_P002,70.637,24.909,72.151,24.909,61.972,0.0,53.818,70.637,40.204,27.496,50.631,27.496,0.0,70.637,63.48,70.637,61.972,27.496,72.151,24.909,61.972,24.909,0.0,70.637,40.204,0.0,61.972,88.095,68.471,24.909,63.48,70.637,72.151,24.909,88.095,24.909,40.204,27.496,63.48,0.0,88.095,70.637,68.471,70.637,88.095,24.909,53.818,0.0,40.204,70.637,61.972
INST0298_N25_W28_D002,124.166,77.687,20.081,77.687,17.435,53.818,0.0,124.166,20.56,29.878,32.905,29.878,53.818,124.166,20.02,124.166,17.435,29.878,20.081,77.687,17.435,77.687,53.818,124.166,20.56,53.818,17.435,141.804,75.699,77.687,20.02,124.166,20.081,77.687,141.804,77.687,20.56,29.878,20.02,53.818,141.804,124.166,75.699,124.166,141.804,77.687,0.0,53.818,20.56,124.166,17.435
INST0298_N25_W28_P003,0.0,50.015,142.787,50.015,129.907,70.637,124.166,0.0,110.354,97.602,117.595,97.602,70.637,0.0,133.671,0.0,129.907,97.602,142.787,50.015,129.907,50.015,70.637,0.0,110.354,70.637,129.907,18.026,115.643,50.015,133.671,0.0,142.787,50.015,18.026,50.015,110.354,97.602,133.671,70.637,18.026,0.0,115.643,0.0,18.026,50.015,124.166,70.637,110.354,0.0,129.907
INST0298_N25_W28_D003,110.354,61.567,33.728,61.567,36.679,40.204,20.56,110.354,0.0,12.767,17.238,12.767,40.204,110.354,23.331,110.354,36.679,12.767,33.728,61.567,36.679,61.567,40.204,110.354,0.0,40.204,36.679,127.423,57.051,61.567,23.331,110.354,33.728,61.567,127.423,61.567,0.0,12.767,23.331,40.204,127.423,110.354,57.051,110.354,127.423,61.567,20.56,40.204,0.0,110.354,36.679
INST0298_N25_W28_P004,97.602,49.056,45.89,49.056,43.098,27.496,29.878,97.602,12.767,0.0,25.201,0.0,27.496,97.602,36.098,97.602,43.098,0.0,45.89,49.056,43.098,49.056,27.496,97.602,12.767,27.496,43.098,114.719,56.961,49.056,36.098,97.602,45.89,49.056,114.719,49.056,12.767,0.0,36.098,27.496,114.719,97.602,56.961,97.602,114.719,49.056,29.878,27.496,12.767,97.602,43.098
INST0298_N25_W28_D004,117.595,67.612,37.156,67.612,50.317,50.631,32.905,117.595,17.238,25.201,0.0,25.201,50.631,117.595,22.951,117.595,50.317,25.201,37.156,67.612,50.317,67.612,50.631,117.595,17.238,50.631,50.317,133.769,43.046,67.612,22.951,117.595,37.156,67.612,133.769,67.612,17.238,25.201,22.951,50.631,133.769,117.595,43.046,117.595,133.769,67.612,32.905,50.631,17.238,117.595,50.317
INST0298_N25_W28_P005,97.602,49.056,45.89,49.056,43.098,27.496,29.878,97.602,12.767,0.0,25.201,0.0,27.496,97.602,36.098,97.602,43.098,0.0,45.89,49.056,43.098,49.056,27.496,97.602,12.767,27.496,43.098,114.719,56.961,49.056,36.098,97.602,45.89,49.056,114.719,49.056,12.767,0.0,36.098,27.496,114.719,97.602,56.961,97.602,114.719,49.056,29.878,27.496,12.767,97.602,43.098
