,depot,INST0167_N15_S17_P000,INST0167_N15_S17_D000,INST0167_N15_S17_P001,INST0167_N15_S17_D001,INST0167_N15_S17_P002,INST0167_N15_S17_D002,INST0167_N15_S17_P003,INST0167_N15_S17_D003,INST0167_N15_S17_P004,INST0167_N15_S17_D004,INST0167_N15_S17_P005,INST0167_N15_S17_D005,INST0167_N15_S17_P006,INST0167_N15_S17_D006,INST0167_N15_S17_P007,INST0167_N15_S17_D007,INST0167_N15_S17_P008,INST0167_N15_S17_D008,INST0167_N15_S17_P009,INST0167_N15_S17_D009,INST0167_N15_S17_P010,INST0167_N15_S17_D010,INST0167_N15_S17_P011,INST0167_N15_S17_D011,INST0167_N15_S17_P012,INST0167_N15_S17_D012,INST0167_N15_S17_P013,INST0167_N15_S17_D013,INST0167_N15_S17_P014,INST0167_N15_S17_D014
depot,0.0,24.036,55.105,24.036,26.348,23.863,24.036,55.105,26.348,0.0,55.105,72.268,23.863,24.036,0.0,67.557,29.68,55.105,102.142,31.149,152.108,31.149,24.036,29.68,102.142,55.105,23.863,67.557,55.105,23.863,26.348
INST0167_N15_S17_P000,24.036,0.0,61.869,0.0,26.3,44.645,0.0,61.869,26.3,24.036,61.869,67.566,44.645,0.0,24.036,75.176,6.707,61.869,83.656,13.324,160.028,13.324,0.0,6.707,83.656,61.869,44.645,75.176,61.869,44.645,26.3
INST0167_N15_S17_D000,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_P001,24.036,0.0,61.869,0.0,26.3,44.645,0.0,61.869,26.3,24.036,61.869,67.566,44.645,0.0,24.036,75.176,6.707,61.869,83.656,13.324,160.028,13.324,0.0,6.707,83.656,61.869,44.645,75.176,61.869,44.645,26.3
INST0167_N15_S17_D001,26.348,26.3,80.067,26.3,0.0,30.556,26.3,80.067,0.0,26.348,80.067,46.181,30.556,26.3,26.348,92.948,32.455,80.067,108.949,39.549,177.944,39.549,26.3,32.455,108.949,80.067,30.556,92.948,80.067,30.556,0.0
INST0167_N15_S17_P002,23.863,44.645,72.248,44.645,30.556,0.0,44.645,72.248,30.556,23.863,72.248,67.228,0.0,44.645,23.863,83.129,51.136,72.248,125.848,54.293,164.482,54.293,44.645,51.136,125.848,72.248,0.0,83.129,72.248,0.0,30.556
INST0167_N15_S17_D002,24.036,0.0,61.869,0.0,26.3,44.645,0.0,61.869,26.3,24.036,61.869,67.566,44.645,0.0,24.036,75.176,6.707,61.869,83.656,13.324,160.028,13.324,0.0,6.707,83.656,61.869,44.645,75.176,61.869,44.645,26.3
INST0167_N15_S17_P003,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_D003,26.348,26.3,80.067,26.3,0.0,30.556,26.3,80.067,0.0,26.348,80.067,46.181,30.556,26.3,26.348,92.948,32.455,80.067,108.949,39.549,177.944,39.549,26.3,32.455,108.949,80.067,30.556,92.948,80.067,30.556,0.0
INST0167_N15_S17_P004,0.0,24.036,55.105,24.036,26.348,23.863,24.036,55.105,26.348,0.0,55.105,72.268,23.863,24.036,0.0,67.557,29.68,55.105,102.142,31.149,152.108,31.149,24.036,29.68,102.142,55.105,23.863,67.557,55.105,23.863,26.348
INST0167_N15_S17_D004,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_P005,72.268,67.566,126.125,67.566,46.181,67.228,67.566,126.125,46.181,72.268,126.125,0.0,67.228,67.566,72.268,139.086,71.658,126.125,138.993,80.145,224.124,80.145,67.566,71.658,138.993,126.125,67.228,139.086,126.125,67.228,46.181
INST0167_N15_S17_D005,23.863,44.645,72.248,44.645,30.556,0.0,44.645,72.248,30.556,23.863,72.248,67.228,0.0,44.645,23.863,83.129,51.136,72.248,125.848,54.293,164.482,54.293,44.645,51.136,125.848,72.248,0.0,83.129,72.248,0.0,30.556
INST0167_N15_S17_P006,24.036,0.0,61.869,0.0,26.3,44.645,0.0,61.869,26.3,24.036,61.869,67.566,44.645,0.0,24.036,75.176,6.707,61.869,83.656,13.324,160.028,13.324,0.0,6.707,83.656,61.869,44.645,75.176,61.869,44.645,26.3
INST0167_N15_S17_D006,0.0,24.036,55.105,24.036,26.348,23.863,24.036,55.105,26.348,0.0,55.105,72.268,23.863,24.036,0.0,67.557,29.68,55.105,102.142,31.149,152.108,31.149,24.036,29.68,102.142,55.105,23.863,67.557,55.105,23.863,26.348
INST0167_N15_S17_P007,67.557,75.176,13.307,75.176,92.948,83.129,75.176,13.307,92.948,67.557,13.307,139.086,83.129,75.176,67.557,0.0,74.382,13.307,94.398,66.815,85.211,66.815,75.176,74.382,94.398,13.307,83.129,0.0,13.307,83.129,92.948
INST0167_N15_S17_D007,29.68,6.707,61.135,6.707,32.455,51.136,6.707,61.135,32.455,29.68,61.135,71.658,51.136,6.707,29.68,74.382,0.0,61.135,77.018,8.581,158.604,8.581,6.707,0.0,77.018,61.135,51.136,74.382,61.135,51.136,32.455
INST0167_N15_S17_P008,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_D008,102.142,83.656,87.998,83.656,108.949,125.848,83.656,87.998,108.949,102.142,87.998,138.993,125.848,83.656,102.142,94.398,77.018,87.998,0.0,71.877,151.155,71.877,83.656,77.018,0.0,87.998,125.848,94.398,87.998,125.848,108.949
INST0167_N15_S17_P009,31.149,13.324,53.679,13.324,39.549,54.293,13.324,53.679,39.549,31.149,53.679,80.145,54.293,13.324,31.149,66.815,8.581,53.679,71.877,0.0,150.553,0.0,13.324,8.581,71.877,53.679,54.293,66.815,53.679,54.293,39.549
INST0167_N15_S17_D009,152.108,160.028,98.41,160.028,177.944,164.482,160.028,98.41,177.944,152.108,98.41,224.124,164.482,160.028,152.108,85.211,158.604,98.41,151.155,150.553,0.0,150.553,160.028,158.604,151.155,98.41,164.482,85.211,98.41,164.482,177.944
INST0167_N15_S17_P010,31.149,13.324,53.679,13.324,39.549,54.293,13.324,53.679,39.549,31.149,53.679,80.145,54.293,13.324,31.149,66.815,8.581,53.679,71.877,0.0,150.553,0.0,13.324,8.581,71.877,53.679,54.293,66.815,53.679,54.293,39.549
INST0167_N15_S17_D010,24.036,0.0,61.869,0.0,26.3,44.645,0.0,61.869,26.3,24.036,61.869,67.566,44.645,0.0,24.036,75.176,6.707,61.869,83.656,13.324,160.028,13.324,0.0,6.707,83.656,61.869,44.645,75.176,61.869,44.645,26.3
INST0167_N15_S17_P011,29.68,6.707,61.135,6.707,32.455,51.136,6.707,61.135,32.455,29.68,61.135,71.658,51.136,6.707,29.68,74.382,0.0,61.135,77.018,8.581,158.604,8.581,6.707,0.0,77.018,61.135,51.136,74.382,61.135,51.136,32.455
INST0167_N15_S17_D011,102.142,83.656,87.998,83.656,108.949,125.848,83.656,87.998,108.949,102.142,87.998,138.993,125.848,83.656,102.142,94.398,77.018,87.998,0.0,71.877,151.155,71.877,83.656,77.018,0.0,87.998,125.848,94.398,87.998,125.848,108.949
INST0167_N15_S17_P012,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_D012,23.863,44.645,72.248,44.645,30.556,0.0,44.645,72.248,30.556,23.863,72.248,67.228,0.0,44.645,23.863,83.129,51.136,72.248,125.848,54.293,164.482,54.293,44.645,51.136,125.848,72.248,0.0,83.129,72.248,0.0,30.556
INST0167_N15_S17_P013,67.557,75.176,13.307,75.176,92.948,83.129,75.176,13.307,92.948,67.557,13.307,139.086,83.129,75.176,67.557,0.0,74.382,13.307,94.398,66.815,85.211,66.815,75.176,74.382,94.398,13.307,83.129,0.0,13.307,83.129,92.948
INST0167_N15_S17_D013,55.105,61.869,0.0,61.869,80.067,72.248,61.869,0.0,80.067,55.105,0.0,126.125,72.248,61.869,55.105,13.307,61.135,0.0,87.998,53.679,98.41,53.679,61.869,61.135,87.998,0.0,72.248,13.307,0.0,72.248,80.067
INST0167_N15_S17_P014,23.863,44.645,72.248,44.645,30.556,0.0,44.645,72.248,30.556,23.863,72.248,67.228,0.0,44.645,23.863,83.129,51.136,72.248,125.848,54.293,164.482,54.293,44.645,51.136,125.848,72.248,0.0,83.129,72.248,0.0,30.556
INST0167_N15_S17_D014,26.348,26.3,80.067,26.3,0.0,30.556,26.3,80.067,0.0,26.348,80.067,46.181,30.556,26.3,26.348,92.948,32.455,80.067,108.949,39.549,177.944,39.549,26.3,32.455,108.949,80.067,30.556,92.948,80.067,30.556,0.0
