,depot,INST0148_N12_W28_P000,INST0148_N12_W28_D000,INST0148_N12_W28_P001,INST0148_N12_W28_D001,INST0148_N12_W28_P002,INST0148_N12_W28_D002,INST0148_N12_W28_P003,INST0148_N12_W28_D003,INST0148_N12_W28_P004,INST0148_N12_W28_D004,INST0148_N12_W28_P005,INST0148_N12_W28_D005,INST0148_N12_W28_P006,INST0148_N12_W28_D006,INST0148_N12_W28_P007,INST0148_N12_W28_D007,INST0148_N12_W28_P008,INST0148_N12_W28_D008,INST0148_N12_W28_P009,INST0148_N12_W28_D009,INST0148_N12_W28_P010,INST0148_N12_W28_D010,INST0148_N12_W28_P011,INST0148_N12_W28_D011
depot,0.0,97.602,110.354,97.602,0.0,0.0,70.637,70.637,18.026,18.026,97.602,97.602,50.015,18.026,124.166,50.015,18.026,0.0,110.354,18.026,129.907,70.637,117.595,97.602,115.643
INST0148_N12_W28_P000,97.602,0.0,12.767,0.0,97.602,97.602,27.496,27.496,114.719,114.719,0.0,0.0,49.056,114.719,29.878,49.056,114.719,97.602,12.767,114.719,43.098,27.496,25.201,0.0,56.961
INST0148_N12_W28_D000,110.354,12.767,0.0,12.767,110.354,110.354,40.204,40.204,127.423,127.423,12.767,12.767,61.567,127.423,20.56,61.567,127.423,110.354,0.0,127.423,36.679,40.204,17.238,12.767,57.051
INST0148_N12_W28_P001,97.602,0.0,12.767,0.0,97.602,97.602,27.496,27.496,114.719,114.719,0.0,0.0,49.056,114.719,29.878,49.056,114.719,97.602,12.767,114.719,43.098,27.496,25.201,0.0,56.961
INST0148_N12_W28_D001,0.0,97.602,110.354,97.602,0.0,0.0,70.637,70.637,18.026,18.026,97.602,97.602,50.015,18.026,124.166,50.015,18.026,0.0,110.354,18.026,129.907,70.637,117.595,97.602,115.643
INST0148_N12_W28_P002,0.0,97.602,110.354,97.602,0.0,0.0,70.637,70.637,18.026,18.026,97.602,97.602,50.015,18.026,124.166,50.015,18.026,0.0,110.354,18.026,129.907,70.637,117.595,97.602,115.643
INST0148_N12_W28_D002,70.637,27.496,40.204,27.496,70.637,70.637,0.0,0.0,88.095,88.095,27.496,27.496,24.909,88.095,53.818,24.909,88.095,70.637,40.204,88.095,61.972,0.0,50.631,27.496,68.471
INST0148_N12_W28_P003,70.637,27.496,40.204,27.496,70.637,70.637,0.0,0.0,88.095,88.095,27.496,27.496,24.909,88.095,53.818,24.909,88.095,70.637,40.204,88.095,61.972,0.0,50.631,27.496,68.471
INST0148_N12_W28_D003,18.026,114.719,127.423,114.719,18.026,18.026,88.095,88.095,0.0,0.0,114.719,114.719,66.284,0.0,141.804,66.284,0.0,18.026,127.423,0.0,147.866,88.095,133.769,114.719,128.123
INST0148_N12_W28_P004,18.026,114.719,127.423,114.719,18.026,18.026,88.095,88.095,0.0,0.0,114.719,114.719,66.284,0.0,141.804,66.284,0.0,18.026,127.423,0.0,147.866,88.095,133.769,114.719,128.123
INST0148_N12_W28_D004,97.602,0.0,12.767,0.0,97.602,97.602,27.496,27.496,114.719,114.719,0.0,0.0,49.056,114.719,29.878,49.056,114.719,97.602,12.767,114.719,43.098,27.496,25.201,0.0,56.961
INST0148_N12_W28_P005,97.602,0.0,12.767,0.0,97.602,97.602,27.496,27.496,114.719,114.719,0.0,0.0,49.056,114.719,29.878,49.056,114.719,97.602,12.767,114.719,43.098,27.496,25.201,0.0,56.961
INST0148_N12_W28_D005,50.015,49.056,61.567,49.056,50.015,50.015,24.909,24.909,66.284,66.284,49.056,49.056,0.0,66.284,77.687,0.0,66.284,50.015,61.567,66.284,86.82,24.909,67.612,49.056,70.587
INST0148_N12_W28_P006,18.026,114.719,127.423,114.719,18.026,18.026,88.095,88.095,0.0,0.0,114.719,114.719,66.284,0.0,141.804,66.284,0.0,18.026,127.423,0.0,147.866,88.095,133.769,114.719,128.123
INST0148_N12_W28_D006,124.166,29.878,20.56,29.878,124.166,124.166,53.818,53.818,141.804,141.804,29.878,29.878,77.687,141.804,0.0,77.687,141.804,124.166,20.56,141.804,17.435,53.818,32.905,29.878,75.699
INST0148_N12_W28_P007,50.015,49.056,61.567,49.056,50.015,50.015,24.909,24.909,66.284,66.284,49.056,49.056,0.0,66.284,77.687,0.0,66.284,50.015,61.567,66.284,86.82,24.909,67.612,49.056,70.587
INST0148_N12_W28_D007,18.026,114.719,127.423,114.719,18.026,18.026,88.095,88.095,0.0,0.0,114.719,114.719,66.284,0.0,141.804,66.284,0.0,18.026,127.423,0.0,147.866,88.095,133.769,114.719,128.123
INST0148_N12_W28_P008,0.0,97.602,110.354,97.602,0.0,0.0,70.637,70.637,18.026,18.026,97.602,97.602,50.015,18.026,124.166,50.015,18.026,0.0,110.354,18.026,129.907,70.637,117.595,97.602,115.643
INST0148_N12_W28_D008,110.354,12.767,0.0,12.767,110.354,110.354,40.204,40.204,127.423,127.423,12.767,12.767,61.567,127.423,20.56,61.567,127.423,110.354,0.0,127.423,36.679,40.204,17.238,12.767,57.051
INST0148_N12_W28_P009,18.026,114.719,127.423,114.719,18.026,18.026,88.095,88.095,0.0,0.0,114.719,114.719,66.284,0.0,141.804,66.284,0.0,18.026,127.423,0.0,147.866,88.095,133.769,114.719,128.123
INST0148_N12_W28_D009,129.907,43.098,36.679,43.098,129.907,129.907,61.972,61.972,147.866,147.866,43.098,43.098,86.82,147.866,17.435,86.82,147.866,129.907,36.679,147.866,0.0,61.972,50.317,43.098,92.961
INST0148_N12_W28_P010,70.637,27.496,40.204,27.496,70.637,70.637,0.0,0.0,88.095,88.095,27.496,27.496,24.909,88.095,53.818,24.909,88.095,70.637,40.204,88.095,61.972,0.0,50.631,27.496,68.471
