,depot,INST0067_N8_W07_P000,INST0067_N8_W07_D000,INST0067_N8_W07_P001,INST0067_N8_W07_D001,INST0067_N8_W07_P002,INST0067_N8_W07_D002,INST0067_N8_W07_P003,INST0067_N8_W07_D003,INST0067_N8_W07_P004,INST0067_N8_W07_D004,INST0067_N8_W07_P005,INST0067_N8_W07_D005,INST0067_N8_W07_P006,INST0067_N8_W07_D006,INST0067_N8_W07_P007,INST0067_N8_W07_D007
depot,0.0,75.699,20.02,32.905,75.699,20.02,124.166,20.56,77.687,20.56,77.687,77.687,124.166,77.687,75.699,17.435,149.638
INST0067_N8_W07_P000,75.699,0.0,64.294,43.046,0.0,64.294,115.643,57.051,70.587,57.051,70.587,70.587,115.643,70.587,0.0,92.961,219.073
INST0067_N8_W07_D000,20.02,64.294,0.0,22.951,64.294,0.0,133.671,23.331,84.648,23.331,84.648,84.648,133.671,84.648,64.294,35.228,168.582
INST0067_N8_W07_P001,32.905,43.046,22.951,0.0,43.046,22.951,117.595,17.238,67.612,17.238,67.612,67.612,117.595,67.612,43.046,50.317,180.319
INST0067_N8_W07_D001,75.699,0.0,64.294,43.046,0.0,64.294,115.643,57.051,70.587,57.051,70.587,70.587,115.643,70.587,0.0,92.961,219.073
INST0067_N8_W07_P002,20.02,64.294,0.0,22.951,64.294,0.0,133.671,23.331,84.648,23.331,84.648,84.648,133.671,84.648,64.294,35.228,168.582
INST0067_N8_W07_D002,124.166,115.643,133.671,117.595,115.643,133.671,0.0,110.354,50.015,110.354,50.015,50.015,0.0,50.015,115.643,129.907,187.182
INST0067_N8_W07_P003,20.56,57.051,23.331,17.238,57.051,23.331,110.354,0.0,61.567,0.0,61.567,61.567,110.354,61.567,57.051,36.679,163.588
INST0067_N8_W07_D003,77.687,70.587,84.648,67.612,70.587,84.648,50.015,61.567,0.0,61.567,0.0,0.0,50.015,0.0,70.587,86.82,176.253
INST0067_N8_W07_P004,20.56,57.051,23.331,17.238,57.051,23.331,110.354,0.0,61.567,0.0,61.567,61.567,110.354,61.567,57.051,36.679,163.588
INST0067_N8_W07_D004,77.687,70.587,84.648,67.612,70.587,84.648,50.015,61.567,0.0,61.567,0.0,0.0,50.015,0.0,70.587,86.82,176.253
INST0067_N8_W07_P005,77.687,70.587,84.648,67.612,70.587,84.648,50.015,61.567,0.0,61.567,0.0,0.0,50.015,0.0,70.587,86.82,176.253
INST0067_N8_W07_D005,124.166,115.643,133.671,117.595,115.643,133.671,0.0,110.354,50.015,110.354,50.015,50.015,0.0,50.015,115.643,129.907,187.182
INST0067_N8_W07_P006,77.687,70.587,84.648,67.612,70.587,84.648,50.015,61.567,0.0,61.567,0.0,0.0,50.015,0.0,70.587,86.82,176.253
INST0067_N8_W07_D006,75.699,0.0,64.294,43.046,0.0,64.294,115.643,57.051,70.587,57.051,70.587,70.587,115.643,70.587,0.0,92.961,219.073
INST0067_N8_W07_P007,17.435,92.961,35.228,50.317,92.961,35.228,129.907,36.679,86.82,36.679,86.82,86.82,129.907,86.82,92.961,0.0,133.358
INST0067_N8_W07_D007,149.638,219.073,168.582,180.319,219.073,168.582,187.182,163.588,176.253,163.588,176.253,176.253,187.182,176.253,219.073,133.358,0.0
