,depot,INST0037_N5_W07_P000,INST0037_N5_W07_D000,INST0037_N5_W07_P001,INST0037_N5_W07_D001,INST0037_N5_W07_P002,INST0037_N5_W07_D002,INST0037_N5_W07_P003,INST0037_N5_W07_D003,INST0037_N5_W07_P004,INST0037_N5_W07_D004
depot,0.0,20.56,17.435,0.0,32.905,17.435,20.02,17.435,124.166,17.435,75.699
INST0037_N5_W07_P000,20.56,0.0,36.679,20.56,17.238,36.679,23.331,36.679,110.354,36.679,57.051
INST0037_N5_W07_D000,17.435,36.679,0.0,17.435,50.317,0.0,35.228,0.0,129.907,0.0,92.961
INST0037_N5_W07_P001,0.0,20.56,17.435,0.0,32.905,17.435,20.02,17.435,124.166,17.435,75.699
INST0037_N5_W07_D001,32.905,17.238,50.317,32.905,0.0,50.317,22.951,50.317,117.595,50.317,43.046
INST0037_N5_W07_P002,17.435,36.679,0.0,17.435,50.317,0.0,35.228,0.0,129.907,0.0,92.961
INST0037_N5_W07_D002,20.02,23.331,35.228,20.02,22.951,35.228,0.0,35.228,133.671,35.228,64.294
INST0037_N5_W07_P003,17.435,36.679,0.0,17.435,50.317,0.0,35.228,0.0,129.907,0.0,92.961
INST0037_N5_W07_D003,124.166,110.354,129.907,124.166,117.595,129.907,133.671,129.907,0.0,129.907,115.643
INST0037_N5_W07_P004,17.435,36.679,0.0,17.435,50.317,0.0,35.228,0.0,129.907,0.0,92.961
INST0037_N5_W07_D004,75.699,57.051,92.961,75.699,43.046,92.961,64.294,92.961,115.643,92.961,0.0
