,depot,INST0116_N10_S26_P000,INST0116_N10_S26_D000,INST0116_N10_S26_P001,INST0116_N10_S26_D001,INST0116_N10_S26_P002,INST0116_N10_S26_D002,INST0116_N10_S26_P003,INST0116_N10_S26_D003,INST0116_N10_S26_P004,INST0116_N10_S26_D004,INST0116_N10_S26_P005,INST0116_N10_S26_D005,INST0116_N10_S26_P006,INST0116_N10_S26_D006,INST0116_N10_S26_P007,INST0116_N10_S26_D007,INST0116_N10_S26_P008,INST0116_N10_S26_D008,INST0116_N10_S26_P009,INST0116_N10_S26_D009
depot,0.0,26.348,92.948,26.348,177.944,32.455,137.848,46.181,92.948,80.067,26.348,39.549,26.3,92.948,46.181,30.556,137.848,0.0,39.549,26.3,30.556
INST0116_N10_S26_P000,26.348,0.0,67.557,0.0,152.108,29.68,112.533,72.268,67.557,55.105,0.0,31.149,24.036,67.557,72.268,23.863,112.533,26.348,31.149,24.036,23.863
INST0116_N10_S26_D000,92.948,67.557,0.0,67.557,85.211,74.382,44.98,139.086,0.0,13.307,67.557,66.815,75.176,0.0,139.086,83.129,44.98,92.948,66.815,75.176,83.129
INST0116_N10_S26_P001,26.348,0.0,67.557,0.0,152.108,29.68,112.533,72.268,67.557,55.105,0.0,31.149,24.036,67.557,72.268,23.863,112.533,26.348,31.149,24.036,23.863
INST0116_N10_S26_D001,177.944,152.108,85.211,152.108,0.0,158.604,41.594,224.124,85.211,98.41,152.108,150.553,160.028,85.211,224.124,164.482,41.594,177.944,150.553,160.028,164.482
INST0116_N10_S26_P002,32.455,29.68,74.382,29.68,158.604,0.0,117.194,71.658,74.382,61.135,29.68,8.581,6.707,74.382,71.658,51.136,117.194,32.455,8.581,6.707,51.136
INST0116_N10_S26_D002,137.848,112.533,44.98,112.533,41.594,117.194,0.0,183.928,44.98,57.803,112.533,109.068,118.85,44.98,183.928,127.137,0.0,137.848,109.068,118.85,127.137
INST0116_N10_S26_P003,46.181,72.268,139.086,72.268,224.124,71.658,183.928,0.0,139.086,126.125,72.268,80.145,67.566,139.086,0.0,67.228,183.928,46.181,80.145,67.566,67.228
INST0116_N10_S26_D003,92.948,67.557,0.0,67.557,85.211,74.382,44.98,139.086,0.0,13.307,67.557,66.815,75.176,0.0,139.086,83.129,44.98,92.948,66.815,75.176,83.129
INST0116_N10_S26_P004,80.067,55.105,13.307,55.105,98.41,61.135,57.803,126.125,13.307,0.0,55.105,53.679,61.869,13.307,126.125,72.248,57.803,80.067,53.679,61.869,72.248
INST0116_N10_S26_D004,26.348,0.0,67.557,0.0,152.108,29.68,112.533,72.268,67.557,55.105,0.0,31.149,24.036,67.557,72.268,23.863,112.533,26.348,31.149,24.036,23.863
INST0116_N10_S26_P005,39.549,31.149,66.815,31.149,150.553,8.581,109.068,80.145,66.815,53.679,31.149,0.0,13.324,66.815,80.145,54.293,109.068,39.549,0.0,13.324,54.293
INST0116_N10_S26_D005,26.3,24.036,75.176,24.036,160.028,6.707,118.85,67.566,75.176,61.869,24.036,13.324,0.0,75.176,67.566,44.645,118.85,26.3,13.324,0.0,44.645
INST0116_N10_S26_P006,92.948,67.557,0.0,67.557,85.211,74.382,44.98,139.086,0.0,13.307,67.557,66.815,75.176,0.0,139.086,83.129,44.98,92.948,66.815,75.176,83.129
INST0116_N10_S26_D006,46.181,72.268,139.086,72.268,224.124,71.658,183.928,0.0,139.086,126.125,72.268,80.145,67.566,139.086,0.0,67.228,183.928,46.181,80.145,67.566,67.228
INST0116_N10_S26_P007,30.556,23.863,83.129,23.863,164.482,51.136,127.137,67.228,83.129,72.248,23.863,54.293,44.645,83.129,67.228,0.0,127.137,30.556,54.293,44.645,0.0
INST0116_N10_S26_D007,137.848,112.533,44.98,112.533,41.594,117.194,0.0,183.928,44.98,57.803,112.533,109.068,118.85,44.98,183.928,127.137,0.0,137.848,109.068,118.85,127.137
INST0116_N10_S26_P008,0.0,26.348,92.948,26.348,177.944,32.455,137.848,46.181,92.948,80.067,26.348,39.549,26.3,92.948,46.181,30.556,137.848,0.0,39.549,26.3,30.556
INST0116_N10_S26_D008,39.549,31.149,66.815,31.149,150.553,8.581,109.068,80.145,66.815,53.679,31.149,0.0,13.324,66.815,80.145,54.293,109.068,39.549,0.0,13.324,54.293
INST0116_N10_S26_P009,26.3,24.036,75.176,24.036,160.028,6.707,118.85,67.566,75.176,61.869,24.036,13.324,0.0,75.176,67.566,44.645,118.85,26.3,13.324,0.0,44.645
INST0116_N10_S26_D009,30.556,23.863,83.129,23.863,164.482,51.136,127.137,67.228,83.129,72.248,23.863,54.293,44.645,83.129,67.228,0.0,127.137,30.556,54.293,44.645,0.0
