,depot,INST0116_N10_S26_P000,INST0116_N10_S26_D000,INST0116_N10_S26_P001,INST0116_N10_S26_D001,INST0116_N10_S26_P002,INST0116_N10_S26_D002,INST0116_N10_S26_P003,INST0116_N10_S26_D003,INST0116_N10_S26_P004,INST0116_N10_S26_D004,INST0116_N10_S26_P005,INST0116_N10_S26_D005,INST0116_N10_S26_P006,INST0116_N10_S26_D006,INST0116_N10_S26_P007,INST0116_N10_S26_D007,INST0116_N10_S26_P008,INST0116_N10_S26_D008,INST0116_N10_S26_P009,INST0116_N10_S26_D009
depot,0.0,21.517,75.908,21.517,145.321,26.505,112.576,37.715,75.908,65.388,21.517,32.298,21.478,75.908,37.715,24.954,112.576,0.0,32.298,21.478,24.954
INST0116_N10_S26_P000,21.517,0.0,55.171,0.0,124.222,24.239,91.902,59.019,55.171,45.002,0.0,25.439,19.629,55.171,59.019,19.488,91.902,21.517,25.439,19.629,19.488
INST0116_N10_S26_D000,75.908,55.171,0.0,55.171,69.589,60.745,36.733,113.587,0.0,10.867,55.171,54.565,61.394,0.0,113.587,67.889,36.733,75.908,54.565,61.394,67.889
INST0116_N10_S26_P001,21.517,0.0,55.171,0.0,124.222,24.239,91.902,59.019,55.171,45.002,0.0,25.439,19.629,55.171,59.019,19.488,91.902,21.517,25.439,19.629,19.488
INST0116_N10_S26_D001,145.321,124.222,69.589,124.222,0.0,129.526,33.969,183.035,69.589,80.368,124.222,122.952,130.689,69.589,183.035,134.327,33.969,145.321,122.952,130.689,134.327
INST0116_N10_S26_P002,26.505,24.239,60.745,24.239,129.526,0.0,95.708,58.521,60.745,49.927,24.239,7.008,5.477,60.745,58.521,41.761,95.708,26.505,7.008,5.477,41.761
INST0116_N10_S26_D002,112.576,91.902,36.733,91.902,33.969,95.708,0.0,150.208,36.733,47.206,91.902,89.072,97.061,36.733,150.208,103.829,0.0,112.576,89.072,97.061,103.829
INST0116_N10_S26_P003,37.715,59.019,113.587,59.019,183.035,58.521,150.208,0.0,113.587,103.002,59.019,65.452,55.179,113.587,0.0,54.903,150.208,37.715,65.452,55.179,54.903
INST0116_N10_S26_D003,75.908,55.171,0.0,55.171,69.589,60.745,36.733,113.587,0.0,10.867,55.171,54.565,61.394,0.0,113.587,67.889,36.733,75.908,54.565,61.394,67.889
INST0116_N10_S26_P004,65.388,45.002,10.867,45.002,80.368,49.927,47.206,103.002,10.867,0.0,45.002,43.838,50.526,10.867,103.002,59.003,47.206,65.388,43.838,50.526,59.003
INST0116_N10_S26_D004,21.517,0.0,55.171,0.0,124.222,24.239,91.902,59.019,55.171,45.002,0.0,25.439,19.629,55.171,59.019,19.488,91.902,21.517,25.439,19.629,19.488
INST0116_N10_S26_P005,32.298,25.439,54.565,25.439,122.952,7.008,89.072,65.452,54.565,43.838,25.439,0.0,10.881,54.565,65.452,44.339,89.072,32.298,0.0,10.881,44.339
INST0116_N10_S26_D005,21.478,19.629,61.394,19.629,130.689,5.477,97.061,55.179,61.394,50.526,19.629,10.881,0.0,61.394,55.179,36.46,97.061,21.478,10.881,0.0,36.46
INST0116_N10_S26_P006,75.908,55.171,0.0,55.171,69.589,60.745,36.733,113.587,0.0,10.867,55.171,54.565,61.394,0.0,113.587,67.889,36.733,75.908,54.565,61.394,67.889
INST0116_N10_S26_D006,37.715,59.019,113.587,59.019,183.035,58.521,150.208,0.0,113.587,103.002,59.019,65.452,55.179,113.587,0.0,54.903,150.208,37.715,65.452,55.179,54.903
INST0116_N10_S26_P007,24.954,19.488,67.889,19.488,134.327,41.761,103.829,54.903,67.889,59.003,19.488,44.339,36.46,67.889,54.903,0.0,103.829,24.954,44.339,36.46,0.0
INST0116_N10_S26_D007,112.576,91.902,36.733,91.902,33.969,95.708,0.0,150.208,36.733,47.206,91.902,89.072,97.061,36.733,150.208,103.829,0.0,112.576,89.072,97.061,103.829
INST0116_N10_S26_P008,0.0,21.517,75.908,21.517,145.321,26.505,112.576,37.715,75.908,65.388,21.517,32.298,21.478,75.908,37.715,24.954,112.576,0.0,32.298,21.478,24.954
INST0116_N10_S26_D008,32.298,25.439,54.565,25.439,122.952,7.008,89.072,65.452,54.565,43.838,25.439,0.0,10.881,54.565,65.452,44.339,89.072,32.298,0.0,10.881,44.339
INST0116_N10_S26_P009,21.478,19.629,61.394,19.629,130.689,5.477,97.061,55.179,61.394,50.526,19.629,10.881,0.0,61.394,55.179,36.46,97.061,21.478,10.881,0.0,36.46
INST0116_N10_S26_D009,24.954,19.488,67.889,19.488,134.327,41.761,103.829,54.903,67.889,59.003,19.488,44.339,36.46,67.889,54.903,0.0,103.829,24.954,44.339,36.46,0.0
