,depot,INST0184_N18_W04_P000,INST0184_N18_W04_D000,INST0184_N18_W04_P001,INST0184_N18_W04_D001,INST0184_N18_W04_P002,INST0184_N18_W04_D002,INST0184_N18_W04_P003,INST0184_N18_W04_D003,INST0184_N18_W04_P004,INST0184_N18_W04_D004,INST0184_N18_W04_P005,INST0184_N18_W04_D005,INST0184_N18_W04_P006,INST0184_N18_W04_D006,INST0184_N18_W04_P007,INST0184_N18_W04_D007,INST0184_N18_W04_P008,INST0184_N18_W04_D008,INST0184_N18_W04_P009,INST0184_N18_W04_D009,INST0184_N18_W04_P010,INST0184_N18_W04_D010,INST0184_N18_W04_P011,INST0184_N18_W04_D011,INST0184_N18_W04_P012,INST0184_N18_W04_D012,INST0184_N18_W04_P013,INST0184_N18_W04_D013,INST0184_N18_W04_P014,INST0184_N18_W04_D014,INST0184_N18_W04_P015,INST0184_N18_W04_D015,INST0184_N18_W04_P016,INST0184_N18_W04_D016,INST0184_N18_W04_P017,INST0184_N18_W04_D017
depot,0.0,0.0,109.245,0.0,109.245,71.944,104.062,71.944,0.0,14.722,123.055,0.0,104.634,0.0,104.634,71.944,104.062,71.944,130.825,0.0,104.062,14.722,0.0,54.132,115.807,0.0,71.944,71.944,123.055,0.0,109.245,71.944,93.687,14.722,123.055,0.0,93.687
INST0184_N18_W04_P000,0.0,0.0,109.245,0.0,109.245,71.944,104.062,71.944,0.0,14.722,123.055,0.0,104.634,0.0,104.634,71.944,104.062,71.944,130.825,0.0,104.062,14.722,0.0,54.132,115.807,0.0,71.944,71.944,123.055,0.0,109.245,71.944,93.687,14.722,123.055,0.0,93.687
INST0184_N18_W04_D000,109.245,109.245,0.0,109.245,0.0,41.349,14.077,41.349,109.245,96.036,18.744,109.245,35.155,109.245,35.155,41.349,14.077,41.349,30.344,109.245,14.077,96.036,109.245,55.217,26.872,109.245,41.349,41.349,18.744,109.245,0.0,41.349,20.581,96.036,18.744,109.245,20.581
INST0184_N18_W04_P001,0.0,0.0,109.245,0.0,109.245,71.944,104.062,71.944,0.0,14.722,123.055,0.0,104.634,0.0,104.634,71.944,104.062,71.944,130.825,0.0,104.062,14.722,0.0,54.132,115.807,0.0,71.944,71.944,123.055,0.0,109.245,71.944,93.687,14.722,123.055,0.0,93.687
INST0184_N18_W04_D001,109.245,109.245,0.0,109.245,0.0,41.349,14.077,41.349,109.245,96.036,18.744,109.245,35.155,109.245,35.155,41.349,14.077,41.349,30.344,109.245,14.077,96.036,109.245,55.217,26.872,109.245,41.349,41.349,18.744,109.245,0.0,41.349,20.581,96.036,18.744,109.245,20.581
INST0184_N18_W04_P002,71.944,71.944,41.349,71.944,41.349,0.0,32.833,0.0,71.944,57.687,51.842,71.944,55.918,71.944,55.918,0.0,32.833,0.0,58.923,71.944,32.833,57.687,71.944,20.342,43.952,71.944,0.0,0.0,51.842,71.944,41.349,0.0,22.455,57.687,51.842,71.944,22.455
INST0184_N18_W04_D002,104.062,104.062,14.077,104.062,14.077,32.833,0.0,32.833,104.062,90.122,19.054,104.062,46.592,104.062,46.592,32.833,0.0,32.833,27.544,104.062,0.0,90.122,104.062,50.28,16.791,104.062,32.833,32.833,19.054,104.062,14.077,32.833,10.426,90.122,19.054,104.062,10.426
INST0184_N18_W04_P003,71.944,71.944,41.349,71.944,41.349,0.0,32.833,0.0,71.944,57.687,51.842,71.944,55.918,71.944,55.918,0.0,32.833,0.0,58.923,71.944,32.833,57.687,71.944,20.342,43.952,71.944,0.0,0.0,51.842,71.944,41.349,0.0,22.455,57.687,51.842,71.944,22.455
INST0184_N18_W04_D003,0.0,0.0,109.245,0.0,109.245,71.944,104.062,71.944,0.0,14.722,123.055,0.0,104.634,0.0,104.634,71.944,104.062,71.944,130.825,0.0,104.062,14.722,0.0,54.132,115.807,0.0,71.944,71.944,123.055,0.0,109.245,71.944,93.687,14.722,123.055,0.0,93.687
INST0184_N18_W04_P004,14.722,14.722,96.036,14.722,96.036,57.687,90.122,57.687,14.722,0.0,109.164,14.722,94.442,14.722,94.442,57.687,90.122,57.687,116.61,14.722,90.122,0.0,14.722,40.846,101.402,14.722,57.687,57.687,109.164,14.722,96.036,57.687,79.708,0.0,109.164,14.722,79.708
