,depot,INST0216_N20_N06_P000,INST0216_N20_N06_D000,INST0216_N20_N06_P001,INST0216_N20_N06_D001,INST0216_N20_N06_P002,INST0216_N20_N06_D002,INST0216_N20_N06_P003,INST0216_N20_N06_D003,INST0216_N20_N06_P004,INST0216_N20_N06_D004,INST0216_N20_N06_P005,INST0216_N20_N06_D005,INST0216_N20_N06_P006,INST0216_N20_N06_D006,INST0216_N20_N06_P007,INST0216_N20_N06_D007,INST0216_N20_N06_P008,INST0216_N20_N06_D008,INST0216_N20_N06_P009,INST0216_N20_N06_D009,INST0216_N20_N06_P010,INST0216_N20_N06_D010,INST0216_N20_N06_P011,INST0216_N20_N06_D011,INST0216_N20_N06_P012,INST0216_N20_N06_D012,INST0216_N20_N06_P013,INST0216_N20_N06_D013,INST0216_N20_N06_P014,INST0216_N20_N06_D014,INST0216_N20_N06_P015,INST0216_N20_N06_D015,INST0216_N20_N06_P016,INST0216_N20_N06_D016,INST0216_N20_N06_P017,INST0216_N20_N06_D017,INST0216_N20_N06_P018,INST0216_N20_N06_D018,INST0216_N20_N06_P019,INST0216_N20_N06_D019
depot,0.0,21.127,28.595,24.088,0.0,43.511,162.63,25.326,79.42,24.088,28.727,28.595,0.0,28.595,0.0,24.088,28.595,0.0,35.041,21.127,0.0,24.088,0.0,43.511,21.127,28.727,162.63,25.326,122.983,79.42,28.727,21.127,79.42,28.727,122.983,28.595,25.326,43.511,28.727,24.088,35.041
INST0216_N20_N06_P000,21.127,0.0,24.705,8.817,21.127,22.387,154.717,31.992,87.893,8.817,22.322,24.705,21.127,24.705,21.127,8.817,24.705,21.127,33.197,0.0,21.127,8.817,21.127,22.387,0.0,22.322,154.717,31.992,116.493,87.893,22.322,0.0,87.893,22.322,116.493,24.705,31.992,22.387,22.322,8.817,33.197
INST0216_N20_N06_D000,28.595,24.705,0.0,16.848,28.595,37.312,134.313,14.003,64.653,16.848,3.413,0.0,28.595,0.0,28.595,16.848,0.0,28.595,56.4,24.705,28.595,16.848,28.595,37.312,24.705,3.413,134.313,14.003,94.965,64.653,3.413,24.705,64.653,3.413,94.965,0.0,14.003,37.312,3.413,16.848,56.4
INST0216_N20_N06_P001,24.088,8.817,16.848,0.0,24.088,23.01,146.035,26.694,81.208,0.0,14.053,16.848,24.088,16.848,24.088,0.0,16.848,24.088,41.993,8.817,24.088,0.0,24.088,23.01,8.817,14.053,146.035,26.694,107.703,81.208,14.053,8.817,81.208,14.053,107.703,16.848,26.694,23.01,14.053,0.0,41.993
INST0216_N20_N06_D001,0.0,21.127,28.595,24.088,0.0,43.511,162.63,25.326,79.42,24.088,28.727,28.595,0.0,28.595,0.0,24.088,28.595,0.0,35.041,21.127,0.0,24.088,0.0,43.511,21.127,28.727,162.63,25.326,122.983,79.42,28.727,21.127,79.42,28.727,122.983,28.595,25.326,43.511,28.727,24.088,35.041
INST0216_N20_N06_P002,43.511,22.387,37.312,23.01,43.511,0.0,149.729,49.306,101.428,23.01,33.929,37.312,43.511,37.312,43.511,23.01,37.312,43.511,43.657,22.387,43.511,23.01,43.511,0.0,22.387,33.929,149.729,49.306,114.14,101.428,33.929,22.387,101.428,33.929,114.14,37.312,49.306,0.0,33.929,23.01,43.657
INST0216_N20_N06_D002,162.63,154.717,134.313,146.035,162.63,149.729,0.0,139.481,116.851,146.035,134.948,134.313,162.63,134.313,162.63,146.035,134.313,162.63,187.802,154.717,162.63,146.035,162.63,149.729,154.717,134.948,0.0,139.481,40.266,116.851,134.948,154.717,116.851,134.948,40.266,134.313,139.481,149.729,134.948,146.035,187.802
INST0216_N20_N06_P003,25.326,31.992,14.003,26.694,25.326,49.306,139.481,0.0,56.35,26.694,17.072,14.003,25.326,14.003,25.326,26.694,14.003,25.326,58.839,31.992,25.326,26.694,25.326,49.306,31.992,17.072,139.481,0.0,99.415,56.35,17.072,31.992,56.35,17.072,99.415,14.003,0.0,49.306,17.072,26.694,58.839
INST0216_N20_N06_D003,79.42,87.893,64.653,81.208,79.42,101.428,116.851,56.35,0.0,81.208,67.88,64.653,79.42,64.653,79.42,81.208,64.653,79.42,114.332,87.893,79.42,81.208,79.42,101.428,87.893,67.88,116.851,56.35,79.694,0.0,67.88,87.893,0.0,67.88,79.694,64.653,56.35,101.428,67.88,81.208,114.332
INST0216_N20_N06_P004,24.088,8.817,16.848,0.0,24.088,23.01,146.035,26.694,81.208,0.0,14.053,16.848,24.088,16.848,24.088,0.0,16.848,24.088,41.993,8.817,24.088,0.0,24.088,23.01,8.817,14.053,146.035,26.694,107.703,81.208,14.053,8.817,81.208,14.053,107.703,16.848,26.694,23.01,14.053,0.0,41.993
