,depot,INST0145_N12_W25_P000,INST0145_N12_W25_D000,INST0145_N12_W25_P001,INST0145_N12_W25_D001,INST0145_N12_W25_P002,INST0145_N12_W25_D002,INST0145_N12_W25_P003,INST0145_N12_W25_D003,INST0145_N12_W25_P004,INST0145_N12_W25_D004,INST0145_N12_W25_P005,INST0145_N12_W25_D005,INST0145_N12_W25_P006,INST0145_N12_W25_D006,INST0145_N12_W25_P007,INST0145_N12_W25_D007,INST0145_N12_W25_P008,INST0145_N12_W25_D008,INST0145_N12_W25_P009,INST0145_N12_W25_D009,INST0145_N12_W25_P010,INST0145_N12_W25_D010,INST0145_N12_W25_P011,INST0145_N12_W25_D011
depot,0.0,35.228,168.582,64.294,133.671,23.331,22.951,36.098,84.648,0.0,35.228,35.228,84.648,64.294,36.098,63.48,35.228,0.0,133.671,22.951,35.228,36.098,84.648,84.648,20.02
INST0145_N12_W25_P000,35.228,0.0,133.358,92.961,129.907,36.679,50.317,43.098,86.82,35.228,0.0,0.0,86.82,92.961,43.098,61.972,0.0,35.228,129.907,50.317,0.0,43.098,86.82,86.82,17.435
INST0145_N12_W25_D000,168.582,133.358,0.0,219.073,187.182,163.588,180.319,162.13,176.253,168.582,133.358,133.358,176.253,219.073,162.13,159.2,133.358,168.582,187.182,180.319,133.358,162.13,176.253,176.253,149.638
INST0145_N12_W25_P001,64.294,92.961,219.073,0.0,115.643,57.051,43.046,56.961,70.587,64.294,92.961,92.961,70.587,0.0,56.961,68.471,92.961,64.294,115.643,43.046,92.961,56.961,70.587,70.587,75.699
INST0145_N12_W25_D001,133.671,129.907,187.182,115.643,0.0,110.354,117.595,97.602,50.015,133.671,129.907,129.907,50.015,115.643,97.602,70.637,129.907,133.671,0.0,117.595,129.907,97.602,50.015,50.015,124.166
INST0145_N12_W25_P002,23.331,36.679,163.588,57.051,110.354,0.0,17.238,12.767,61.567,23.331,36.679,36.679,61.567,57.051,12.767,40.204,36.679,23.331,110.354,17.238,36.679,12.767,61.567,61.567,20.56
INST0145_N12_W25_D002,22.951,50.317,180.319,43.046,117.595,17.238,0.0,25.201,67.612,22.951,50.317,50.317,67.612,43.046,25.201,50.631,50.317,22.951,117.595,0.0,50.317,25.201,67.612,67.612,32.905
INST0145_N12_W25_P003,36.098,43.098,162.13,56.961,97.602,12.767,25.201,0.0,49.056,36.098,43.098,43.098,49.056,56.961,0.0,27.496,43.098,36.098,97.602,25.201,43.098,0.0,49.056,49.056,29.878
INST0145_N12_W25_D003,84.648,86.82,176.253,70.587,50.015,61.567,67.612,49.056,0.0,84.648,86.82,86.82,0.0,70.587,49.056,24.909,86.82,84.648,50.015,67.612,86.82,49.056,0.0,0.0,77.687
INST0145_N12_W25_P004,0.0,35.228,168.582,64.294,133.671,23.331,22.951,36.098,84.648,0.0,35.228,35.228,84.648,64.294,36.098,63.48,35.228,0.0,133.671,22.951,35.228,36.098,84.648,84.648,20.02
INST0145_N12_W25_D004,35.228,0.0,133.358,92.961,129.907,36.679,50.317,43.098,86.82,35.228,0.0,0.0,86.82,92.961,43.098,61.972,0.0,35.228,129.907,50.317,0.0,43.098,86.82,86.82,17.435
INST0145_N12_W25_P005,35.228,0.0,133.358,92.961,129.907,36.679,50.317,43.098,86.82,35.228,0.0,0.0,86.82,92.961,43.098,61.972,0.0,35.228,129.907,50.317,0.0,43.098,86.82,86.82,17.435
INST0145_N12_W25_D005,84.648,86.82,176.253,70.587,50.015,61.567,67.612,49.056,0.0,84.648,86.82,86.82,0.0,70.587,49.056,24.909,86.82,84.648,50.015,67.612,86.82,49.056,0.0,0.0,77.687
INST0145_N12_W25_P006,64.294,92.961,219.073,0.0,115.643,57.051,43.046,56.961,70.587,64.294,92.961,92.961,70.587,0.0,56.961,68.471,92.961,64.294,115.643,43.046,92.961,56.961,70.587,70.587,75.699
