,depot,INST0239_N20_S29_P000,INST0239_N20_S29_D000,INST0239_N20_S29_P001,INST0239_N20_S29_D001,INST0239_N20_S29_P002,INST0239_N20_S29_D002,INST0239_N20_S29_P003,INST0239_N20_S29_D003,INST0239_N20_S29_P004,INST0239_N20_S29_D004,INST0239_N20_S29_P005,INST0239_N20_S29_D005,INST0239_N20_S29_P006,INST0239_N20_S29_D006,INST0239_N20_S29_P007,INST0239_N20_S29_D007,INST0239_N20_S29_P008,INST0239_N20_S29_D008,INST0239_N20_S29_P009,INST0239_N20_S29_D009,INST0239_N20_S29_P010,INST0239_N20_S29_D010,INST0239_N20_S29_P011,INST0239_N20_S29_D011,INST0239_N20_S29_P012,INST0239_N20_S29_D012,INST0239_N20_S29_P013,INST0239_N20_S29_D013,INST0239_N20_S29_P014,INST0239_N20_S29_D014,INST0239_N20_S29_P015,INST0239_N20_S29_D015,INST0239_N20_S29_P016,INST0239_N20_S29_D016,INST0239_N20_S29_P017,INST0239_N20_S29_D017,INST0239_N20_S29_P018,INST0239_N20_S29_D018,INST0239_N20_S29_P019,INST0239_N20_S29_D019
depot,0.0,39.549,13.324,53.679,13.324,71.877,80.145,80.145,39.549,66.815,53.679,71.877,109.068,53.679,150.553,13.324,39.549,0.0,13.324,53.679,13.324,13.324,54.293,53.679,66.815,31.149,0.0,54.293,13.324,71.877,39.549,66.815,71.877,80.145,31.149,80.145,31.149,53.679,109.068,0.0,39.549
INST0239_N20_S29_P000,39.549,0.0,26.3,80.067,26.3,108.949,46.181,46.181,0.0,92.948,80.067,108.949,137.848,80.067,177.944,26.3,0.0,39.549,26.3,80.067,26.3,26.3,30.556,80.067,92.948,26.348,39.549,30.556,26.3,108.949,0.0,92.948,108.949,46.181,26.348,46.181,26.348,80.067,137.848,39.549,0.0
INST0239_N20_S29_D000,13.324,26.3,0.0,61.869,0.0,83.656,67.566,67.566,26.3,75.176,61.869,83.656,118.85,61.869,160.028,0.0,26.3,13.324,0.0,61.869,0.0,0.0,44.645,61.869,75.176,24.036,13.324,44.645,0.0,83.656,26.3,75.176,83.656,67.566,24.036,67.566,24.036,61.869,118.85,13.324,26.3
INST0239_N20_S29_P001,53.679,80.067,61.869,0.0,61.869,87.998,126.125,126.125,80.067,13.307,0.0,87.998,57.803,0.0,98.41,61.869,80.067,53.679,61.869,0.0,61.869,61.869,72.248,0.0,13.307,55.105,53.679,72.248,61.869,87.998,80.067,13.307,87.998,126.125,55.105,126.125,55.105,0.0,57.803,53.679,80.067
INST0239_N20_S29_D001,13.324,26.3,0.0,61.869,0.0,83.656,67.566,67.566,26.3,75.176,61.869,83.656,118.85,61.869,160.028,0.0,26.3,13.324,0.0,61.869,0.0,0.0,44.645,61.869,75.176,24.036,13.324,44.645,0.0,83.656,26.3,75.176,83.656,67.566,24.036,67.566,24.036,61.869,118.85,13.324,26.3
INST0239_N20_S29_P002,71.877,108.949,83.656,87.998,83.656,0.0,138.993,138.993,108.949,94.398,87.998,0.0,114.428,87.998,151.155,83.656,108.949,71.877,83.656,87.998,83.656,83.656,125.848,87.998,94.398,102.142,71.877,125.848,83.656,0.0,108.949,94.398,0.0,138.993,102.142,138.993,102.142,87.998,114.428,71.877,108.949
INST0239_N20_S29_D002,80.145,46.181,67.566,126.125,67.566,138.993,0.0,0.0,46.181,139.086,126.125,138.993,183.928,126.125,224.124,67.566,46.181,80.145,67.566,126.125,67.566,67.566,67.228,126.125,139.086,72.268,80.145,67.228,67.566,138.993,46.181,139.086,138.993,0.0,72.268,0.0,72.268,126.125,183.928,80.145,46.181
INST0239_N20_S29_P003,80.145,46.181,67.566,126.125,67.566,138.993,0.0,0.0,46.181,139.086,126.125,138.993,183.928,126.125,224.124,67.566,46.181,80.145,67.566,126.125,67.566,67.566,67.228,126.125,139.086,72.268,80.145,67.228,67.566,138.993,46.181,139.086,138.993,0.0,72.268,0.0,72.268,126.125,183.928,80.145,46.181
INST0239_N20_S29_D003,39.549,0.0,26.3,80.067,26.3,108.949,46.181,46.181,0.0,92.948,80.067,108.949,137.848,80.067,177.944,26.3,0.0,39.549,26.3,80.067,26.3,26.3,30.556,80.067,92.948,26.348,39.549,30.556,26.3,108.949,0.0,92.948,108.949,46.181,26.348,46.181,26.348,80.067,137.848,39.549,0.0
INST0239_N20_S29_P004,66.815,92.948,75.176,13.307,75.176,94.398,139.086,139.086,92.948,0.0,13.307,94.398,44.98,13.307,85.211,75.176,92.948,66.815,75.176,13.307,75.176,75.176,83.129,13.307,0.0,67.557,66.815,83.129,75.176,94.398,92.948,0.0,94.398,139.086,67.557,139.086,67.557,13.307,44.98,66.815,92.948
INST0239_N20_S29_D004,53.679,80.067,61.869,0.0,61.869,87.998,126.125,126.125,80.067,13.307,0.0,87.998,57.803,0.0,98.41,61.869,80.067,53.679,61.869,0.0,61.869,61.869,72.248,0.0,13.307,55.105,53.679,72.248,61.869,87.998,80.067,13.307,87.998,126.125,55.105,126.125,55.105,0.0,57.803,53.679,80.067
INST0239_N20_S29_P005,71.877,108.949,83.656,87.998,83.656,0.0,138.993,138.993,108.949,94.398,87.998,0.0,114.428,87.998,151.155,83.656,108.949,71.877,83.656,87.998,83.656,83.656,125.848,87.998,94.398,102.142,71.877,125.848,83.656,0.0,108.949,94.398,0.0,138.993,102.142,138.993,102.142,87.998,114.428,71.877,108.949
INST0239_N20_S29_D005,109.068,137.848,118.85,57.803,118.85,114.428,183.928,183.928,137.848,44.98,57.803,114.428,0.0,57.803,41.594,118.85,137.848,109.068,118.85,57.803,118.85,118.85,127.137,57.803,44.98,112.533,109.068,127.137,118.85,114.428,137.848,44.98,114.428,183.928,112.533,183.928,112.533,57.803,0.0,109.068,137.848
INST0239_N20_S29_P006,53.679,80.067,61.869,0.0,61.869,87.998,126.125,126.125,80.067,13.307,0.0,87.998,57.803,0.0,98.41,61.869,80.067,53.679,61.869,0.0,61.869,61.869,72.248,0.0,13.307,55.105,53.679,72.248,61.869,87.998,80.067,13.307,87.998,126.125,55.105,126.125,55.105,0.0,57.803,53.679,80.067
